Home.team1,avg.Cmp.team1,avg.Att.team1,avg.Yds.team1,avg.1D.team1,avg.IAY.team1,avg.CAY.team1,avg.YAC.team1,avg.Drops.team1,avg.BadTh.team1,avg.Sk.team1,avg.Bltz.team1,avg.Hrry.team1,avg.Hits.team1,avg.Scrm.team1,avg.ScrambleYds.team1,avg.Att.1.team1,avg.Yds.1.team1,avg.1D.1.team1,avg.YBC.team1,avg.YAC.1.team1,avg.BrkTkl.team1,avg.Tgt.team1,avg.Rec.team1,avg.Yds.2.team1,avg.1D.2.team1,avg.YBC.1.team1,avg.YAC.2.team1,avg.BrkTkl.1.team1,avg.Drop.team1,avg.Int.team1,avg.Tgt.1.team1,avg.Cmp.1.team1,avg.Yds.3.team1,avg.TD.team1,avg.Air.team1,avg.YAC.3.team1,avg.Bltz.1.team1,avg.Hrry.1.team1,avg.QBKD.team1,avg.Sk.1.team1,avg.Prss.team1,avg.Comb.team1,avg.MTkl.team1,avg.total.DADOT.team1,avg.Cmp.team2,avg.Att.team2,avg.Yds.team2,avg.1D.team2,avg.IAY.team2,avg.CAY.team2,avg.YAC.team2,avg.Drops.team2,avg.BadTh.team2,avg.Sk.team2,avg.Bltz.team2,avg.Hrry.team2,avg.Hits.team2,avg.Scrm.team2,avg.ScrambleYds.team2,avg.Att.1.team2,avg.Yds.1.team2,avg.1D.1.team2,avg.YBC.team2,avg.YAC.1.team2,avg.BrkTkl.team2,avg.Tgt.team2,avg.Rec.team2,avg.Yds.2.team2,avg.1D.2.team2,avg.YBC.1.team2,avg.YAC.2.team2,avg.BrkTkl.1.team2,avg.Drop.team2,avg.Int.team2,avg.Tgt.1.team2,avg.Cmp.1.team2,avg.Yds.3.team2,avg.TD.team2,avg.Air.team2,avg.YAC.3.team2,avg.Bltz.1.team2,avg.Hrry.1.team2,avg.QBKD.team2,avg.Sk.1.team2,avg.Prss.team2,avg.Comb.team2,avg.MTkl.team2,avg.total.DADOT.team2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,hour_12,hour_13,hour_15,hour_16,hour_18,hour_20,games_played_team_1_2.0,games_played_team_1_3.0,games_played_team_1_4.0,games_played_team_1_5.0,games_played_team_1_6.0,games_played_team_1_7.0,games_played_team_1_8.0,games_played_team_1_9.0,games_played_team_1_10.0,games_played_team_1_11.0,games_played_team_1_12.0,games_played_team_1_13.0,games_played_team_1_14.0,games_played_team_1_15.0,games_played_team_1_16.0,games_played_team_1_17.0,games_played_team_1_18.0,games_played_team_2_2.0,games_played_team_2_3.0,games_played_team_2_4.0,games_played_team_2_5.0,games_played_team_2_6.0,games_played_team_2_7.0,games_played_team_2_8.0,games_played_team_2_9.0,games_played_team_2_10.0,games_played_team_2_11.0,games_played_team_2_12.0,games_played_team_2_13.0,games_played_team_2_14.0,games_played_team_2_15.0,games_played_team_2_16.0,games_played_team_2_17.0,games_played_team_2_18.0,Total,Spread
0.0,21.0,28.0,243.0,11.0,139.0,104.0,139.0,1.0,4.0,2.0,6.0,6.0,1.0,2.0,8.0,20.0,101.0,5.0,55.0,46.0,1.0,28.0,21.0,243.0,11.0,104.0,139.0,1.0,1.0,1.0,55.0,41.0,350.0,2.0,177.0,173.0,10.0,4.0,7.0,2.0,13.0,64.0,4.0,313.9,26.0,38.0,260.0,12.0,256.0,156.0,104.0,2.0,4.0,2.0,4.0,10.0,1.0,1.0,2.0,34.0,117.0,11.0,39.0,78.0,6.0,37.0,26.0,260.0,13.0,156.0,104.0,1.0,2.0,2.0,37.0,11.0,98.0,0.0,65.0,33.0,37.0,12.0,3.0,6.0,21.0,47.0,6.0,419.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,11
1.0,24.0,37.0,341.0,14.0,350.0,148.0,193.0,0.0,6.0,4.0,4.0,5.0,3.0,1.0,15.0,18.0,69.0,2.0,40.0,29.0,0.0,36.0,24.0,341.0,14.0,148.0,193.0,0.0,0.0,0.0,34.0,22.0,166.0,0.0,92.0,74.0,37.0,8.0,1.0,3.0,12.0,59.0,10.0,219.2,20.0,36.0,244.0,15.0,255.0,91.0,153.0,3.0,5.0,3.0,9.0,7.0,1.0,4.0,26.0,32.0,116.0,3.0,70.0,46.0,3.0,35.0,20.0,244.0,15.0,91.0,153.0,2.0,3.0,3.0,34.0,15.0,261.0,1.0,117.0,144.0,9.0,8.0,1.0,3.0,13.0,48.0,1.0,365.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
1.0,20.0,35.0,132.0,5.0,285.0,74.0,58.0,4.0,6.0,2.0,7.0,5.0,2.0,0.0,0.0,27.0,113.0,7.0,39.0,74.0,3.0,35.0,20.0,132.0,6.0,74.0,58.0,1.0,4.0,1.0,47.0,22.0,271.0,0.0,213.0,58.0,20.0,4.0,6.0,4.0,16.0,51.0,5.0,493.9,21.0,28.0,417.0,17.0,341.0,287.0,130.0,1.0,3.0,0.0,10.0,1.0,3.0,6.0,34.8,34.0,112.0,5.0,55.0,57.0,1.0,28.0,21.0,417.0,17.0,287.0,130.0,0.0,1.0,0.0,48.0,40.0,481.0,4.0,307.0,174.0,15.0,1.0,1.0,1.0,3.0,54.0,7.0,376.20000000000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-6
0.0,21.0,43.0,251.0,9.0,380.0,159.0,92.0,2.0,10.0,4.0,12.0,3.0,6.0,2.0,8.0,18.0,74.0,4.0,30.0,44.0,2.0,39.0,21.0,251.0,9.0,159.0,92.0,1.0,2.0,1.0,40.0,20.0,133.0,0.0,86.0,47.0,9.0,5.0,2.0,2.0,9.0,53.0,6.0,377.8,17.0,26.0,161.0,9.0,155.0,72.0,89.0,0.0,4.0,3.0,5.0,5.0,1.0,1.0,1.0,32.0,147.0,9.0,51.0,96.0,3.0,25.0,17.0,161.0,9.0,72.0,89.0,3.0,0.0,0.0,32.0,22.0,203.0,0.0,131.0,72.0,15.0,7.0,3.0,6.0,17.0,57.0,6.0,245.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,7
0.0,15.0,27.0,256.0,10.0,351.0,143.0,113.0,1.0,5.0,1.0,5.0,4.0,6.0,1.0,3.0,27.0,106.0,6.0,52.0,54.0,3.0,25.0,15.0,256.0,10.0,143.0,113.0,0.0,1.0,1.0,50.0,33.0,406.0,3.0,174.0,232.0,21.0,6.0,5.0,1.0,12.0,70.0,12.0,494.1,23.0,41.0,335.0,17.0,382.0,122.0,213.0,3.0,9.0,4.0,20.0,7.0,1.0,1.0,15.0,35.0,159.0,7.0,98.0,61.0,1.0,41.0,23.0,335.0,17.0,122.0,213.0,0.0,3.0,1.0,37.0,14.0,196.0,1.0,125.0,71.0,22.0,14.0,4.0,7.0,25.0,68.0,9.0,437.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,5
1.0,20.0,28.0,230.0,9.0,291.0,141.0,89.0,1.0,5.0,1.0,10.0,0.0,1.0,0.0,0.0,29.0,120.0,7.0,71.0,49.0,0.0,28.0,20.0,230.0,9.0,141.0,89.0,1.0,1.0,3.0,40.0,19.0,214.0,0.0,107.0,107.0,6.0,4.0,1.0,0.0,5.0,62.0,5.0,287.4,16.0,21.0,198.0,10.0,166.0,115.0,83.0,1.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,36.0,169.0,7.0,46.0,123.0,8.0,20.0,16.0,198.0,10.0,115.0,83.0,1.0,1.0,5.0,57.0,31.0,319.0,1.0,173.0,146.0,20.0,11.0,4.0,0.0,15.0,46.0,8.0,451.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8
1.0,15.0,40.0,197.0,6.0,413.0,123.0,74.0,3.0,11.0,7.0,15.0,11.0,4.0,7.0,70.0,38.0,177.0,10.0,105.0,72.0,4.0,38.0,15.0,197.0,6.0,123.0,74.0,1.0,3.0,3.0,42.0,23.0,328.0,1.0,125.0,203.0,31.0,7.0,2.0,4.0,13.0,71.0,9.0,395.0,37.0,45.0,439.0,19.0,348.0,272.0,167.0,1.0,3.0,1.0,11.0,3.0,1.0,0.0,0.0,13.0,43.0,5.0,16.0,27.0,1.0,44.0,37.0,439.0,19.0,272.0,167.0,2.0,1.0,0.0,29.0,22.0,432.0,4.0,296.0,136.0,17.0,1.0,2.0,0.0,3.0,53.0,7.0,349.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-3
0.0,17.0,34.0,176.0,8.0,377.0,117.0,59.0,4.0,8.0,3.0,9.0,4.0,8.0,5.0,45.0,34.0,167.0,10.0,104.0,63.0,2.0,34.0,17.0,176.0,8.0,117.0,59.0,2.0,4.0,1.0,40.0,27.0,305.0,3.0,211.0,94.0,17.0,4.0,3.0,2.0,9.0,61.0,7.0,347.9,20.0,38.0,220.0,13.0,259.0,105.0,115.0,3.0,11.0,0.0,7.0,4.0,1.0,1.0,7.0,29.0,116.0,4.0,51.0,65.0,1.0,38.0,20.0,220.0,12.0,105.0,115.0,0.0,3.0,2.0,31.0,17.0,247.0,2.0,157.0,90.0,9.0,0.0,1.0,1.0,2.0,57.0,7.0,347.29999999999984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,-3
1.0,39.0,53.0,319.0,17.0,297.0,156.0,163.0,1.0,6.0,2.0,12.0,3.0,7.0,1.0,7.0,22.0,75.0,4.0,35.0,40.0,1.0,52.0,39.0,319.0,17.0,156.0,163.0,0.0,1.0,1.0,28.0,22.0,255.0,2.0,98.0,157.0,10.0,5.0,0.0,2.0,7.0,50.0,5.0,132.79999999999998,21.0,30.0,255.0,13.0,101.0,75.0,180.0,1.0,5.0,3.0,17.0,7.0,7.0,3.0,12.9,42.0,182.0,10.0,89.0,93.0,3.0,29.0,21.0,255.0,13.0,75.0,180.0,5.0,1.0,1.0,35.0,20.0,153.0,0.0,87.0,66.0,12.0,2.0,2.0,2.0,6.0,36.0,7.0,238.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12
0.0,11.0,33.0,98.0,5.0,368.0,65.0,33.0,3.0,8.0,6.0,15.0,9.0,3.0,3.0,15.0,22.0,83.0,3.0,40.0,43.0,2.0,32.0,11.0,98.0,5.0,65.0,33.0,0.0,3.0,0.0,45.0,33.0,322.0,4.0,196.0,126.0,7.0,11.0,1.0,2.0,15.0,63.0,12.0,296.4,34.0,51.0,424.0,23.0,483.0,175.0,249.0,5.0,8.0,1.0,9.0,6.0,5.0,0.0,0.0,22.0,123.0,7.0,65.0,58.0,6.0,50.0,34.0,424.0,23.0,175.0,249.0,8.0,5.0,0.0,24.0,14.0,284.0,2.0,180.0,104.0,8.0,4.0,6.0,1.0,11.0,46.0,8.0,373.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-11
