Year,Week,Month,Day of Week,Day Number,Hour,Team 1,Team 2,Team 1 Score,Team 2 Score,Total,Spread,Team 1 Win
2018,1,9,3,6,20,atl,phi,12,18,30,-6,False
2018,1,9,6,9,13,nor,tam,40,48,88,-8,False
2018,1,9,6,9,13,min,sfo,24,16,40,8,True
2018,1,9,6,9,13,mia,oti,27,20,47,7,True
2018,1,9,6,9,13,jax,nyg,20,15,35,5,True
2018,1,9,6,9,13,cle,pit,21,21,42,0,False
2018,1,9,6,9,13,htx,nwe,20,27,47,-7,False
2018,1,9,6,9,13,clt,cin,23,34,57,-11,False
2018,1,9,6,9,13,buf,rav,3,47,50,-44,False
2018,1,9,6,9,16,kan,sdg,38,28,66,10,True
2018,1,9,6,9,16,car,dal,16,8,24,8,True
2018,1,9,6,9,16,crd,was,6,24,30,-18,False
2018,1,9,6,9,16,den,sea,27,24,51,3,True
2018,1,9,6,9,20,chi,gnb,23,24,47,-1,False
2018,1,9,0,10,19,det,nyj,17,48,65,-31,False
2018,1,9,0,10,22,rai,ram,13,33,46,-20,False
2018,2,9,3,13,20,cin,rav,34,23,57,11,True
2018,2,9,6,16,13,gnb,min,29,29,58,0,False
2018,2,9,6,16,13,phi,tam,21,27,48,-6,False
2018,2,9,6,16,13,atl,car,31,24,55,7,True
2018,2,9,6,16,13,kan,pit,42,37,79,5,True
2018,2,9,6,16,13,mia,nyj,20,12,32,8,True
2018,2,9,6,16,13,cle,nor,18,21,39,-3,False
2018,2,9,6,16,13,htx,oti,17,20,37,-3,False
2018,2,9,6,16,13,clt,was,21,9,30,12,True
2018,2,9,6,16,13,buf,sdg,20,31,51,-11,False
2018,2,9,6,16,16,det,sfo,27,30,57,-3,False
2018,2,9,6,16,16,crd,ram,0,34,34,-34,False
2018,2,9,6,16,16,jax,nwe,31,20,51,11,True
2018,2,9,6,16,16,den,rai,20,19,39,1,True
2018,2,9,6,16,20,dal,nyg,20,13,33,7,True
2018,2,9,0,17,20,chi,sea,24,17,41,7,True
2018,3,9,3,20,20,cle,nyj,21,17,38,4,True
2018,3,9,6,23,13,htx,nyg,22,27,49,-5,False
2018,3,9,6,23,13,den,rav,14,27,41,-13,False
2018,3,9,6,23,13,clt,phi,16,20,36,-4,False
2018,3,9,6,23,13,buf,min,27,6,33,21,True
2018,3,9,6,23,13,gnb,was,17,31,48,-14,False
2018,3,9,6,23,13,cin,car,21,31,52,-10,False
2018,3,9,6,23,13,atl,nor,37,43,80,-6,False
2018,3,9,6,23,13,kan,sfo,38,27,65,11,True
2018,3,9,6,23,13,mia,rai,28,20,48,8,True
2018,3,9,6,23,13,jax,oti,6,9,15,-3,False
2018,3,9,6,23,16,ram,sdg,35,23,58,12,True
2018,3,9,6,23,16,dal,sea,13,24,37,-11,False
2018,3,9,6,23,16,crd,chi,14,16,30,-2,False
2018,3,9,6,23,20,det,nwe,26,10,36,16,True
2018,3,9,0,24,20,pit,tam,30,27,57,3,True
2018,4,9,3,27,20,min,ram,31,38,69,-7,False
2018,4,9,6,30,13,mia,nwe,7,38,45,-31,False
2018,4,9,6,30,13,jax,nyj,31,12,43,19,True
2018,4,9,6,30,13,clt,htx,34,37,71,-3,False
2018,4,9,6,30,13,buf,gnb,0,22,22,-22,False
2018,4,9,6,30,13,det,dal,24,26,50,-2,False
2018,4,9,6,30,13,chi,tam,48,10,58,38,True
2018,4,9,6,30,13,oti,phi,26,23,49,3,True
2018,4,9,6,30,13,atl,cin,36,37,73,-1,False
2018,4,9,6,30,16,cle,rai,42,45,87,-3,False
2018,4,9,6,30,16,crd,sea,17,20,37,-3,False
2018,4,9,6,30,16,nyg,nor,18,33,51,-15,False
2018,4,9,6,30,16,sfo,sdg,27,29,56,-2,False
2018,4,9,6,30,20,pit,rav,14,26,40,-12,False
2018,4,10,0,1,20,den,kan,23,27,50,-4,False
2018,5,10,3,4,20,clt,nwe,24,38,62,-14,False
2018,5,10,6,7,13,car,nyg,33,31,64,2,True
2018,5,10,6,7,13,det,gnb,31,23,54,8,True
2018,5,10,6,7,13,cin,mia,27,17,44,10,True
2018,5,10,6,7,13,atl,pit,17,41,58,-24,False
2018,5,10,6,7,13,jax,kan,14,30,44,-16,False
2018,5,10,6,7,13,cle,rav,12,9,21,3,True
2018,5,10,6,7,13,den,nyj,16,34,50,-18,False
2018,5,10,6,7,13,buf,oti,13,12,25,1,True
2018,5,10,6,7,16,rai,sdg,10,26,36,-16,False
2018,5,10,6,7,16,crd,sfo,28,18,46,10,True
2018,5,10,6,7,16,ram,sea,33,31,64,2,True
2018,5,10,6,7,16,min,phi,23,21,44,2,True
2018,5,10,6,7,20,dal,htx,16,19,35,-3,False
2018,5,10,0,8,20,nor,was,43,19,62,24,True
2018,6,10,3,11,20,nyg,phi,13,34,47,-21,False
2018,6,10,6,14,13,chi,mia,28,31,59,-3,False
2018,6,10,6,14,13,car,was,17,23,40,-6,False
2018,6,10,6,14,13,clt,nyj,34,42,76,-8,False
