Year,Week,Home,Games Played,avg.Cmp,avg.Att,avg.Yds,avg.1D,avg.IAY,avg.CAY,avg.YAC,avg.Drops,avg.BadTh,avg.Sk,avg.Bltz,avg.Hrry,avg.Hits,avg.Scrm,avg.ScrambleYds,avg.Att.1,avg.Yds.1,avg.1D.1,avg.YBC,avg.YAC.1,avg.BrkTkl,avg.Tgt,avg.Rec,avg.Yds.2,avg.1D.2,avg.YBC.1,avg.YAC.2,avg.BrkTkl.1,avg.Drop,avg.Int,avg.Tgt.1,avg.Cmp.1,avg.Yds.3,avg.TD,avg.Air,avg.YAC.3,avg.Bltz.1,avg.Hrry.1,avg.QBKD,avg.Sk.1,avg.Prss,avg.Comb,avg.MTkl,avg.total.DADOT
2018.0,1.0,1.0,1.0,24.0,37.0,341.0,14.0,350.0,148.0,193.0,0.0,6.0,4.0,4.0,5.0,3.0,1.0,15.0,18.0,69.0,2.0,40.0,29.0,0.0,36.0,24.0,341.0,14.0,148.0,193.0,0.0,0.0,0.0,34.0,22.0,166.0,0.0,92.0,74.0,37.0,8.0,1.0,3.0,12.0,59.0,10.0,219.2
2018.0,2.0,1.0,2.0,27.0,39.5,311.0,12.5,325.0,153.0,158.0,1.0,4.5,4.0,7.5,4.5,3.5,1.5,13.0,21.0,83.5,5.5,58.0,25.5,0.5,38.5,27.0,311.0,12.5,153.0,158.0,1.0,1.0,0.5,44.0,31.5,323.5,2.5,198.0,125.5,38.0,7.5,1.5,2.5,12.0,62.0,8.0,330.54999999999995
2018.0,3.0,0.0,3.0,27.0,41.333333333333336,295.6666666666667,12.0,325.3333333333333,135.0,160.66666666666666,2.0,6.0,4.0,7.666666666666667,5.0,3.0,1.6666666666666667,13.0,19.666666666666668,89.0,6.0,60.666666666666664,28.333333333333332,0.3333333333333333,40.666666666666664,27.0,295.6666666666667,12.0,137.0,158.66666666666666,1.6666666666666667,2.0,0.6666666666666666,36.333333333333336,25.0,304.3333333333333,2.6666666666666665,185.66666666666666,118.66666666666667,27.333333333333332,6.333333333333333,1.3333333333333333,1.6666666666666667,9.666666666666666,61.333333333333336,9.333333333333334,301.66666666666663
2018.0,4.0,1.0,4.0,25.75,41.0,296.25,12.0,349.75,139.75,156.5,2.75,6.5,3.5,7.75,4.25,2.75,2.25,18.25,22.75,102.0,6.75,63.25,38.75,0.75,40.5,25.75,296.25,12.0,141.25,155.0,1.25,2.75,1.0,35.25,22.5,261.75,2.0,158.25,103.5,29.5,6.5,1.75,3.0,11.75,58.75,8.75,301.5
2018.0,5.0,0.0,5.0,27.0,43.2,325.4,14.2,371.0,162.4,163.0,2.6,8.0,3.6,7.2,4.2,2.8,2.2,16.8,22.2,101.2,6.6,63.4,37.8,0.8,42.4,27.0,325.4,14.2,163.6,161.8,1.0,2.6,0.8,33.6,21.0,248.4,2.0,143.0,105.4,29.4,6.0,1.6,3.0,11.0,54.8,8.8,288.65999999999997
2018.0,6.0,1.0,6.0,26.666666666666668,43.666666666666664,342.0,14.666666666666666,372.3333333333333,169.83333333333334,172.16666666666666,2.3333333333333335,8.5,3.5,8.333333333333334,5.666666666666667,3.0,2.3333333333333335,19.650000000000002,22.0,103.66666666666667,6.833333333333333,69.33333333333333,34.333333333333336,0.8333333333333334,42.666666666666664,26.666666666666668,342.0,14.666666666666666,170.83333333333334,171.16666666666666,1.5,2.3333333333333335,0.8333333333333334,32.0,20.333333333333332,251.33333333333334,2.0,144.5,106.83333333333333,28.333333333333332,5.5,1.6666666666666667,2.8333333333333335,10.333333333333334,54.166666666666664,9.0,273.68333333333334
2018.0,7.0,1.0,6.0,26.666666666666668,43.666666666666664,342.0,14.666666666666666,372.3333333333333,169.83333333333334,172.16666666666666,2.3333333333333335,8.5,3.5,8.333333333333334,5.666666666666667,3.0,2.3333333333333335,19.650000000000002,22.0,103.66666666666667,6.833333333333333,69.33333333333333,34.333333333333336,0.8333333333333334,42.666666666666664,26.666666666666668,342.0,14.666666666666666,170.83333333333334,171.16666666666666,1.5,2.3333333333333335,0.8333333333333334,32.0,20.333333333333332,251.33333333333334,2.0,144.5,106.83333333333333,28.333333333333332,5.5,1.6666666666666667,2.8333333333333335,10.333333333333334,54.166666666666664,9.0,273.68333333333334
2018.0,8.0,0.0,7.0,25.428571428571427,41.714285714285715,334.0,14.142857142857142,355.85714285714283,169.85714285714286,164.14285714285714,2.0,8.428571428571429,3.4285714285714284,8.571428571428571,5.714285714285714,3.2857142857142856,2.142857142857143,17.557142857142857,21.571428571428573,104.0,6.571428571428571,68.14285714285714,35.857142857142854,0.8571428571428571,40.857142857142854,25.428571428571427,334.0,14.142857142857142,170.71428571428572,163.28571428571428,1.2857142857142858,2.0,0.7142857142857143,32.0,20.285714285714285,256.7142857142857,2.0,153.85714285714286,102.85714285714286,28.0,6.428571428571429,1.8571428571428572,3.142857142857143,11.714285714285714,55.142857142857146,8.285714285714286,290.45714285714286
2018.0,9.0,0.0,8.0,25.25,41.875,324.625,14.125,361.0,168.25,156.375,1.875,8.375,3.125,8.75,5.625,3.375,2.25,16.6,22.0,105.625,6.5,68.25,37.375,0.875,40.625,25.25,324.625,14.125,169.0,155.625,1.125,1.875,0.625,32.75,20.75,266.75,1.875,151.875,114.875,26.375,5.75,1.75,3.0,10.75,55.25,7.75,293.78749999999997
2018.0,10.0,1.0,9.0,24.555555555555557,40.333333333333336,310.6666666666667,13.777777777777779,342.3333333333333,159.44444444444446,151.22222222222223,1.8888888888888888,7.777777777777778,3.0,8.777777777777779,5.222222222222222,3.111111111111111,2.3333333333333335,17.422222222222224,22.333333333333332,115.55555555555556,6.777777777777778,78.33333333333333,37.22222222222222,0.7777777777777778,39.0,24.555555555555557,310.6666666666667,13.777777777777779,160.11111111111111,150.55555555555554,1.0,1.8888888888888888,0.6666666666666666,33.333333333333336,21.11111111111111,261.3333333333333,1.6666666666666667,146.22222222222223,115.11111111111111,26.22222222222222,5.444444444444445,1.7777777777777777,3.3333333333333335,10.777777777777779,55.666666666666664,8.222222222222221,287.46666666666664
