Year,Week,Home,Games Played,avg.Cmp,avg.Att,avg.Yds,avg.1D,avg.IAY,avg.CAY,avg.YAC,avg.Drops,avg.BadTh,avg.Sk,avg.Bltz,avg.Hrry,avg.Hits,avg.Scrm,avg.ScrambleYds,avg.Att.1,avg.Yds.1,avg.1D.1,avg.YBC,avg.YAC.1,avg.BrkTkl,avg.Tgt,avg.Rec,avg.Yds.2,avg.1D.2,avg.YBC.1,avg.YAC.2,avg.BrkTkl.1,avg.Drop,avg.Int,avg.Tgt.1,avg.Cmp.1,avg.Yds.3,avg.TD,avg.Air,avg.YAC.3,avg.Bltz.1,avg.Hrry.1,avg.QBKD,avg.Sk.1,avg.Prss,avg.Comb,avg.MTkl,avg.total.DADOT
2018.0,1.0,1.0,1.0,20.0,36.0,244.0,15.0,255.0,91.0,153.0,3.0,5.0,3.0,9.0,7.0,1.0,4.0,26.0,32.0,116.0,3.0,70.0,46.0,3.0,35.0,20.0,244.0,15.0,91.0,153.0,2.0,3.0,3.0,34.0,15.0,261.0,1.0,117.0,144.0,9.0,8.0,1.0,3.0,13.0,48.0,1.0,365.5
2018.0,2.0,0.0,2.0,27.5,42.0,334.5,17.5,308.0,170.5,164.0,3.5,4.0,2.5,9.0,6.5,1.5,3.0,15.5,25.0,92.0,3.0,58.0,34.0,2.0,41.5,27.5,334.5,17.5,170.5,164.0,1.5,3.5,1.5,38.0,23.0,279.0,1.0,145.5,133.5,11.5,6.5,2.5,3.5,13.5,56.5,3.5,340.6
2018.0,3.0,1.0,3.0,31.666666666666668,46.333333333333336,321.6666666666667,17.333333333333332,317.0,156.0,165.66666666666666,3.0,4.666666666666667,3.0,9.0,7.0,1.6666666666666667,2.3333333333333335,11.0,18.666666666666668,66.0,2.3333333333333335,38.0,28.0,1.3333333333333333,46.0,31.666666666666668,321.6666666666667,17.333333333333332,156.0,165.66666666666666,2.0,3.0,1.0,33.333333333333336,21.0,261.0,1.3333333333333333,123.66666666666667,137.33333333333334,12.0,6.0,2.3333333333333335,3.3333333333333335,12.333333333333334,59.333333333333336,4.0,297.7666666666667
2018.0,4.0,0.0,4.0,32.75,47.25,346.75,18.5,313.75,173.5,173.25,2.75,4.25,3.25,11.25,7.75,2.25,2.25,14.25,18.25,63.0,2.5,35.5,27.5,1.25,46.75,32.75,346.75,18.5,173.5,173.25,2.25,2.75,0.75,32.75,21.5,294.5,2.25,153.25,141.25,13.25,5.0,2.0,2.75,10.25,56.75,4.5,302.75
2018.0,5.0,0.0,5.0,32.2,45.2,337.6,17.4,294.4,166.8,170.8,2.2,4.0,2.8,10.6,7.4,2.8,2.0,12.0,19.2,65.8,3.0,39.2,26.6,1.4,44.8,32.2,337.6,17.4,166.8,170.8,2.4,2.2,0.6,32.4,22.0,297.8,2.2,160.2,137.6,13.0,4.4,1.6,2.8,9.2,54.2,4.8,298.38
2018.0,6.0,1.0,6.0,30.833333333333332,43.333333333333336,320.1666666666667,16.5,272.0,162.5,157.66666666666666,2.0,3.5,3.0,10.5,7.166666666666667,2.5,1.8333333333333333,10.833333333333334,21.333333333333332,87.33333333333333,3.8333333333333335,48.5,38.833333333333336,1.5,42.5,30.833333333333332,320.1666666666667,16.5,162.5,157.66666666666666,2.1666666666666665,2.0,0.6666666666666666,32.166666666666664,21.666666666666668,287.6666666666667,1.8333333333333333,157.16666666666666,130.5,13.0,4.166666666666667,1.6666666666666667,3.0,9.166666666666666,54.0,4.5,284.03333333333336
2018.0,7.0,0.0,7.0,30.0,42.857142857142854,308.85714285714283,15.571428571428571,292.2857142857143,163.42857142857142,145.42857142857142,2.0,3.5714285714285716,2.7142857142857144,11.142857142857142,7.0,2.857142857142857,1.5714285714285714,9.285714285714286,21.714285714285715,87.42857142857143,3.7142857142857144,46.57142857142857,40.857142857142854,1.7142857142857142,42.0,30.0,308.85714285714283,15.571428571428571,163.42857142857142,145.42857142857142,1.8571428571428572,2.0,1.0,32.57142857142857,20.285714285714285,269.14285714285717,1.7142857142857142,145.14285714285714,124.0,13.428571428571429,4.714285714285714,1.4285714285714286,3.0,9.714285714285714,53.714285714285715,4.428571428571429,312.15714285714284
2018.0,8.0,1.0,8.0,30.125,42.625,315.125,16.0,290.875,171.75,143.375,1.75,3.375,2.875,10.875,6.25,2.75,1.375,8.125,21.75,87.125,3.75,44.625,42.5,1.75,41.75,30.125,315.125,16.0,171.75,143.375,1.625,1.75,1.0,31.375,20.125,259.125,1.625,142.25,116.875,12.125,4.375,1.375,2.625,8.875,54.25,4.25,291.0125
2018.0,9.0,1.0,9.0,28.77777777777778,40.333333333333336,298.3333333333333,15.333333333333334,273.1111111111111,159.88888888888889,138.44444444444446,1.6666666666666667,3.2222222222222223,2.6666666666666665,9.777777777777779,5.666666666666667,2.4444444444444446,1.2222222222222223,7.222222222222222,21.88888888888889,91.66666666666667,3.6666666666666665,52.0,39.666666666666664,1.6666666666666667,39.55555555555556,28.77777777777778,298.3333333333333,15.333333333333334,159.88888888888889,138.44444444444446,1.5555555555555556,1.6666666666666667,0.8888888888888888,31.22222222222222,20.333333333333332,247.66666666666666,1.4444444444444444,133.77777777777777,113.88888888888889,11.88888888888889,4.333333333333333,1.5555555555555556,3.4444444444444446,10.0,55.44444444444444,4.222222222222222,273.58888888888885
2018.0,10.0,1.0,9.0,28.77777777777778,40.333333333333336,298.3333333333333,15.333333333333334,273.1111111111111,159.88888888888889,138.44444444444446,1.6666666666666667,3.2222222222222223,2.6666666666666665,9.777777777777779,5.666666666666667,2.4444444444444446,1.2222222222222223,7.222222222222222,21.88888888888889,91.66666666666667,3.6666666666666665,52.0,39.666666666666664,1.6666666666666667,39.55555555555556,28.77777777777778,298.3333333333333,15.333333333333334,159.88888888888889,138.44444444444446,1.5555555555555556,1.6666666666666667,0.8888888888888888,31.22222222222222,20.333333333333332,247.66666666666666,1.4444444444444444,133.77777777777777,113.88888888888889,11.88888888888889,4.333333333333333,1.5555555555555556,3.4444444444444446,10.0,55.44444444444444,4.222222222222222,273.58888888888885
2018.0,11.0,0.0,10.0,28.9,40.9,294.7,15.3,282.9,160.5,134.2,1.5,3.9,2.6,9.2,6.2,2.6,1.2,7.0,21.1,84.7,3.5,47.7,37.0,1.5,40.1,28.9,294.7,15.3,160.5,134.2,1.6,1.5,1.0,31.4,20.5,242.9,1.4,133.3,109.6,11.4,5.2,1.5,3.2,10.5,55.6,4.7,276.02
2018.0,12.0,1.0,11.0,28.90909090909091,40.63636363636363,299.0,15.545454545454545,282.1818181818182,162.72727272727272,136.27272727272728,1.4545454545454546,4.0,2.5454545454545454,9.0,5.7272727272727275,2.5454545454545454,1.3636363636363635,7.8090909090909095,21.818181818181817,85.27272727272727,3.5454545454545454,48.0,37.27272727272727,1.4545454545454546,39.81818181818182,28.90909090909091,299.0,15.545454545454545,162.72727272727272,136.27272727272728,1.6363636363636365,1.4545454545454546,0.9090909090909091,31.09090909090909,20.363636363636363,241.9090909090909,1.3636363636363635,135.54545454545453,106.36363636363636,10.818181818181818,5.2727272727272725,1.4545454545454546,3.272727272727273,10.545454545454545,54.63636363636363,4.545454545454546,277.8636363636364
2018.0,13.0,0.0,12.0,29.166666666666668,40.916666666666664,290.8333333333333,15.166666666666666,283.5,157.0,133.83333333333334,1.5,4.25,2.5,9.416666666666666,5.416666666666667,2.6666666666666665,1.25,7.158333333333334,21.083333333333332,86.08333333333333,3.6666666666666665,48.583333333333336,37.5,1.5,40.166666666666664,29.166666666666668,290.8333333333333,15.166666666666666,157.0,133.83333333333334,1.5833333333333333,1.5,0.9166666666666666,31.166666666666668,20.666666666666668,243.91666666666666,1.3333333333333333,131.25,112.66666666666667,11.083333333333334,5.083333333333333,1.4166666666666667,3.0,10.0,54.583333333333336,4.583333333333333,265.01666666666665
2018.0,14.0,0.0,13.0,28.46153846153846,40.30769230769231,284.46153846153845,14.692307692307692,280.61538461538464,152.92307692307693,131.53846153846155,1.6153846153846154,4.230769230769231,2.4615384615384617,8.923076923076923,6.076923076923077,2.769230769230769,1.1538461538461537,6.607692307692308,21.076923076923077,85.38461538461539,3.769230769230769,48.92307692307692,36.46153846153846,1.4615384615384615,39.46153846153846,28.46153846153846,284.46153846153845,14.692307692307692,152.92307692307693,131.53846153846155,1.6153846153846154,1.6153846153846154,0.9230769230769231,30.076923076923077,19.846153846153847,230.69230769230768,1.2307692307692308,123.53846153846153,107.15384615384616,11.076923076923077,5.538461538461538,1.3076923076923077,2.923076923076923,10.23076923076923,55.84615384615385,4.6923076923076925,257.61538461538464
2018.0,15.0,1.0,14.0,27.428571428571427,38.92857142857143,279.5,14.357142857142858,270.85714285714283,150.78571428571428,128.71428571428572,1.5714285714285714,4.071428571428571,2.4285714285714284,8.928571428571429,5.714285714285714,2.7142857142857144,1.1428571428571428,6.3500000000000005,22.428571428571427,95.0,4.214285714285714,54.42857142857143,40.57142857142857,1.4285714285714286,38.07142857142857,27.428571428571427,279.5,14.357142857142858,150.78571428571428,128.71428571428572,1.5,1.5714285714285714,0.8571428571428571,29.642857142857142,19.357142857142858,222.57142857142858,1.1428571428571428,117.78571428571429,104.78571428571429,11.857142857142858,5.357142857142857,1.3571428571428572,3.357142857142857,10.5,54.857142857142854,4.571428571428571,255.37142857142857
