Year,Week,Home,Games Played,avg.Cmp,avg.Att,avg.Yds,avg.1D,avg.IAY,avg.CAY,avg.YAC,avg.Drops,avg.BadTh,avg.Sk,avg.Bltz,avg.Hrry,avg.Hits,avg.Scrm,avg.ScrambleYds,avg.Att.1,avg.Yds.1,avg.1D.1,avg.YBC,avg.YAC.1,avg.BrkTkl,avg.Tgt,avg.Rec,avg.Yds.2,avg.1D.2,avg.YBC.1,avg.YAC.2,avg.BrkTkl.1,avg.Drop,avg.Int,avg.Tgt.1,avg.Cmp.1,avg.Yds.3,avg.TD,avg.Air,avg.YAC.3,avg.Bltz.1,avg.Hrry.1,avg.QBKD,avg.Sk.1,avg.Prss,avg.Comb,avg.MTkl,avg.total.DADOT
2018.0,1.0,0.0,1.0,19.0,33.0,298.0,10.0,337.0,141.0,157.0,2.0,7.0,6.0,9.0,6.0,4.0,1.0,5.0,16.0,64.0,1.0,45.0,19.0,0.0,33.0,19.0,298.0,10.0,141.0,157.0,5.0,2.0,3.0,39.0,24.0,325.0,3.0,161.0,164.0,5.0,5.0,4.0,1.0,10.0,55.0,7.0,388.4
2018.0,2.0,0.0,2.0,20.5,34.5,262.0,10.0,313.0,149.5,112.5,1.5,6.5,6.0,7.0,9.0,3.0,2.0,11.05,19.0,69.0,3.5,42.5,26.5,2.0,33.0,20.5,262.0,10.0,149.5,112.5,2.5,1.5,2.5,36.5,25.0,262.5,2.5,130.0,132.5,8.5,6.0,2.0,1.5,9.5,53.0,7.5,297.7
2018.0,3.0,1.0,3.0,19.0,31.666666666666668,238.66666666666666,10.0,289.0,135.66666666666666,103.0,1.6666666666666667,5.333333333333333,4.666666666666667,7.333333333333333,7.333333333333333,3.3333333333333335,1.3333333333333333,7.366666666666667,25.666666666666668,83.66666666666667,4.333333333333333,37.666666666666664,46.0,3.0,30.333333333333332,19.0,238.66666666666666,10.0,135.66666666666666,103.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,36.0,23.0,231.0,2.0,113.66666666666667,117.33333333333333,13.0,6.333333333333333,2.6666666666666665,2.6666666666666665,11.666666666666666,50.666666666666664,6.666666666666667,265.23333333333335
2018.0,4.0,0.0,4.0,19.0,30.25,222.0,9.0,250.75,122.0,100.0,1.5,4.75,4.0,8.25,7.0,2.75,1.5,8.275,27.75,105.5,6.0,56.5,49.0,3.0,29.0,19.0,222.0,9.0,122.0,100.0,1.25,1.5,1.75,33.0,20.75,216.75,1.75,118.5,98.25,11.5,5.5,3.5,2.25,11.25,49.25,5.5,263.925
2018.0,5.0,1.0,5.0,17.8,28.4,217.2,9.0,248.6,125.4,91.8,1.2,4.0,3.6,7.4,6.8,2.4,1.2,6.62,28.6,122.4,6.4,67.0,55.4,2.8,27.0,17.8,217.2,9.0,125.4,91.8,1.0,1.2,1.8,34.0,22.2,258.0,1.6,134.4,123.6,11.6,5.2,3.2,1.8,10.2,49.2,5.6,286.64
2018.0,6.0,0.0,6.0,17.666666666666668,27.5,218.0,9.333333333333334,244.5,126.83333333333333,91.16666666666667,1.1666666666666667,3.5,3.1666666666666665,6.333333333333333,5.666666666666667,2.3333333333333335,1.3333333333333333,7.8500000000000005,30.0,127.83333333333333,6.333333333333333,68.16666666666667,59.666666666666664,3.0,26.333333333333332,17.666666666666668,218.0,9.333333333333334,126.83333333333333,91.16666666666667,1.0,1.1666666666666667,1.5,33.666666666666664,22.666666666666668,241.83333333333334,1.3333333333333333,112.5,129.33333333333334,10.333333333333334,4.5,3.5,2.5,10.666666666666666,48.5,5.5,252.79999999999998
2018.0,7.0,0.0,6.0,17.666666666666668,27.5,218.0,9.333333333333334,244.5,126.83333333333333,91.16666666666667,1.1666666666666667,3.5,3.1666666666666665,6.333333333333333,5.666666666666667,2.3333333333333335,1.3333333333333333,7.8500000000000005,30.0,127.83333333333333,6.333333333333333,68.16666666666667,59.666666666666664,3.0,26.333333333333332,17.666666666666668,218.0,9.333333333333334,126.83333333333333,91.16666666666667,1.0,1.1666666666666667,1.5,33.666666666666664,22.666666666666668,241.83333333333334,1.3333333333333333,112.5,129.33333333333334,10.333333333333334,4.5,3.5,2.5,10.666666666666666,48.5,5.5,252.79999999999998
2018.0,8.0,0.0,7.0,17.142857142857142,26.0,222.28571428571428,9.571428571428571,236.28571428571428,135.0,87.28571428571429,1.0,3.4285714285714284,3.0,6.714285714285714,5.142857142857143,2.142857142857143,1.1428571428571428,6.728571428571429,31.714285714285715,134.71428571428572,6.571428571428571,75.14285714285714,59.57142857142857,2.857142857142857,25.0,17.142857142857142,222.28571428571428,9.428571428571429,135.0,87.28571428571429,0.8571428571428571,1.0,1.4285714285714286,34.42857142857143,22.428571428571427,251.57142857142858,1.4285714285714286,117.28571428571429,134.28571428571428,9.571428571428571,4.428571428571429,3.2857142857142856,2.4285714285714284,10.285714285714286,47.857142857142854,5.571428571428571,255.09999999999997
2018.0,9.0,1.0,8.0,18.25,27.625,223.875,9.625,236.0,131.25,92.625,1.0,4.0,3.125,6.625,4.875,2.25,1.5,10.8875,31.75,137.125,7.125,76.875,60.25,2.75,26.5,18.25,223.875,9.5,131.25,92.625,0.875,1.0,1.25,33.75,21.625,253.125,1.5,123.125,130.0,8.625,4.0,3.25,2.375,9.75,47.75,5.875,264.7625
2018.0,10.0,0.0,9.0,18.11111111111111,27.444444444444443,218.55555555555554,9.555555555555555,233.88888888888889,129.33333333333334,89.22222222222223,1.0,4.0,3.2222222222222223,6.555555555555555,4.777777777777778,2.3333333333333335,2.111111111111111,17.377777777777776,32.0,152.22222222222223,8.0,92.11111111111111,60.111111111111114,2.888888888888889,26.11111111111111,18.11111111111111,218.55555555555554,9.444444444444445,129.33333333333334,89.22222222222223,1.0,1.0,1.1111111111111112,34.111111111111114,22.444444444444443,263.1111111111111,1.5555555555555556,132.77777777777777,130.33333333333334,9.0,3.7777777777777777,3.111111111111111,2.3333333333333335,9.444444444444445,48.0,6.0,267.0
