Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,0,21,43,251,9.0,380,159,92,2,10,4,12,3,6,2,8.0,18,74,4.0,30,44,2,39,21,251,9.0,159,92,1,2,1,40,20,133.0,0.0,86.0,47.0,9,5,2,2.0,9,53,6,377.8
2018,2,1,23,28,272,12.0,293,139,133,2,3,0,7,0,2,3,17.1,32,170,10.0,101,69,4,28,23,272,12.0,139,133,1,2,1,47,16,318.0,3.0,142.0,176.0,9,3,2,2.0,7,52,6,402.29999999999995
2018,3,1,26,35,374,19.0,308,222,152,0,5,3,10,7,3,3,12.899999999999999,22,48,1.0,30,18,0,34,26,374,19.0,222,152,2,0,0,54,43,442.0,4.0,196.0,246.0,10,6,1,1.0,8,69,14,339.5
2018,4,1,29,39,419,20.0,430,256,163,1,6,3,11,6,5,1,1.0,24,92,4.0,68,24,0,38,29,419,20.0,256,163,3,1,1,42,30,346.0,3.0,160.0,186.0,10,13,1,3.0,18,58,4,293.3
2018,5,0,31,45,305,14.0,359,141,164,2,10,6,18,4,2,1,10.0,19,62,4.0,51,11,0,45,31,305,14.0,141,164,1,2,1,27,14,207.0,3.0,115.0,92.0,8,1,2,0.0,3,45,7,226.5
2018,6,1,31,41,355,19.0,395,223,132,3,5,1,17,2,3,1,13.0,22,70,6.0,23,47,1,41,31,355,19.0,223,132,1,3,2,42,32,415.0,5.0,282.0,133.0,7,1,2,2.0,5,52,7,475.1
2018,7,1,31,39,379,15.0,305,231,148,2,3,3,14,7,2,0,0.0,20,67,5.0,64,3,1,36,31,379,15.0,231,148,1,2,0,35,25,372.0,1.0,161.0,211.0,13,7,3,4.0,14,59,9,250.10000000000002
2018,9,0,26,38,350,17.0,235,112,238,2,3,2,17,2,2,0,0.0,24,154,6.0,97,57,1,37,26,350,17.0,112,238,1,2,1,46,31,311.0,1.0,180.0,131.0,15,8,3,3.0,14,53,5,367.9
2018,10,0,38,52,330,19.0,248,185,145,4,6,2,14,5,1,2,13.0,19,71,5.0,28,43,1,51,38,330,19.0,185,145,1,4,1,23,13,226.0,3.0,122.0,104.0,8,1,0,0.0,1,38,4,186.0
2018,11,1,24,34,291,13.0,332,168,123,3,1,3,9,4,4,0,0.0,18,80,6.0,63,17,1,34,24,291,13.0,168,123,2,3,0,31,22,174.0,0.0,82.0,92.0,9,1,3,2.0,6,64,9,221.3
2018,12,0,35,47,377,18.0,407,240,137,1,6,6,14,1,8,2,16.0,16,26,2.0,26,0,0,47,35,377,17.0,240,137,1,1,1,23,10,171.0,4.0,139.0,32.0,1,0,0,2.0,2,48,6,296.2
2018,13,1,16,27,131,6.0,311,84,47,2,6,3,18,2,0,1,5.0,15,34,5.0,24,10,1,27,16,131,6.0,84,47,1,2,0,25,14,153.0,0.0,105.0,48.0,12,7,0,2.0,9,65,6,264.40000000000003
2018,14,0,28,42,262,16.0,358,161,101,4,6,2,15,4,3,0,0.0,24,107,5.0,75,32,3,42,28,262,16.0,161,101,3,4,0,32,23,200.0,2.0,121.0,79.0,9,5,1,4.0,10,52,3,271.1
2018,15,1,22,36,231,14.0,253,144,87,7,4,2,12,2,1,1,15.0,27,215,8.0,149,66,2,36,22,231,14.0,144,87,1,7,2,33,22,230.0,1.0,90.0,140.0,7,5,1,7.0,14,52,12,191.2
2018,16,0,15,26,239,8.0,285,128,111,2,4,1,6,1,2,0,0.0,21,194,6.0,146,48,2,26,15,239,8.0,128,111,2,2,3,59,40,348.0,0.0,194.0,154.0,21,5,6,2.0,14,82,8,505.4
2018,17,0,32,45,383,19.0,380,228,155,0,3,1,8,3,4,1,10.0,30,109,7.0,31,78,1,43,32,383,19.0,228,155,2,0,1,33,24,370.0,4.0,273.0,97.0,7,3,3,1.0,7,43,7,370.90000000000003
2019,1,0,33,46,304,16.0,360,186,118,0,6,4,10,7,3,2,24.0,17,73,5.0,48,25,2,45,33,304,16.0,186,118,3,0,0,9,8,100.0,1.0,53.0,47.0,11,2,2,1.0,5,38,7,57.0
2019,2,1,27,43,320,15.0,399,156,164,2,5,1,13,5,5,1,4.0,17,57,3.0,47,10,0,43,27,320,15.0,156,164,3,2,2,51,31,282.0,1.0,183.0,99.0,7,8,4,3.0,15,55,3,453.0
2019,3,0,29,34,304,17.0,292,212,92,1,2,0,5,1,4,0,0.0,20,93,6.0,54,39,4,33,29,304,17.0,212,92,1,1,0,41,33,383.0,3.0,191.0,192.0,12,6,3,1.0,11,56,12,251.20000000000002
2019,4,1,35,53,397,17.0,468,223,174,3,7,5,11,8,2,2,18.0,17,58,5.0,35,23,1,50,35,397,17.0,223,174,2,3,0,22,18,235.0,3.0,117.0,118.0,4,7,0,0.0,7,67,10,145.20000000000002
2019,5,0,32,46,330,14.0,366,195,135,1,7,2,20,5,0,1,7.0,20,57,5.0,38,19,0,44,32,330,14.0,195,135,2,1,0,32,27,405.0,5.0,223.0,182.0,10,1,1,0.0,2,66,9,287.70000000000005
2019,6,0,30,36,356,20.0,319,261,95,0,2,2,18,1,4,2,7.0,25,103,7.0,34,69,0,34,30,356,20.0,261,95,0,0,0,35,27,340.0,3.0,180.0,160.0,18,3,0,0.0,3,51,3,231.60000000000002
2019,7,1,22,33,224,12.0,272,179,45,2,8,5,11,5,6,1,2.0,15,38,1.0,21,17,0,33,22,224,12.0,179,45,1,2,0,37,22,268.0,2.0,130.0,138.0,23,0,3,0.0,3,63,7,373.0
2019,8,1,39,52,460,24.0,352,224,236,0,7,2,16,1,5,0,0.0,17,69,4.0,9,60,0,49,39,460,24.0,224,236,1,0,0,19,14,182.0,2.0,111.0,71.0,10,1,2,2.0,5,49,4,202.9
2019,10,0,20,35,182,9.0,260,93,89,0,4,1,12,1,4,2,13.0,34,143,9.0,81,62,0,32,20,182,9.0,93,89,0,0,0,43,31,289.0,0.0,182.0,107.0,13,1,4,6.0,12,56,3,309.8
2019,11,0,22,32,314,15.0,292,235,79,3,3,3,8,2,4,0,0.0,26,54,4.0,17,37,2,31,22,314,15.0,237,77,1,3,4,62,45,473.0,0.0,269.0,204.0,6,7,4,5.0,16,64,9,454.29999999999995
2019,12,1,28,55,326,14.0,531,226,100,0,10,6,12,3,4,1,8.0,19,57,5.0,39,18,0,53,28,326,14.0,226,100,2,0,2,28,19,296.0,3.0,186.0,110.0,10,3,1,0.0,4,57,7,264.1
2019,13,1,35,50,312,18.0,345,223,89,0,9,9,30,4,4,3,21.0,26,89,4.0,49,40,3,47,35,312,18.0,223,89,0,0,0,29,19,189.0,1.0,77.0,112.0,14,2,0,0.0,2,30,2,170.0
2019,14,1,20,34,313,13.0,322,176,137,1,6,1,19,2,6,1,8.0,32,159,9.0,129,30,4,31,20,313,13.0,176,137,3,1,2,39,27,287.0,1.0,109.0,178.0,8,1,2,5.0,8,60,6,381.6
2019,15,0,25,39,210,14.0,213,82,128,2,4,2,5,2,5,4,28.0,20,89,3.0,68,21,1,39,25,210,14.0,82,128,1,2,0,35,23,216.0,1.0,67.0,149.0,13,4,2,1.0,7,62,7,149.8
2019,16,1,32,45,384,20.0,391,262,122,2,4,1,9,2,4,1,9.0,27,135,8.0,86,49,0,43,32,384,20.0,262,122,1,2,0,32,13,188.0,1.0,92.0,96.0,11,3,1,3.0,8,40,3,237.7
2019,17,0,30,51,313,20.0,311,193,120,0,12,6,18,7,8,0,0.0,30,87,6.0,46,41,0,48,30,313,20.0,193,120,1,0,2,22,12,190.0,2.0,141.0,49.0,14,3,0,1.0,4,26,3,260.20000000000005
