Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,0.0,11.0,33.0,98.0,5.0,368.0,65.0,33.0,3.0,8.0,6.0,15.0,9.0,3.0,3.0,15.0,22.0,83.0,3.0,40.0,43.0,2.0,32.0,11.0,98.0,5.0,65.0,33.0,0.0,3.0,0.0,45.0,33.0,322.0,4.0,926.7,196.0,126.0,7.0,11.0,1.0,2.0,15.0,63.0,12.0,296.4
10.0,0.0,16.0,26.0,247.0,13.0,318.0,163.0,84.0,0.0,4.0,1.0,8.0,2.0,3.0,0.0,0.0,46.0,212.0,10.0,112.0,100.0,0.0,26.0,16.0,247.0,13.0,163.0,84.0,2.0,0.0,2.0,37.0,17.0,135.0,0.0,562.0999999999999,29.0,106.0,17.0,6.0,4.0,3.0,13.0,50.0,16.0,240.0
12.0,1.0,8.0,19.0,160.0,5.0,336.0,82.0,78.0,1.0,5.0,0.0,5.0,5.0,6.0,7.0,77.0,35.0,167.0,9.0,98.0,69.0,0.0,17.0,8.0,160.0,5.0,82.0,78.0,2.0,1.0,2.0,24.0,10.0,152.0,1.0,555.9,73.0,79.0,7.0,2.0,3.0,3.0,9.0,55.0,12.0,224.1
13.0,0.0,18.0,33.0,231.0,10.0,518.0,152.0,79.0,2.0,5.0,2.0,10.0,7.0,5.0,7.0,126.0,31.0,198.0,10.0,94.0,104.0,0.0,28.0,18.0,231.0,10.0,152.0,79.0,0.0,2.0,1.0,35.0,23.0,208.0,5.0,856.9999999999999,148.0,60.0,13.0,0.0,6.0,3.0,9.0,40.0,5.0,413.4
14.0,1.0,18.0,37.0,206.0,9.0,314.0,129.0,77.0,3.0,14.0,3.0,14.0,7.0,7.0,6.0,76.80000000000001,31.0,176.0,10.0,54.0,122.0,4.0,35.0,18.0,206.0,9.0,129.0,77.0,1.0,3.0,1.0,25.0,17.0,173.0,1.0,598.4000000000001,114.0,59.0,6.0,4.0,0.0,0.0,4.0,42.0,6.0,178.1
15.0,1.0,13.0,26.0,204.0,9.0,413.0,148.0,56.0,0.0,6.0,1.0,9.0,6.0,1.0,1.0,3.0,37.0,117.0,9.0,75.0,42.0,7.0,23.0,13.0,204.0,9.0,148.0,56.0,0.0,0.0,0.0,32.0,26.0,245.0,1.0,919.7,174.0,71.0,26.0,2.0,4.0,0.0,6.0,57.0,3.0,225.29999999999998
16.0,0.0,20.0,41.0,217.0,10.0,460.0,127.0,90.0,4.0,12.0,0.0,15.0,2.0,0.0,2.0,11.0,18.0,72.0,3.0,34.0,38.0,1.0,40.0,20.0,217.0,10.0,127.0,90.0,1.0,4.0,2.0,25.0,13.0,126.0,1.0,647.8000000000001,33.0,93.0,15.0,5.0,0.0,1.0,6.0,76.0,17.0,112.0
17.0,1.0,17.0,26.0,224.0,9.0,133.0,86.0,138.0,0.0,6.0,1.0,15.0,1.0,5.0,5.0,93.0,33.0,166.0,11.0,95.0,71.0,1.0,24.0,17.0,224.0,9.0,86.0,138.0,2.0,0.0,2.0,27.0,20.0,150.0,1.0,525.6,43.0,107.0,20.0,3.0,2.0,4.0,9.0,45.0,8.0,173.9
2.0,1.0,18.0,33.0,245.0,10.0,341.0,128.0,117.0,4.0,6.0,5.0,13.0,8.0,2.0,3.0,23.1,22.0,84.0,5.0,47.0,37.0,1.0,33.0,18.0,245.0,10.0,128.0,117.0,2.0,4.0,0.0,32.0,28.0,341.0,4.0,1047.0,166.0,175.0,13.0,4.0,3.0,2.0,9.0,53.0,13.0,168.1
3.0,0.0,15.0,22.0,196.0,6.0,190.0,58.0,138.0,3.0,1.0,3.0,8.0,3.0,2.0,4.0,30.0,38.0,128.0,7.0,38.0,90.0,2.0,22.0,15.0,196.0,6.0,58.0,138.0,0.0,3.0,1.0,59.0,40.0,274.0,1.0,839.7,121.0,153.0,19.0,8.0,2.0,4.0,14.0,56.0,5.0,424.9
