Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,1.0,17.0,26.0,161.0,9.0,155.0,72.0,89.0,0.0,4.0,3.0,5.0,5.0,1.0,1.0,1.0,32.0,147.0,9.0,51.0,96.0,3.0,25.0,17.0,161.0,9.0,72.0,89.0,3.0,0.0,0.0,32.0,22.0,203.0,0.0,770.9,131.0,72.0,15.0,7.0,3.0,6.0,17.0,57.0,6.0,245.1
10.0,0.0,23.0,29.0,193.0,12.0,152.0,87.0,106.0,1.0,3.0,5.0,20.0,5.0,0.0,0.0,0.0,22.0,95.0,5.0,53.0,42.0,1.0,28.0,23.0,193.0,12.0,87.0,106.0,0.0,1.0,0.0,25.0,21.0,306.0,5.0,1164.0,97.0,209.0,8.0,3.0,0.0,1.0,4.0,53.0,8.0,123.3
11.0,0.0,25.0,38.0,357.0,16.0,349.0,174.0,183.0,4.0,4.0,3.0,6.0,2.0,1.0,1.0,2.0,16.0,56.0,4.0,30.0,26.0,0.0,37.0,25.0,357.0,16.0,174.0,183.0,1.0,4.0,0.0,35.0,23.0,220.0,1.0,699.7,92.0,128.0,19.0,2.0,1.0,1.0,4.0,41.0,8.0,209.2
12.0,1.0,25.0,30.0,256.0,13.0,145.0,94.0,162.0,1.0,1.0,0.0,7.0,1.0,0.0,1.0,26.0,27.0,220.0,10.0,181.0,39.0,0.0,29.0,25.0,256.0,13.0,94.0,162.0,0.0,1.0,0.0,29.0,25.0,393.0,2.0,928.2,269.0,124.0,23.0,5.0,0.0,2.0,7.0,63.0,13.0,364.0
13.0,0.0,28.0,42.0,300.0,17.0,421.0,155.0,145.0,0.0,4.0,4.0,12.0,5.0,5.0,2.0,16.0,19.0,168.0,8.0,93.0,75.0,0.0,41.0,28.0,300.0,17.0,155.0,145.0,2.0,0.0,0.0,30.0,21.0,249.0,2.0,719.0,151.0,98.0,20.0,9.0,1.0,4.0,15.0,52.0,1.0,233.70000000000002
14.0,0.0,27.0,43.0,298.0,14.0,283.0,147.0,151.0,1.0,10.0,1.0,18.0,8.0,3.0,2.0,7.0,25.0,96.0,6.0,24.0,72.0,1.0,42.0,27.0,298.0,14.0,147.0,151.0,2.0,1.0,0.0,26.0,20.0,317.0,2.0,755.8,238.0,79.0,8.0,1.0,0.0,1.0,2.0,40.0,6.0,380.6
15.0,1.0,17.0,30.0,181.0,7.0,168.0,78.0,103.0,3.0,4.0,4.0,13.0,8.0,0.0,2.0,10.0,23.0,98.0,5.0,35.0,63.0,4.0,29.0,17.0,181.0,7.0,78.0,103.0,5.0,3.0,1.0,34.0,22.0,193.0,0.0,672.8000000000001,103.0,90.0,7.0,6.0,1.0,2.0,10.0,62.0,9.0,216.60000000000002
16.0,1.0,37.0,57.0,312.0,19.0,445.0,167.0,145.0,0.0,14.0,2.0,16.0,4.0,6.0,2.0,30.0,25.0,141.0,8.0,94.0,47.0,2.0,55.0,37.0,312.0,19.0,167.0,145.0,6.0,0.0,0.0,27.0,15.0,239.0,3.0,763.9,128.0,111.0,8.0,1.0,2.0,1.0,4.0,32.0,4.0,292.4
17.0,0.0,18.0,30.0,268.0,10.0,226.0,150.0,118.0,0.0,9.0,1.0,13.0,4.0,6.0,3.0,17.1,37.0,111.0,11.0,44.0,67.0,0.0,30.0,18.0,268.0,10.0,150.0,118.0,0.0,0.0,1.0,25.0,15.0,126.0,0.0,710.4,72.0,54.0,9.0,6.0,0.0,2.0,8.0,54.0,12.0,184.0
2.0,0.0,32.0,45.0,335.0,20.0,324.0,152.0,183.0,5.0,3.0,2.0,6.0,3.0,2.0,3.0,27.900000000000002,18.0,121.0,6.0,53.0,68.0,2.0,45.0,32.0,335.0,20.0,152.0,183.0,2.0,5.0,1.0,28.0,8.0,272.0,2.0,738.3000000000001,139.0,133.0,8.0,0.0,2.0,0.0,2.0,44.0,14.0,293.1
