Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,0,23,35,171,8.0,222,85,86,2,6,4,6,6,1,4,30.0,27,139,7.0,73,66,0,33,23,171,8.0,85,86,1,2,1,36,21,340.0,3.0,148.0,192.0,19,5,3,4.0,12,44,1,360.9
2018,2,1,25,34,200,11.0,207,99,101,0,4,2,9,6,0,3,27.900000000000002,27,86,7.0,64,22,2,34,25,200,11.0,99,101,3,0,1,34,22,226.0,2.0,158.0,68.0,10,11,2,6.0,19,46,7,335.20000000000005
2018,3,0,24,35,220,11.0,338,111,109,0,6,3,13,0,2,2,8.0,31,122,7.0,50,72,0,35,24,220,11.0,111,109,0,0,3,30,20,249.0,3.0,150.0,99.0,10,1,5,4.0,10,39,4,320.5
2018,4,1,19,26,354,15.0,270,222,132,0,3,1,5,0,1,1,26.0,31,139,10.0,107,32,0,26,19,354,15.0,222,132,0,0,3,41,27,329.0,2.0,255.0,74.0,6,2,1,4.0,8,49,3,439.9
2018,6,0,22,31,316,11.0,339,176,140,0,6,2,5,8,1,3,12.0,31,164,8.0,101,63,0,30,22,316,11.0,176,140,1,0,2,41,27,368.0,3.0,132.0,236.0,35,7,4,0.0,11,71,18,349.6
2018,7,1,26,50,333,18.0,567,215,118,2,13,2,16,2,3,6,81.0,25,134,7.0,60,74,0,48,26,333,18.0,215,118,0,2,1,35,25,266.0,3.0,143.0,123.0,5,1,1,1.0,3,46,6,233.4
2018,8,1,16,29,220,11.0,266,94,126,1,10,2,14,2,3,3,30.900000000000002,34,179,10.0,152,27,3,28,16,220,11.0,94,126,0,1,0,25,14,157.0,1.0,107.0,50.0,9,4,1,1.0,6,38,5,208.0
2018,9,0,12,20,135,5.0,211,102,33,0,5,1,6,5,3,0,0.0,25,64,4.0,4,60,2,20,12,135,5.0,102,33,0,0,3,49,33,202.0,0.0,72.0,130.0,25,7,5,4.0,16,73,6,276.2
2018,10,1,23,30,355,13.0,339,181,174,1,5,1,9,2,1,2,14.0,22,54,3.0,36,18,0,30,23,355,13.0,181,174,1,1,2,47,28,306.0,2.0,152.0,154.0,8,1,2,6.0,9,46,2,423.5
2018,11,1,20,31,165,12.0,244,101,64,1,3,1,11,8,1,5,32.0,39,148,8.0,95,53,1,30,20,165,12.0,101,64,3,1,2,45,29,252.0,2.0,165.0,87.0,6,10,4,2.0,16,41,2,387.79999999999995
2018,12,0,28,38,238,13.0,280,146,92,1,8,4,8,1,4,1,2.0,15,38,3.0,22,16,0,38,28,238,13.0,146,92,0,1,2,38,29,241.0,0.0,84.0,157.0,10,4,2,2.0,8,50,7,131.2
