Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,0,21,28,243,11,139,104,139,1,4,2,6,6,1,2,8.0,20,101,5.0,55,46,1,28,21,243,11.0,104,139,1,1,1,55,41,350.0,2.0,934.4,177.0,173.0,10,4,7,2.0,13,64,4,313.9
2018,2,1,24,42,265,14,257,128,137,4,6,0,11,3,4,0,0.0,28,108,6.0,69,39,0,41,24,265,14.0,128,137,2,4,2,54,31,352.0,2.0,717.8000000000001,229.0,123.0,22,7,6,4.0,17,63,12,593.8000000000001
2018,3,0,29,46,352,18,444,249,103,0,4,2,13,7,2,0,0.0,13,66,6.0,34,32,1,45,29,352,18.0,249,103,1,0,0,24,15,125.0,1.0,504.3,89.0,36.0,6,3,1,1.0,5,57,5,219.6
2018,4,0,29,41,337,20,285,151,186,2,5,3,10,11,1,2,13.0,23,99,6.0,78,21,0,41,29,337,20.0,151,186,0,2,0,38,29,419.0,3.0,1175.0,256.0,163.0,11,4,5,3.0,12,57,7,414.3
2018,5,1,20,30,248,12,248,141,107,1,4,2,13,8,1,2,9.0,26,103,3.0,67,36,0,30,20,248,12.0,141,107,0,1,2,32,18,170.0,1.0,796.5,85.0,85.0,9,7,4,3.0,14,49,5,238.20000000000002
2018,6,1,26,42,229,13,406,190,39,4,5,3,13,5,1,0,0.0,13,62,5.0,39,23,2,41,26,229,13.0,190,39,1,4,0,45,31,369.0,1.0,1143.5,166.0,203.0,19,8,1,0.0,9,63,5,387.6
2018,7,0,19,33,187,9,279,120,67,1,7,2,3,3,1,1,5.0,19,65,4.0,39,26,0,32,19,187,9.0,120,67,0,1,1,37,27,352.0,3.0,979.4000000000001,148.0,204.0,2,6,4,2.0,12,59,12,352.0
2018,8,1,21,34,280,13,309,178,102,2,6,2,3,2,0,2,11.0,27,138,8.0,93,45,1,32,21,280,13.0,178,102,0,2,4,49,28,468.0,3.0,574.2,334.0,134.0,8,7,1,6.0,15,65,9,649.7
2018,10,1,14,23,198,9,196,74,124,0,5,4,12,4,2,1,8.0,16,110,4.0,79,31,0,22,14,198,9.0,74,124,0,0,0,29,23,266.0,3.0,1109.9,124.0,142.0,7,3,1,0.0,4,59,8,153.3
2018,11,0,19,37,211,10,350,103,108,3,7,1,15,5,3,2,29.0,16,48,4.0,39,9,0,36,19,211,10.0,103,108,1,3,1,19,13,150.0,0.0,610.1000000000001,96.0,54.0,3,11,2,3.0,16,70,7,148.1
2018,12,1,27,46,255,14,352,137,118,3,9,1,10,1,1,3,28.0,20,129,7.0,64,65,1,45,27,255,14.0,137,118,1,3,0,24,17,223.0,3.0,837.5,114.0,109.0,8,2,1,0.0,3,50,6,275.20000000000005
2018,13,1,25,37,236,12,199,85,151,3,5,4,11,2,5,0,0.0,23,111,6.0,53,58,0,36,25,236,12.0,85,151,3,3,0,17,10,120.0,0.0,593.7,69.0,51.0,7,4,2,2.0,8,45,5,99.2
2018,14,0,18,27,170,9,163,89,81,0,4,3,7,1,1,1,9.0,32,144,8.0,76,68,0,25,18,170,9.0,89,81,0,0,0,29,19,246.0,1.0,790.1,135.0,111.0,6,2,0,2.0,5,45,5,253.0
2018,15,1,14,33,130,7,337,39,91,2,14,1,8,2,3,3,29.099999999999998,41,171,8.0,61,110,0,33,14,130,7.0,39,91,1,2,0,33,20,283.0,1.0,803.5,166.0,117.0,5,1,1,5.0,7,46,3,320.5
2018,16,0,13,19,133,7,86,52,81,1,4,3,13,3,2,3,18.9,24,102,7.0,52,50,1,19,13,133,7.0,52,81,3,1,0,38,27,330.0,3.0,849.8000000000001,147.0,183.0,10,3,0,0.0,3,49,4,306.40000000000003
2018,16,0,25,29,246,12,179,140,106,1,1,3,5,8,1,0,0.0,28,90,6.0,40,50,3,29,25,246,12.0,140,106,4,1,1,42,24,275.0,0.0,732.9000000000001,198.0,77.0,9,10,5,1.0,16,41,10,346.20000000000005
2018,17,0,12,24,95,4,228,61,34,3,4,4,10,0,4,1,12.0,18,125,5.0,49,76,2,23,12,95,4.0,61,34,0,3,1,43,29,275.0,1.0,707.6,75.0,200.0,8,3,6,1.0,10,56,7,245.4
2019,1,0,35,51,418,18,381,232,186,3,5,5,16,6,1,0,0.0,14,34,1.0,16,18,1,49,35,418,18.0,232,186,3,3,0,19,14,195.0,2.0,689.6,99.0,96.0,7,2,4,4.0,10,49,7,181.2
2019,2,1,26,42,311,11,315,121,190,2,7,4,4,5,2,0,0.0,19,25,2.0,14,11,0,42,26,311,11.0,121,190,0,2,1,24,16,273.0,2.0,784.5,102.0,171.0,6,1,2,0.0,3,64,8,217.7
2019,3,0,20,36,250,12,285,137,113,1,11,2,12,4,1,0,0.0,19,66,4.0,25,41,1,34,20,250,12.0,137,113,4,1,1,33,22,243.0,1.0,1013.9000000000001,121.0,122.0,17,4,7,1.0,12,66,10,292.0
2019,4,0,21,37,171,9,205,91,80,2,8,8,13,3,2,1,4.0,19,73,5.0,34,39,0,36,21,171,9.0,91,80,1,2,0,30,27,260.0,2.0,1149.1,51.0,209.0,14,2,0,0.0,2,60,3,76.60000000000001
2019,5,1,27,38,262,12,174,120,142,2,5,1,21,3,2,1,5.0,23,108,6.0,50,58,2,37,27,262,12.0,120,142,1,2,0,30,19,244.0,0.0,771.8000000000001,179.0,65.0,15,0,2,1.0,3,69,3,247.39999999999998
2019,6,0,21,39,235,14,298,142,93,2,8,2,31,2,3,1,2.0,14,33,2.0,23,10,0,37,21,235,14.0,142,93,1,2,0,29,21,236.0,0.0,1043.8,110.0,126.0,22,1,0,1.0,2,61,12,206.3
2019,7,1,22,43,276,12,301,111,165,3,8,2,9,1,6,2,28.0,20,33,3.0,-11,44,1,42,22,276,12.0,111,165,1,3,0,32,19,331.0,1.0,752.9000000000001,152.0,179.0,18,8,0,2.0,10,73,7,218.0
2019,8,0,32,52,329,15,429,209,120,1,10,5,18,4,0,1,4.0,22,104,5.0,61,43,6,48,32,329,15.0,209,120,2,1,0,28,16,341.0,2.0,796.8000000000001,156.0,185.0,9,1,3,0.0,4,36,8,286.6
2019,10,1,16,30,167,9,225,80,87,0,8,2,20,3,1,3,21.0,40,157,11.0,90,67,2,29,16,167,9.0,80,87,0,0,1,20,17,241.0,2.0,824.3000000000001,174.0,67.0,10,1,1,1.0,3,38,9,228.8
