Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,15,40,197,6.0,413,123,74,3,11,7,15,11,4,7,70.0,38,177,10.0,105,72,4,38,15,197,6.0,123,74,1,3,3,42,23,328.0,1.0,657.2,125.0,203.0,31,7,2,4.0,13,71,9,395.0
2018,2,0,22,30,246,10.0,238,149,97,2,4,3,9,6,2,3,18.9,27,93,4.0,24,69,2,30,22,246,10.0,149,97,3,2,0,41,33,286.0,3.0,1015.0,155.0,131.0,44,4,1,3.0,8,60,14,307.1000000000001
2018,3,1,21,37,220,10.0,419,151,69,3,4,4,26,7,5,1,22.0,33,133,9.0,56,77,2,35,21,220,10.0,151,69,1,3,2,31,15,180.0,0.0,589.4000000000001,89.0,91.0,16,7,3,2.0,12,52,13,251.8
2018,4,0,21,41,295,13.0,390,150,145,5,6,2,7,5,2,2,11.0,31,208,6.0,71,137,0,41,21,295,13.0,150,145,0,5,2,62,39,475.0,6.0,1068.8,272.0,203.0,69,9,5,3.0,18,82,10,587.5
2018,5,1,25,43,342,13.0,409,174,168,1,10,5,26,11,3,2,23.0,28,112,6.0,22,90,3,42,25,342,13.0,174,168,2,1,1,72,36,374.0,0.0,672.8000000000001,154.0,220.0,33,14,5,2.0,22,67,20,658.6
2018,6,1,22,46,238,13.0,450,124,114,7,10,5,12,9,2,1,6.0,21,103,4.0,31,72,7,43,22,238,13.0,124,114,1,7,1,25,15,309.0,3.0,955.0,236.0,73.0,8,3,3,1.0,8,46,8,321.2
2018,7,0,23,34,215,8.0,289,128,87,0,7,5,11,6,0,3,42.900000000000006,23,119,7.0,38,81,2,33,23,215,8.0,128,87,0,0,2,62,40,472.0,0.0,667.8000000000001,373.0,99.0,23,8,5,4.0,18,67,10,667.5999999999999
2018,8,0,22,36,180,9.0,283,69,111,1,7,2,21,8,5,1,9.0,21,74,5.0,34,40,1,33,22,180,9.0,69,111,1,1,1,32,22,232.0,2.0,703.4,143.0,89.0,13,2,0,1.0,3,52,3,327.19999999999993
2018,8,0,22,31,239,13.0,230,169,70,2,3,0,5,3,1,0,0.0,40,222,11.0,141,81,1,31,22,239,13.0,169,70,0,2,0,29,22,231.0,2.0,1053.0,119.0,112.0,4,1,1,0.0,2,42,5,186.29999999999998
2018,9,1,30,43,308,17.0,371,122,186,2,10,2,13,6,0,0,0.0,25,102,6.0,29,73,3,43,30,308,17.0,122,186,2,2,1,34,25,388.0,3.0,1108.3000000000002,229.0,159.0,10,3,5,2.0,10,51,11,313.3
2018,10,1,17,21,216,13.0,164,112,104,0,4,0,7,1,0,2,16.0,29,211,6.0,152,59,2,21,17,216,13.0,112,104,1,0,0,53,23,371.0,1.0,922.3000000000001,227.0,144.0,18,5,1,2.0,9,62,2,290.5
2018,12,0,19,26,258,14.0,256,144,114,1,3,0,5,3,1,1,5.0,35,84,7.0,24,60,0,25,19,258,14.0,144,114,0,1,1,49,32,313.0,3.0,918.8000000000001,163.0,150.0,22,2,1,1.0,4,44,6,378.1
2018,13,0,29,43,397,15.0,396,208,189,2,4,0,2,13,1,0,0.0,9,31,3.0,4,27,4,40,29,397,15.0,208,189,6,2,0,30,22,238.0,1.0,961.3000000000001,118.0,120.0,32,5,3,4.0,13,77,6,219.9
2018,14,1,18,23,238,5.0,273,165,73,3,1,1,7,5,0,1,1.0,21,116,6.0,50,66,3,23,18,238,5.0,163,75,0,3,1,47,29,329.0,0.0,850.4,175.0,154.0,41,8,3,1.0,12,59,11,379.29999999999995
2018,15,0,18,31,188,13.0,314,121,67,3,4,2,13,3,1,1,9.0,28,134,5.0,83,51,5,31,18,188,13.0,121,67,0,3,2,47,31,253.0,0.0,706.5,100.0,153.0,41,4,4,2.0,10,48,8,335.29999999999995
2018,16,1,28,38,347,14.0,301,162,185,2,6,0,9,3,0,3,18.9,28,146,8.0,60,86,1,38,28,347,14.0,162,185,3,2,0,19,13,133.0,2.0,720.9000000000001,52.0,81.0,20,6,2,3.0,11,41,5,85.9
2018,17,0,23,42,376,16.0,483,251,125,1,10,0,23,8,1,0,0.0,14,50,1.0,25,25,2,41,23,376,16.0,251,125,0,1,0,26,16,213.0,0.0,770.0000000000001,102.0,111.0,36,5,2,2.0,9,66,14,202.39999999999998
2019,1,1,25,38,285,13.0,337,185,100,4,5,5,9,4,0,0,0.0,20,102,4.0,48,54,1,38,25,285,13.0,185,100,3,4,0,26,14,257.0,4.0,893.7,82.0,175.0,18,5,3,4.0,12,45,11,193.3
2019,2,0,19,35,325,10.0,344,158,167,2,5,3,12,7,2,0,0.0,21,70,3.0,42,28,5,32,19,325,10.0,158,167,2,2,0,30,23,201.0,0.0,751.5,70.0,131.0,17,4,3,4.0,11,65,11,152.29999999999998
2019,3,1,18,36,195,11.0,253,112,83,0,8,3,7,10,0,0,0.0,24,95,4.0,51,44,0,34,18,195,11.0,112,83,1,0,2,41,26,292.0,2.0,670.0,221.0,71.0,10,3,1,2.0,6,44,4,443.29999999999995
2019,4,0,20,31,342,12.0,225,93,249,1,4,1,13,1,0,1,1.0,29,193,8.0,153,40,2,31,20,342,12.0,93,249,2,1,2,36,25,261.0,3.0,675.0,147.0,114.0,16,4,1,4.0,9,57,13,332.1
2019,5,0,9,24,120,6.0,247,71,49,3,4,4,5,4,3,0,0.0,18,102,3.0,74,28,3,22,9,120,6.0,71,49,0,3,0,28,20,181.0,2.0,787.9,110.0,71.0,14,0,2,2.0,4,53,7,181.3
2019,6,1,22,37,249,12.0,353,157,92,5,5,0,12,2,1,3,33.0,24,157,7.0,64,93,3,36,22,249,12.0,157,92,2,5,0,34,22,295.0,2.0,762.2,152.0,143.0,31,5,2,3.0,10,60,7,291.79999999999995
2019,8,0,20,31,194,9.0,252,113,81,1,7,5,15,2,0,1,18.0,22,159,5.0,75,84,1,30,20,194,9.0,113,81,1,1,0,36,22,278.0,2.0,753.8,175.0,103.0,35,5,1,3.0,9,57,7,275.2
