Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,39,53,319,17.0,297,156,163,1,6,2,12,3,7,1,7.0,22,75,4.0,35,40,1,52,39,319,17.0,156,163,0,1,1,28,22,255.0,2.0,887.3,98.0,157.0,10,5,0,2.0,7,50,5,132.79999999999998
2018,2,0,21,31,179,10.0,132,56,123,0,6,1,18,8,6,1,2.0,28,104,5.0,57,47,0,31,21,179,10.0,56,123,2,0,0,47,36,317.0,0.0,808.3000000000001,191.0,126.0,3,4,1,3.0,8,66,4,346.0
2018,3,0,25,41,164,9.0,273,86,78,1,7,2,4,7,4,1,33.0,13,68,3.0,31,37,1,41,25,164,9.0,86,78,0,1,1,36,26,254.0,1.0,883.5,164.0,90.0,13,9,1,5.0,16,72,5,288.9
2018,4,1,40,62,464,23.0,523,296,168,5,11,4,16,2,8,2,11.0,17,41,3.0,28,13,1,61,40,464,23.0,296,168,6,5,1,45,32,402.0,2.0,1138.0,236.0,166.0,12,7,3,7.0,18,78,7,309.70000000000005
2018,5,0,38,59,365,20.0,470,239,126,6,9,1,16,3,2,0,0.0,21,84,5.0,38,46,0,59,38,365,20.0,239,126,0,6,2,44,34,368.0,4.0,1104.6999999999998,210.0,158.0,6,5,3,0.0,8,70,10,321.5
2018,6,0,23,43,301,15.0,396,196,105,6,6,0,9,1,4,2,7.0,23,127,7.0,59,68,1,42,23,301,15.0,196,105,0,6,1,32,26,296.0,2.0,729.0,156.0,140.0,1,2,0,2.0,4,51,6,223.0
2018,7,1,17,23,156,10.0,113,69,87,1,4,0,6,2,1,1,5.0,37,220,11.0,115,105,0,23,17,156,10.0,69,87,0,1,3,38,26,235.0,0.0,555.4,143.0,92.0,1,1,2,2.0,5,52,6,249.1
2018,10,1,21,29,285,11.0,237,170,115,2,5,0,2,1,1,0,0.0,23,81,4.0,60,21,0,29,21,285,11.0,170,115,0,2,0,36,24,305.0,2.0,715.8000000000001,65.0,240.0,2,4,1,0.0,5,59,7,155.5
2018,11,1,24,32,295,15.0,255,170,125,1,4,0,6,5,0,0,0.0,28,102,8.0,55,47,3,32,24,295,15.0,170,125,1,1,2,30,22,226.0,1.0,714.1,154.0,72.0,11,5,2,5.0,13,58,8,230.3
2018,12,1,31,38,347,17.0,300,141,206,2,1,1,12,5,1,1,4.0,26,118,6.0,90,28,0,38,31,347,17.0,141,206,2,2,0,28,20,237.0,2.0,794.5,97.0,140.0,10,5,3,1.0,9,45,7,209.4
