Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,20,34,153,6.0,208,87,66,4,5,2,7,5,2,1,8.0,15,68,7.0,39,29,1,34,20,153,6.0,87,66,1,4,0,27,19,237.0,2.0,77.0,160.0,17,8,7,3.0,18,61,17,103.8
2018,2,0,17,27,90,4.0,133,41,49,0,5,1,6,3,4,0,0.0,15,54,1.0,30,24,0,27,17,90,4.0,41,49,2,0,1,31,23,345.0,1.0,207.0,138.0,14,5,3,2.0,10,62,6,318.70000000000005
2018,3,1,17,26,193,8.0,248,117,76,1,2,4,6,1,5,1,12.0,18,53,3.0,24,29,0,25,17,193,8.0,117,76,0,1,1,33,20,204.0,0.0,109.0,95.0,20,1,2,3.0,7,65,7,335.9
2018,4,1,15,27,180,9.0,245,103,77,3,4,1,6,1,6,2,13.0,28,92,6.0,75,17,1,25,15,180,9.0,103,77,0,3,0,25,18,165.0,0.0,83.0,82.0,14,6,1,2.0,9,56,9,140.9
2018,5,0,10,25,170,5.0,277,96,74,3,8,1,7,4,3,0,0.0,23,56,4.0,29,27,0,23,10,170,5.0,96,74,2,3,2,56,36,359.0,2.0,105.0,254.0,23,0,4,4.0,8,78,6,260.20000000000005
2018,6,0,21,31,240,9.0,209,140,100,1,4,4,11,3,2,0,0.0,20,60,5.0,31,29,1,31,21,240,9.0,140,100,1,1,1,35,26,244.0,1.0,148.0,96.0,13,7,1,4.0,13,64,5,138.6
2018,7,1,21,39,194,8.0,290,122,72,1,7,6,14,0,6,1,14.0,21,69,4.0,29,40,0,36,21,194,8.0,122,72,0,1,1,17,14,171.0,2.0,102.0,69.0,15,5,2,2.0,9,49,8,179.2
2018,8,1,23,40,252,15.0,288,133,119,1,8,3,9,3,2,2,12.0,21,88,3.0,51,37,1,35,23,252,15.0,133,119,1,1,0,29,14,190.0,1.0,88.0,102.0,25,7,4,4.0,16,50,5,247.20000000000002
2018,10,0,22,39,208,13.0,289,112,96,0,8,5,4,4,8,0,0.0,25,94,7.0,65,29,0,37,22,208,13.0,112,96,3,0,0,26,19,244.0,2.0,128.0,116.0,19,2,1,5.0,8,50,3,211.60000000000002
2018,11,1,9,20,136,7.0,137,35,101,5,2,1,3,5,0,0,0.0,31,154,5.0,82,72,1,19,9,136,7.0,35,101,1,5,0,30,21,216.0,2.0,97.0,119.0,17,4,3,4.0,11,65,4,239.3
2018,12,0,12,19,105,4.0,137,29,76,2,0,2,2,2,0,0,0.0,24,62,5.0,31,31,2,17,12,105,4.0,29,76,0,2,0,37,32,321.0,3.0,143.0,178.0,14,3,3,4.0,11,61,16,158.9
2018,13,0,11,26,149,8.0,250,118,31,0,6,2,13,8,1,1,33.0,29,182,8.0,70,112,3,24,11,149,8.0,118,31,0,0,0,52,32,232.0,1.0,103.0,129.0,29,12,3,1.0,16,58,6,444.70000000000005
2018,14,1,26,41,240,17.0,380,178,62,1,9,3,7,0,3,2,3.0,21,61,2.0,25,36,0,41,26,240,17.0,181,59,0,1,0,25,15,101.0,0.0,27.0,74.0,13,0,1,1.0,2,42,6,183.20000000000002
2018,15,0,23,36,243,10.0,214,98,145,2,5,7,15,5,1,1,9.0,22,60,6.0,48,12,2,35,23,243,10.0,98,145,3,2,0,36,23,245.0,2.0,160.0,85.0,11,2,1,2.0,5,41,7,269.0
2018,16,1,18,31,182,6.0,289,114,68,1,6,4,4,1,4,4,49.2,18,104,6.0,78,26,1,31,18,182,6.0,114,68,0,1,0,26,21,266.0,2.0,163.0,103.0,21,1,2,2.0,5,47,12,246.6
2018,17,0,18,34,149,8.0,385,104,45,1,13,6,13,3,0,0,0.0,24,85,4.0,50,35,0,33,18,149,8.0,104,45,0,1,1,20,12,152.0,1.0,85.0,67.0,20,5,0,6.0,12,54,8,169.89999999999998
2019,1,1,29,54,308,16.0,567,247,61,1,11,5,5,7,2,0,0.0,23,112,3.0,58,54,2,52,29,308,16.0,244,64,0,1,0,43,29,408.0,3.0,242.0,166.0,28,5,8,3.0,16,68,7,486.70000000000005
2019,2,0,25,40,349,12.0,312,187,162,1,9,3,21,3,5,1,7.0,11,20,2.0,7,13,0,37,25,349,12.0,187,162,2,1,0,35,23,245.0,1.0,169.0,76.0,36,3,0,2.0,5,62,10,340.2
