Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,0,19,29,170,10,216,102,68,0,9,6,12,7,3,4,20.0,22,94,4.0,45,49,0,29,19,170,10.0,102,68,0,0,0,26,18,164.0,0.0,567.7,72.0,92.0,4,5,1,3.0,9,54,15,155.3
2018,2,1,16,25,160,6,230,104,56,1,3,0,10,2,3,0,0.0,25,138,9.0,72,66,3,23,16,160,6.0,104,56,0,1,0,53,38,295.0,1.0,857.6999999999999,129.0,166.0,16,2,2,6.0,10,60,13,378.0
2018,3,0,19,34,168,8,186,81,87,3,9,5,13,7,4,1,11.0,19,166,7.0,103,63,3,34,19,168,8.0,81,87,0,3,0,27,16,260.0,4.0,847.5,152.0,108.0,17,4,4,2.0,11,70,8,258.1
2018,4,1,17,27,255,12,261,143,112,0,3,3,6,6,2,1,2.0,35,183,10.0,112,71,0,27,17,255,12.0,143,112,1,0,0,28,23,262.0,1.0,819.0999999999999,147.0,115.0,6,5,1,3.0,9,42,5,178.2
2018,5,0,18,29,208,8,221,76,132,3,4,2,17,6,3,2,13.0,29,98,6.0,75,23,0,28,18,208,8.0,76,132,4,3,2,47,36,395.0,1.0,867.4,196.0,199.0,23,2,9,1.0,12,76,6,295.9
2018,6,1,17,27,183,10,244,120,63,0,4,3,4,2,1,7,60.89999999999999,42,206,11.0,137,69,0,26,17,183,10.0,120,63,0,0,1,33,20,231.0,2.0,621.5,135.0,96.0,7,2,3,3.0,9,40,2,322.5
2018,7,0,22,35,273,10,361,194,79,3,6,4,15,4,5,5,33.0,22,73,6.0,57,16,0,35,22,273,10.0,194,79,0,3,0,27,14,174.0,1.0,872.1000000000001,105.0,69.0,10,5,2,1.0,8,52,15,360.9
2018,9,1,21,32,243,12,225,107,136,1,7,5,7,9,2,2,11.0,19,72,5.0,53,19,2,31,21,243,12.0,107,136,0,1,0,28,23,276.0,2.0,917.5,151.0,125.0,8,13,1,4.0,19,67,7,238.7
2018,10,0,26,36,270,14,205,116,154,1,5,4,8,5,5,2,6.0,28,171,9.0,84,87,2,34,26,270,14.0,116,154,1,1,1,47,34,394.0,2.0,752.0,293.0,101.0,11,7,4,2.0,13,46,3,503.90000000000003
2018,11,0,22,32,208,10,218,79,129,2,4,2,5,1,3,0,0.0,29,132,9.0,86,46,4,32,22,208,10.0,79,129,1,2,1,36,25,312.0,1.0,723.5,182.0,130.0,8,4,4,3.0,12,51,6,390.2
2018,12,1,22,31,289,11,182,93,196,0,5,4,16,5,2,2,8.0,34,146,8.0,90,56,2,31,22,289,11.0,93,196,1,0,4,38,26,278.0,2.0,670.2,171.0,107.0,5,9,1,3.0,14,47,3,317.0
2018,13,1,24,28,249,11,188,113,136,0,4,7,10,4,1,2,26.0,31,99,7.0,55,44,0,28,24,249,11.0,113,136,0,0,1,26,16,115.0,1.0,575.7,58.0,57.0,4,2,4,2.0,8,47,4,110.89999999999999
2018,14,1,42,54,455,23,429,230,225,2,6,3,7,8,6,0,0.0,36,142,6.0,57,85,3,53,42,455,23.0,230,225,2,2,0,36,27,258.0,4.0,744.0,155.0,103.0,9,7,4,2.0,13,38,5,263.6
2018,15,0,24,39,206,12,265,92,114,2,8,3,18,3,2,0,0.0,22,112,6.0,83,29,2,38,24,206,12.0,92,114,3,2,0,26,6,192.0,0.0,578.5,99.0,93.0,4,2,3,0.0,5,55,8,223.4
2018,16,1,20,25,161,9,113,93,68,2,2,1,9,2,1,0,0.0,24,80,6.0,28,52,1,25,20,161,9.0,93,68,0,2,0,50,33,338.0,1.0,561.0,200.0,138.0,9,6,4,3.0,13,70,3,561.2
2018,17,0,27,44,387,18,434,250,137,2,11,4,12,3,6,1,3.0,22,51,4.0,27,24,1,43,27,387,18.0,250,137,0,2,1,41,18,329.0,2.0,860.8000000000001,154.0,175.0,10,2,3,1.0,6,64,9,269.4
2018,18,1,22,33,226,11,245,123,103,1,6,1,7,4,3,0,0.0,34,164,9.0,93,71,1,32,22,226,11.0,123,103,0,1,0,30,21,266.0,1.0,766.8000000000001,153.0,113.0,6,2,2,1.0,5,49,2,268.0
2018,19,0,20,32,266,11,234,151,115,3,6,1,7,2,0,1,2.0,22,50,6.0,16,34,1,32,20,266,11.0,151,115,0,3,0,28,20,186.0,0.0,697.5,115.0,71.0,13,2,0,0.0,2,53,6,237.39999999999998
2019,1,1,25,32,405,18,301,232,173,3,2,0,13,1,2,0,0.0,30,89,4.0,34,55,2,32,25,405,18.0,232,173,3,3,0,48,34,329.0,1.0,820.0,168.0,161.0,16,3,5,1.0,10,50,9,276.70000000000005
2019,2,0,26,30,269,12,257,174,95,1,1,1,5,2,1,1,15.0,34,213,11.0,131,82,1,30,26,269,12.0,174,95,1,1,0,43,30,247.0,2.0,771.7,132.0,115.0,5,4,2,1.0,7,43,6,250.5
2019,3,1,19,32,246,12,413,141,105,2,6,1,6,2,3,1,8.0,34,235,15.0,147,88,0,30,19,246,12.0,141,105,1,2,0,39,18,199.0,0.0,597.8000000000001,126.0,73.0,19,8,7,3.0,18,52,3,405.90000000000003
2019,4,0,22,33,223,8,316,172,51,1,4,1,5,5,5,1,7.0,20,45,4.0,21,24,0,30,22,223,8.0,172,51,0,1,1,28,21,179.0,0.0,666.1,109.0,70.0,3,3,1,5.0,9,62,10,192.9
2019,5,1,27,44,463,19,470,292,171,4,7,3,4,2,5,4,27.2,21,122,9.0,59,63,3,42,27,463,19.0,292,171,4,4,0,31,23,238.0,0.0,742.9,81.0,157.0,12,6,3,2.0,11,55,18,226.0
2019,6,0,28,40,278,15,341,175,103,5,4,1,17,2,7,1,8.0,34,129,7.0,72,57,1,39,28,278,15.0,175,103,1,5,1,31,25,349.0,2.0,1124.8,156.0,193.0,15,6,0,2.0,8,50,6,239.0
2019,7,1,21,27,239,12,225,155,84,2,0,3,7,0,1,1,8.0,36,189,10.0,80,109,3,25,21,239,12.0,155,84,1,2,1,26,18,199.0,1.0,711.5000000000001,129.0,70.0,8,4,1,3.0,8,50,3,304.5
2019,9,0,22,35,257,10,360,124,133,1,6,0,11,4,5,1,11.0,30,172,11.0,126,46,1,34,22,257,10.0,124,133,0,1,1,40,25,205.0,1.0,683.9,85.0,120.0,12,4,6,5.0,16,64,1,244.39999999999998
2019,10,1,28,47,397,22,567,299,98,1,8,1,16,5,4,0,0.0,22,50,0.0,40,10,2,44,28,397,22.0,299,98,3,1,0,31,23,220.0,2.0,809.2,73.0,147.0,9,2,4,1.0,7,73,12,184.7
2019,11,0,29,46,444,21,454,230,214,2,11,1,15,4,5,2,12.0,24,75,4.0,35,40,0,45,29,444,21.0,230,214,1,2,0,25,16,248.0,2.0,697.7,178.0,70.0,11,8,4,3.0,15,42,7,278.1
2019,12,0,19,33,212,8,185,74,138,2,7,0,10,2,6,1,4.0,26,109,6.0,75,34,1,32,19,212,8.0,74,138,0,2,0,35,17,190.0,1.0,590.5,143.0,47.0,12,1,5,2.0,8,50,5,361.0
2019,13,1,32,49,355,22,331,233,122,2,3,4,14,5,1,3,23.1,19,103,5.0,13,90,8,49,32,355,22.0,233,122,3,2,0,24,19,228.0,1.0,806.9,110.0,118.0,8,2,1,4.0,8,60,4,207.9
2019,14,0,27,49,334,17,513,272,62,1,11,2,11,4,6,0,0.0,22,82,5.0,22,60,1,46,27,334,17.0,272,62,3,1,1,30,23,244.0,3.0,794.6,94.0,150.0,14,4,0,2.0,6,62,19,200.60000000000002
2019,15,1,15,23,212,8,137,63,149,2,3,0,9,2,1,2,3.0,45,263,16.0,49,214,12,22,15,212,8.0,63,149,1,2,1,51,34,289.0,2.0,757.3,120.0,169.0,16,2,4,2.0,8,41,4,302.7
2019,16,0,25,44,265,12,463,187,78,4,10,2,5,1,2,1,7.0,16,54,4.0,22,32,4,44,25,265,12.0,187,78,1,4,0,38,30,313.0,1.0,894.1,127.0,186.0,11,1,3,1.0,5,68,6,212.8
2019,17,1,23,33,303,13,206,161,142,3,3,3,7,0,3,1,13.0,36,223,9.0,115,108,2,32,23,303,13.0,161,142,2,3,1,33,16,175.0,0.0,434.3,70.0,105.0,11,3,3,2.0,8,48,6,200.3
