Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,25,39,329,15,366,155,174,3,5,1,6,5,4,0,0.0,32,146,8.0,81,65,4,39,25,329,14.0,155,174,3,3,2,32,17,298.0,4.0,137.0,161.0,24,6,4,6.0,17,43,7,318.8
2018,2,1,19,35,222,9,339,139,83,3,5,1,11,5,2,1,7.0,28,168,10.0,125,43,3,34,19,222,9.0,139,83,2,3,0,36,32,320.0,2.0,196.0,124.0,15,2,0,1.0,3,58,6,226.0
2018,3,0,22,34,192,8,183,120,72,1,6,3,14,6,2,0,0.0,24,120,8.0,70,50,4,34,22,192,8.0,120,72,3,1,0,39,27,321.0,1.0,210.0,111.0,28,3,1,2.0,6,55,4,390.0
2018,4,1,21,33,245,10,282,149,96,3,7,4,8,7,5,0,0.0,22,159,10.0,107,52,5,33,21,245,10.0,149,96,1,3,0,44,27,275.0,1.0,126.0,149.0,13,15,5,1.0,22,54,10,348.4
2018,5,0,35,51,377,19,330,181,196,2,5,4,16,2,3,0,0.0,17,92,5.0,40,52,1,51,35,377,19.0,181,196,2,2,1,24,12,222.0,3.0,134.0,88.0,9,0,1,1.0,3,45,11,213.39999999999998
2018,6,1,25,41,322,14,355,195,127,2,7,2,8,5,3,1,6.0,17,60,3.0,43,17,2,38,25,322,14.0,195,127,2,2,1,30,15,245.0,0.0,119.0,126.0,73,1,0,5.0,7,51,11,269.1
2018,7,0,15,22,189,8,195,108,81,2,3,2,13,5,2,1,7.0,31,131,6.0,48,83,2,19,15,189,8.0,108,81,0,2,3,35,21,187.0,1.0,130.0,57.0,24,1,6,6.0,13,56,6,300.2
2018,8,0,23,34,262,11,289,153,109,1,8,5,9,4,4,1,9.0,30,189,10.0,90,99,2,33,23,262,11.0,153,109,1,1,1,33,27,349.0,4.0,184.0,165.0,29,4,3,2.0,10,45,10,291.3
2018,9,1,26,42,290,13,249,93,197,2,4,2,16,3,5,0,0.0,20,75,5.0,56,19,1,38,26,290,13.0,93,197,3,2,0,23,16,211.0,3.0,114.0,97.0,22,5,0,4.0,9,47,8,185.3
2018,11,0,20,33,217,7,158,66,151,3,3,0,4,0,3,0,0.0,19,108,6.0,74,34,0,31,20,217,7.0,66,151,1,3,2,45,27,406.0,2.0,199.0,207.0,22,1,3,3.0,7,65,6,407.4
2018,12,1,15,28,197,12,294,139,58,2,6,2,21,4,2,0,0.0,23,124,5.0,107,17,0,28,15,197,12.0,139,58,1,2,2,68,50,546.0,2.0,287.0,259.0,27,2,3,2.0,7,70,6,500.40000000000003
2018,13,0,12,21,151,6,126,95,56,0,5,2,3,4,2,1,10.0,34,218,9.0,157,61,1,19,12,151,6.0,95,56,1,0,1,36,25,236.0,1.0,85.0,151.0,17,2,5,4.0,12,53,8,192.0
2018,14,0,24,42,186,9,214,114,72,2,11,2,10,7,8,3,24.900000000000002,27,103,8.0,62,41,0,38,24,186,9.0,114,72,1,2,1,33,21,338.0,2.0,126.0,212.0,13,3,6,3.0,12,58,4,214.1
2018,15,1,31,48,257,17,290,104,153,2,7,2,21,4,4,1,1.0,20,32,3.0,13,19,2,45,31,257,17.0,104,153,5,2,1,34,19,193.0,2.0,124.0,69.0,35,4,1,2.0,7,58,5,352.5
2018,16,0,23,37,202,12,343,123,79,2,8,1,8,10,1,2,19.0,24,100,4.0,31,69,7,36,23,202,12.0,123,79,1,2,0,27,20,173.0,0.0,107.0,66.0,1,3,0,1.0,4,42,10,175.29999999999998
2018,17,1,31,48,292,11,359,182,110,4,5,1,12,6,1,1,8.0,25,82,7.0,38,44,0,47,31,292,11.0,182,110,2,4,2,25,15,176.0,1.0,98.0,78.0,15,1,2,0.0,3,45,5,202.1
2019,1,0,21,31,268,11,243,164,104,1,4,3,3,1,1,0,0.0,23,95,4.0,31,64,4,30,21,268,11.0,164,104,1,1,0,30,25,322.0,1.0,177.0,145.0,7,1,0,0.0,1,49,9,285.0
2019,2,1,35,50,292,19,251,160,132,1,9,2,11,20,4,0,0.0,24,90,5.0,66,24,3,50,35,292,19.0,160,132,2,1,0,26,16,120.0,0.0,49.0,71.0,10,9,1,0.0,10,47,11,218.0
2019,3,0,20,29,213,12,132,84,129,1,5,6,6,1,1,1,3.0,38,149,8.0,94,55,4,28,20,213,12.0,84,129,1,1,0,25,15,210.0,1.0,155.0,55.0,18,3,1,0.0,4,37,4,209.2
2019,4,1,22,38,303,15,299,135,168,3,7,0,16,5,3,0,0.0,16,68,2.0,35,33,1,35,22,303,15.0,135,168,3,3,0,28,18,194.0,2.0,113.0,81.0,6,8,7,5.0,20,68,13,322.4
2019,5,0,14,20,182,6,128,86,96,0,2,3,3,3,2,2,8.0,32,191,8.0,105,86,4,19,14,182,6.0,86,96,4,0,2,53,38,250.0,0.0,107.0,143.0,6,5,1,0.0,6,52,5,244.0
