Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,29,52,300,15.0,403,156,144,3,7,0,9,11,4,1,6.0,15,39,2.0,27,12,1,52,29,300,15.0,156,144,5,3,1,19,15,178.0,2.0,95.0,83.0,6,8,0,2.0,10,49,17,149.2
2018,2,0,34,53,347,17.0,460,160,187,3,11,2,6,8,3,1,8.0,18,98,5.0,74,24,3,52,34,347,16.0,160,187,6,3,0,24,17,198.0,2.0,115.0,83.0,56,2,2,6.0,10,50,6,154.9
2018,3,1,27,36,262,16.0,194,117,145,0,7,1,10,3,0,1,10.0,33,159,8.0,87,72,1,35,27,262,15.0,117,145,2,0,1,27,17,164.0,1.0,110.0,54.0,0,1,4,2.0,7,31,3,339.3
2018,4,0,24,30,307,14.0,229,156,151,1,3,3,5,7,1,1,3.0,20,96,4.0,54,42,4,29,24,307,14.0,156,151,1,1,0,28,18,256.0,3.0,144.0,112.0,10,7,2,3.0,12,54,4,262.5
2018,5,1,14,26,183,9.0,234,79,104,1,8,3,14,4,1,0,0.0,28,94,6.0,66,28,0,26,14,183,9.0,79,104,2,1,0,49,32,442.0,3.0,253.0,189.0,7,3,3,4.0,10,54,9,439.6
2018,7,0,18,22,217,10.0,140,103,114,1,1,1,7,2,2,1,9.0,35,248,12.0,156,92,5,22,18,217,10.0,103,114,3,1,0,33,24,290.0,3.0,201.0,89.0,9,10,1,4.0,15,49,3,374.1
2018,8,1,27,40,310,17.0,289,146,164,2,5,3,4,5,2,1,6.0,13,34,1.0,24,10,1,39,27,310,17.0,146,164,3,2,0,16,2,206.0,3.0,173.0,33.0,13,2,1,2.0,5,52,7,176.2
2018,9,0,25,36,199,13.0,170,83,116,3,5,10,6,3,3,2,11.0,24,66,4.0,49,17,0,34,25,199,13.0,83,116,1,3,1,24,18,164.0,1.0,65.0,99.0,1,1,0,1.0,2,35,2,151.2
2018,10,0,25,42,274,14.0,348,119,155,2,8,6,13,0,2,2,9.0,24,76,7.0,48,28,1,42,25,274,14.0,119,155,0,2,0,34,26,429.0,3.0,221.0,208.0,4,1,1,1.0,3,31,5,381.29999999999995
2018,11,1,23,37,220,11.0,223,92,128,3,7,1,18,2,1,1,9.0,26,94,9.0,29,65,3,35,23,220,11.0,92,128,5,3,1,40,26,368.0,2.0,173.0,195.0,14,2,1,3.0,6,36,4,392.9
2018,12,1,28,38,236,12.0,146,82,154,2,4,2,18,4,2,0,0.0,24,111,4.0,45,66,1,37,28,236,12.0,82,154,0,2,0,40,29,253.0,3.0,175.0,78.0,7,1,4,4.0,10,52,1,309.0
2018,13,1,20,34,245,13.0,279,137,108,2,9,4,8,2,6,0,0.0,26,102,5.0,54,48,3,33,20,245,13.0,137,108,1,2,1,31,1,188.0,1.0,155.0,33.0,3,3,2,2.0,7,48,5,354.40000000000003
2018,14,0,15,23,101,6.0,145,27,74,1,5,1,9,0,1,1,7.0,31,122,7.0,71,51,1,22,15,101,6.0,27,74,0,1,1,44,28,261.0,0.0,194.0,67.0,21,0,3,3.0,6,57,2,427.2
2018,15,0,22,29,208,7.0,197,144,64,0,3,0,16,3,4,0,0.0,26,105,7.0,37,68,2,28,22,208,7.0,144,64,1,0,0,27,14,211.0,1.0,152.0,59.0,12,6,1,1.0,8,54,4,490.0
2018,16,1,23,43,161,10.0,306,68,93,4,12,3,13,0,0,1,14.0,23,86,3.0,15,71,0,42,23,161,10.0,68,93,0,4,0,26,19,230.0,2.0,153.0,77.0,28,1,0,2.0,3,42,7,297.5
2018,17,0,21,33,274,16.0,219,128,146,2,4,1,12,3,2,0,0.0,38,130,7.0,47,83,1,32,21,274,16.0,128,146,3,2,1,40,21,190.0,0.0,148.0,42.0,20,6,3,3.0,12,40,4,434.90000000000003
2019,1,0,27,45,385,17.0,518,228,157,1,10,3,18,3,8,2,10.0,32,116,5.0,40,76,1,41,27,385,17.0,228,157,0,1,1,61,34,340.0,2.0,275.0,65.0,11,7,2,5.0,14,48,8,626.3000000000001
2019,2,1,22,30,245,12.0,310,165,80,1,5,0,7,2,1,2,9.0,28,94,6.0,33,61,2,30,22,245,12.0,165,80,2,1,1,34,22,345.0,0.0,243.0,102.0,22,4,2,1.0,8,50,12,404.2
2019,3,0,18,32,201,11.0,294,151,50,2,6,0,10,4,4,1,3.0,28,86,5.0,32,54,6,32,18,201,11.0,151,50,1,2,0,34,19,219.0,2.0,144.0,75.0,8,5,3,3.0,11,60,14,363.0
2019,4,1,21,34,291,17.0,407,173,118,1,7,4,11,2,2,2,18.0,35,186,8.0,106,80,2,32,21,291,17.0,173,118,1,1,0,39,24,292.0,0.0,154.0,138.0,14,6,3,0.0,9,48,5,474.5
2019,6,0,18,32,265,10.0,328,153,112,3,6,3,15,2,0,1,10.0,20,56,3.0,35,21,0,32,18,265,10.0,153,112,1,3,1,38,24,283.0,2.0,194.0,89.0,3,3,2,1.0,6,54,2,371.1
2019,7,1,30,45,364,21.0,386,224,140,1,8,2,12,2,2,0,0.0,20,81,1.0,44,37,0,45,30,364,21.0,224,140,0,1,0,32,24,338.0,4.0,224.0,114.0,16,1,3,0.0,4,43,4,345.0
2019,8,1,25,32,342,13.0,390,246,96,1,5,4,7,3,1,0,0.0,25,59,3.0,20,39,1,31,25,342,13.0,246,96,0,1,0,40,27,302.0,4.0,181.0,121.0,19,4,3,3.0,10,50,18,292.70000000000005
2019,9,0,26,41,406,16.0,464,269,137,0,12,2,7,6,1,2,6.0,19,90,6.0,48,42,1,41,26,406,16.0,269,137,0,0,0,25,18,261.0,2.0,168.0,93.0,9,6,1,1.0,8,66,7,222.29999999999998
2019,10,0,27,46,269,11.0,307,144,125,3,9,2,8,7,4,4,31.2,27,98,6.0,62,36,3,43,27,269,11.0,144,125,2,3,0,26,18,195.0,3.0,123.0,72.0,7,2,2,5.0,9,45,7,236.3
2019,11,1,15,26,209,9.0,257,141,68,0,5,3,8,8,4,4,42.0,28,121,8.0,51,70,2,24,15,209,9.0,141,68,3,0,0,47,30,443.0,3.0,237.0,206.0,33,5,5,1.0,11,55,11,450.6
2019,12,0,20,33,207,11.0,297,120,87,0,9,6,10,3,7,4,34.0,32,175,8.0,139,36,1,30,20,207,11.0,120,87,0,0,1,27,13,156.0,0.0,109.0,47.0,17,0,3,3.0,6,44,2,379.79999999999995
2019,13,1,22,38,280,13.0,349,172,108,1,6,2,13,6,1,1,1.0,27,105,4.0,52,53,0,36,22,280,13.0,172,108,3,1,1,38,29,338.0,3.0,238.0,100.0,16,2,2,1.0,5,48,6,334.5
2019,14,0,24,40,205,12.0,267,149,56,2,9,5,10,4,3,0,0.0,22,70,2.0,33,37,1,38,24,205,12.0,149,56,0,2,0,26,21,201.0,0.0,103.0,98.0,8,4,2,1.0,7,67,11,192.2
2019,15,1,24,43,260,11.0,354,191,69,2,11,2,24,4,4,3,20.1,18,45,4.0,24,21,0,43,24,260,11.0,191,69,2,2,1,41,28,458.0,4.0,266.0,192.0,20,0,4,2.0,6,50,4,457.5
2019,16,0,12,24,117,7.0,250,59,58,1,7,4,7,2,2,0,0.0,21,96,4.0,64,32,1,23,12,117,7.0,59,58,2,1,0,48,38,297.0,2.0,154.0,143.0,4,3,1,0.0,4,67,7,322.7
2019,17,1,13,30,141,5.0,278,98,43,2,10,1,10,2,2,2,11.0,25,171,9.0,72,99,4,29,13,141,5.0,98,43,0,2,1,49,24,284.0,2.0,189.0,95.0,19,1,5,1.0,7,55,10,753.4
