Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,1.0,24.0,37.0,341.0,14.0,350.0,148.0,193.0,0.0,6.0,4.0,4.0,5.0,3.0,1.0,15.0,18.0,69.0,2.0,40.0,29.0,0.0,36.0,24.0,341.0,14.0,148.0,193.0,0.0,0.0,0.0,34.0,22.0,166.0,0.0,575.2,92.0,74.0,37.0,8.0,1.0,3.0,12.0,59.0,10.0,219.2
10.0,1.0,19.0,28.0,199.0,11.0,193.0,89.0,110.0,2.0,3.0,2.0,9.0,2.0,1.0,3.0,24.0,25.0,195.0,9.0,159.0,36.0,0.0,26.0,19.0,199.0,11.0,89.0,110.0,0.0,2.0,1.0,38.0,24.0,218.0,0.0,647.4,101.0,117.0,25.0,3.0,2.0,6.0,11.0,59.0,12.0,236.89999999999998
11.0,0.0,21.0,30.0,332.0,11.0,347.0,198.0,134.0,2.0,4.0,5.0,7.0,4.0,0.0,1.0,3.0,13.0,48.0,3.0,32.0,16.0,0.0,29.0,21.0,332.0,11.0,198.0,134.0,1.0,2.0,0.0,24.0,18.0,206.0,2.0,990.4,164.0,42.0,28.0,2.0,0.0,3.0,5.0,56.0,11.0,307.0
12.0,0.0,17.0,28.0,198.0,8.0,289.0,132.0,66.0,0.0,5.0,4.0,3.0,6.0,1.0,0.0,0.0,19.0,82.0,5.0,41.0,41.0,1.0,27.0,17.0,198.0,8.0,132.0,66.0,0.0,0.0,0.0,38.0,30.0,352.0,4.0,1056.0,201.0,151.0,14.0,1.0,2.0,2.0,5.0,66.0,11.0,290.8
13.0,1.0,31.0,50.0,233.0,15.0,424.0,109.0,124.0,5.0,9.0,1.0,23.0,12.0,3.0,3.0,20.1,23.0,98.0,6.0,63.0,35.0,2.0,48.0,31.0,233.0,15.0,109.0,124.0,2.0,5.0,0.0,23.0,10.0,150.0,0.0,632.9,139.0,11.0,29.0,9.0,1.0,2.0,12.0,41.0,4.0,262.0
14.0,1.0,21.0,32.0,196.0,11.0,273.0,118.0,78.0,0.0,4.0,4.0,14.0,5.0,1.0,3.0,44.099999999999994,25.0,138.0,6.0,103.0,35.0,1.0,31.0,21.0,196.0,11.0,118.0,78.0,1.0,0.0,1.0,42.0,28.0,271.0,3.0,749.6999999999999,175.0,96.0,15.0,3.0,3.0,1.0,7.0,52.0,8.0,357.7
15.0,0.0,25.0,42.0,274.0,15.0,461.0,132.0,142.0,1.0,6.0,5.0,10.0,11.0,2.0,3.0,24.900000000000002,19.0,88.0,4.0,63.0,25.0,0.0,40.0,25.0,274.0,15.0,132.0,142.0,2.0,1.0,0.0,28.0,20.0,235.0,2.0,858.9,113.0,122.0,11.0,6.0,0.0,1.0,8.0,43.0,7.0,198.40000000000003
16.0,0.0,37.0,55.0,442.0,19.0,383.0,196.0,246.0,2.0,9.0,4.0,17.0,6.0,4.0,3.0,32.099999999999994,20.0,127.0,9.0,67.0,60.0,2.0,53.0,37.0,442.0,19.0,196.0,246.0,0.0,2.0,0.0,37.0,26.0,357.0,3.0,1116.8,225.0,132.0,25.0,5.0,0.0,2.0,7.0,50.0,7.0,412.3
17.0,1.0,19.0,40.0,158.0,5.0,398.0,116.0,42.0,4.0,9.0,3.0,5.0,4.0,3.0,4.0,40.0,13.0,46.0,3.0,15.0,31.0,1.0,36.0,19.0,158.0,5.0,116.0,42.0,0.0,4.0,0.0,35.0,22.0,275.0,2.0,819.6,149.0,126.0,28.0,3.0,2.0,1.0,6.0,59.0,8.0,243.4
2.0,1.0,30.0,42.0,281.0,11.0,300.0,158.0,123.0,2.0,3.0,4.0,11.0,4.0,4.0,2.0,11.0,24.0,98.0,9.0,76.0,22.0,1.0,41.0,30.0,281.0,11.0,158.0,123.0,2.0,2.0,1.0,54.0,41.0,481.0,5.0,1235.4,304.0,177.0,39.0,7.0,2.0,2.0,12.0,65.0,6.0,441.9
3.0,0.0,27.0,45.0,265.0,11.0,326.0,99.0,166.0,4.0,9.0,4.0,8.0,6.0,2.0,2.0,13.0,17.0,100.0,7.0,66.0,34.0,0.0,45.0,27.0,265.0,11.0,105.0,160.0,3.0,4.0,1.0,21.0,12.0,266.0,3.0,831.2,161.0,105.0,6.0,4.0,1.0,0.0,5.0,60.0,12.0,243.9
4.0,1.0,22.0,40.0,298.0,12.0,423.0,154.0,144.0,5.0,8.0,2.0,8.0,2.0,2.0,4.0,34.0,32.0,141.0,9.0,71.0,70.0,2.0,40.0,22.0,298.0,12.0,154.0,144.0,0.0,5.0,2.0,32.0,15.0,134.0,0.0,538.9000000000001,76.0,58.0,36.0,7.0,3.0,7.0,18.0,51.0,7.0,301.0
5.0,0.0,32.0,52.0,442.0,23.0,456.0,253.0,189.0,2.0,14.0,4.0,5.0,4.0,3.0,2.0,11.0,20.0,98.0,6.0,64.0,34.0,1.0,50.0,32.0,442.0,23.0,253.0,189.0,0.0,2.0,0.0,27.0,15.0,195.0,2.0,708.3000000000001,82.0,113.0,29.0,4.0,1.0,3.0,8.0,39.0,9.0,237.29999999999998
6.0,1.0,25.0,46.0,425.0,17.0,379.0,207.0,218.0,1.0,11.0,3.0,14.0,13.0,4.0,3.0,33.900000000000006,21.0,116.0,8.0,99.0,17.0,1.0,44.0,25.0,425.0,17.0,207.0,218.0,4.0,1.0,1.0,24.0,17.0,266.0,2.0,873.1,152.0,114.0,23.0,3.0,2.0,2.0,7.0,51.0,10.0,198.8
8.0,0.0,18.0,30.0,286.0,11.0,257.0,170.0,116.0,0.0,8.0,3.0,10.0,6.0,5.0,1.0,5.0,19.0,106.0,5.0,61.0,45.0,1.0,30.0,18.0,286.0,11.0,170.0,116.0,0.0,0.0,0.0,32.0,20.0,289.0,2.0,784.8000000000001,210.0,79.0,26.0,12.0,3.0,5.0,20.0,61.0,4.0,391.1
9.0,0.0,24.0,43.0,259.0,14.0,397.0,157.0,102.0,1.0,8.0,1.0,10.0,5.0,4.0,3.0,9.899999999999999,25.0,117.0,6.0,69.0,48.0,1.0,39.0,24.0,259.0,14.0,157.0,102.0,0.0,1.0,0.0,38.0,24.0,337.0,1.0,1157.3,138.0,199.0,15.0,1.0,1.0,2.0,4.0,56.0,4.0,317.1
