Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,0.0,17.0,34.0,176.0,8.0,377.0,117.0,59.0,4.0,8.0,3.0,9.0,4.0,8.0,5.0,45.0,34.0,167.0,10.0,104.0,63.0,2.0,34.0,17.0,176.0,8.0,117.0,59.0,2.0,4.0,1.0,40.0,27.0,305.0,3.0,921.3,211.0,94.0,17.0,4.0,3.0,2.0,9.0,61.0,7.0,347.9
11.0,0.0,16.0,24.0,208.0,8.0,122.0,68.0,140.0,2.0,5.0,3.0,9.0,4.0,1.0,2.0,8.0,31.0,139.0,7.0,93.0,46.0,1.0,24.0,16.0,208.0,8.0,68.0,140.0,3.0,2.0,2.0,39.0,19.0,193.0,1.0,518.4,121.0,72.0,16.0,10.0,1.0,5.0,16.0,56.0,2.0,439.4
12.0,1.0,19.0,24.0,210.0,11.0,189.0,122.0,88.0,2.0,2.0,4.0,10.0,3.0,0.0,6.0,54.0,34.0,281.0,7.0,160.0,121.0,5.0,23.0,19.0,210.0,11.0,122.0,88.0,0.0,2.0,0.0,23.0,22.0,310.0,2.0,1060.3000000000002,126.0,184.0,8.0,7.0,1.0,6.0,16.0,67.0,10.0,126.70000000000002
13.0,1.0,22.0,31.0,224.0,12.0,221.0,105.0,119.0,1.0,4.0,4.0,17.0,4.0,3.0,5.0,29.0,39.0,187.0,11.0,104.0,83.0,2.0,29.0,22.0,224.0,12.0,105.0,119.0,2.0,1.0,3.0,45.0,33.0,458.0,1.0,1051.1999999999998,244.0,214.0,3.0,13.0,1.0,0.0,14.0,41.0,14.0,433.70000000000005
14.0,1.0,27.0,38.0,267.0,14.0,257.0,115.0,152.0,0.0,7.0,5.0,11.0,4.0,3.0,3.0,21.0,25.0,89.0,6.0,41.0,48.0,3.0,38.0,27.0,267.0,14.0,115.0,152.0,0.0,0.0,1.0,42.0,27.0,399.0,2.0,755.7,262.0,137.0,16.0,2.0,3.0,2.0,7.0,52.0,6.0,360.7
15.0,0.0,22.0,28.0,294.0,12.0,264.0,183.0,111.0,0.0,3.0,6.0,15.0,7.0,3.0,1.0,4.0,17.0,47.0,1.0,24.0,23.0,0.0,26.0,22.0,294.0,12.0,183.0,111.0,2.0,0.0,0.0,37.0,24.0,269.0,2.0,951.2,207.0,62.0,7.0,10.0,3.0,3.0,16.0,65.0,4.0,442.4
16.0,0.0,29.0,40.0,339.0,17.0,418.0,271.0,68.0,0.0,6.0,4.0,5.0,5.0,4.0,6.0,40.8,19.0,62.0,4.0,62.0,0.0,0.0,40.0,29.0,339.0,17.0,271.0,68.0,1.0,0.0,1.0,49.0,36.0,457.0,3.0,1175.6999999999998,260.0,197.0,8.0,6.0,3.0,1.0,10.0,61.0,7.0,355.0
17.0,1.0,25.0,35.0,234.0,13.0,230.0,134.0,100.0,1.0,5.0,6.0,13.0,8.0,4.0,1.0,3.0,33.0,134.0,8.0,87.0,47.0,2.0,35.0,25.0,234.0,13.0,134.0,100.0,0.0,1.0,1.0,28.0,15.0,107.0,0.0,560.1,46.0,61.0,14.0,6.0,2.0,3.0,12.0,40.0,3.0,270.8
18.0,1.0,29.0,49.0,235.0,13.0,352.0,96.0,139.0,2.0,10.0,3.0,19.0,10.0,0.0,5.0,52.0,16.0,105.0,7.0,79.0,26.0,2.0,47.0,29.0,235.0,13.0,96.0,139.0,1.0,2.0,0.0,31.0,20.0,222.0,2.0,858.4,174.0,48.0,28.0,6.0,0.0,0.0,6.0,53.0,5.0,321.1
2.0,0.0,22.0,32.0,310.0,13.0,399.0,239.0,71.0,0.0,3.0,4.0,11.0,10.0,6.0,4.0,44.0,26.0,148.0,6.0,101.0,47.0,1.0,31.0,22.0,310.0,13.0,239.0,71.0,1.0,0.0,0.0,20.0,14.0,125.0,1.0,678.1,45.0,80.0,23.0,2.0,1.0,1.0,4.0,52.0,13.0,105.4
3.0,1.0,24.0,40.0,385.0,18.0,439.0,220.0,165.0,0.0,9.0,3.0,5.0,5.0,8.0,5.0,36.0,19.0,59.0,2.0,52.0,7.0,0.0,38.0,24.0,385.0,18.0,220.0,165.0,4.0,0.0,0.0,30.0,26.0,315.0,2.0,1034.7,149.0,166.0,17.0,1.0,2.0,4.0,7.0,65.0,16.0,194.2
