Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,0.0,18.0,33.0,176.0,13.0,230.0,88.0,88.0,2.0,5.0,1.0,15.0,6.0,1.0,1.0,3.0,28.0,137.0,4.0,86.0,51.0,1.0,33.0,18.0,176.0,13.0,88.0,88.0,0.0,2.0,1.0,37.0,23.0,224.0,0.0,797.4000000000001,138.0,86.0,7.0,13.0,4.0,2.0,19.0,62.0,10.0,270.6
10.0,0.0,27.0,39.0,324.0,14.0,146.0,56.0,268.0,3.0,3.0,0.0,2.0,2.0,1.0,2.0,8.0,34.0,91.0,6.0,64.0,27.0,0.0,38.0,27.0,324.0,16.0,56.0,268.0,1.0,3.0,1.0,34.0,28.0,357.0,4.0,941.0999999999999,222.0,135.0,5.0,1.0,1.0,0.0,2.0,32.0,2.0,289.2
11.0,1.0,10.0,18.0,104.0,5.0,151.0,52.0,52.0,1.0,5.0,6.0,12.0,1.0,1.0,2.0,17.0,43.0,179.0,9.0,86.0,93.0,0.0,18.0,10.0,104.0,5.0,52.0,52.0,1.0,1.0,3.0,46.0,28.0,323.0,2.0,443.6,181.0,142.0,2.0,1.0,4.0,2.0,7.0,38.0,2.0,419.6
12.0,0.0,12.0,23.0,127.0,6.0,176.0,57.0,70.0,1.0,6.0,3.0,6.0,2.0,3.0,5.0,39.0,39.0,226.0,13.0,135.0,91.0,2.0,22.0,12.0,127.0,6.0,57.0,70.0,0.0,1.0,0.0,17.0,5.0,160.0,1.0,520.0,82.0,78.0,9.0,5.0,6.0,0.0,11.0,44.0,12.0,295.0
13.0,1.0,18.0,24.0,150.0,7.0,118.0,35.0,115.0,1.0,2.0,3.0,3.0,1.0,4.0,5.0,28.0,27.0,79.0,2.0,36.0,43.0,2.0,22.0,18.0,150.0,7.0,35.0,115.0,5.0,1.0,1.0,49.0,35.0,264.0,0.0,571.4,128.0,136.0,13.0,4.0,6.0,3.0,13.0,52.0,2.0,338.70000000000005
14.0,0.0,25.0,43.0,240.0,11.0,396.0,170.0,70.0,3.0,7.0,4.0,16.0,15.0,3.0,2.0,16.0,20.0,60.0,5.0,26.0,34.0,1.0,41.0,25.0,240.0,11.0,170.0,70.0,0.0,3.0,1.0,27.0,21.0,173.0,0.0,596.2,70.0,103.0,5.0,1.0,0.0,1.0,2.0,52.0,13.0,182.4
15.0,1.0,9.0,17.0,57.0,2.0,88.0,12.0,45.0,0.0,3.0,6.0,5.0,5.0,1.0,6.0,67.80000000000001,21.0,140.0,6.0,105.0,35.0,1.0,15.0,9.0,57.0,2.0,12.0,45.0,0.0,0.0,0.0,25.0,18.0,173.0,1.0,932.7,80.0,93.0,20.0,0.0,4.0,3.0,7.0,56.0,8.0,250.8
16.0,0.0,17.0,24.0,145.0,8.0,153.0,77.0,68.0,2.0,3.0,6.0,11.0,3.0,5.0,0.0,0.0,32.0,126.0,8.0,68.0,58.0,3.0,23.0,17.0,145.0,8.0,77.0,68.0,1.0,2.0,1.0,21.0,15.0,146.0,1.0,524.9,57.0,89.0,9.0,2.0,4.0,3.0,9.0,35.0,3.0,93.1
17.0,0.0,15.0,28.0,107.0,4.0,271.0,46.0,61.0,1.0,5.0,3.0,10.0,3.0,2.0,4.0,15.2,14.0,28.0,2.0,16.0,12.0,2.0,28.0,15.0,107.0,4.0,46.0,61.0,0.0,1.0,0.0,35.0,25.0,234.0,0.0,586.8,134.0,100.0,24.0,9.0,4.0,6.0,21.0,69.0,9.0,230.1
2.0,1.0,29.0,45.0,376.0,22.0,351.0,171.0,205.0,2.0,8.0,0.0,18.0,2.0,4.0,5.0,36.0,24.0,104.0,5.0,50.0,54.0,0.0,44.0,29.0,376.0,22.0,171.0,205.0,3.0,2.0,0.0,37.0,27.0,296.0,3.0,912.9,132.0,164.0,11.0,0.0,3.0,2.0,5.0,45.0,5.0,214.79999999999998
