Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,0.0,15.0,27.0,256.0,10.0,351.0,143.0,113.0,1.0,5.0,1.0,5.0,4.0,6.0,1.0,3.0,27.0,106.0,6.0,52.0,54.0,3.0,25.0,15.0,256.0,10.0,143.0,113.0,0.0,1.0,1.0,50.0,33.0,406.0,3.0,1047.3,174.0,232.0,21.0,6.0,5.0,1.0,12.0,70.0,12.0,494.1
10.0,1.0,21.0,28.0,249.0,12.0,204.0,121.0,128.0,0.0,4.0,5.0,10.0,1.0,1.0,2.0,17.0,23.0,118.0,8.0,92.0,26.0,2.0,28.0,21.0,249.0,12.0,121.0,128.0,1.0,0.0,2.0,36.0,22.0,198.0,1.0,660.6,110.0,88.0,8.0,4.0,8.0,5.0,17.0,53.0,4.0,265.8
11.0,0.0,33.0,46.0,478.0,21.0,467.0,259.0,219.0,2.0,6.0,3.0,5.0,18.0,1.0,5.0,22.0,20.0,98.0,2.0,71.0,27.0,1.0,46.0,33.0,478.0,21.0,259.0,219.0,2.0,2.0,0.0,52.0,32.0,416.0,4.0,881.4000000000001,228.0,188.0,22.0,12.0,3.0,5.0,20.0,54.0,4.0,512.6999999999999
13.0,0.0,23.0,38.0,295.0,14.0,450.0,189.0,106.0,2.0,9.0,0.0,6.0,7.0,4.0,3.0,42.0,30.0,174.0,8.0,148.0,26.0,0.0,37.0,23.0,295.0,14.0,189.0,106.0,2.0,2.0,0.0,36.0,27.0,284.0,2.0,800.5,179.0,105.0,3.0,4.0,1.0,3.0,9.0,60.0,6.0,323.2
14.0,1.0,35.0,53.0,377.0,18.0,408.0,106.0,271.0,4.0,4.0,3.0,23.0,13.0,12.0,0.0,0.0,27.0,94.0,8.0,54.0,40.0,1.0,48.0,35.0,377.0,18.0,106.0,271.0,5.0,4.0,0.0,28.0,15.0,170.0,3.0,697.9,125.0,45.0,15.0,5.0,1.0,2.0,8.0,50.0,4.0,388.4
15.0,1.0,24.0,34.0,243.0,12.0,210.0,107.0,136.0,2.0,4.0,2.0,3.0,7.0,1.0,1.0,2.0,17.0,60.0,7.0,40.0,20.0,1.0,34.0,24.0,243.0,12.0,107.0,136.0,1.0,2.0,2.0,43.0,30.0,391.0,2.0,807.6,277.0,114.0,11.0,9.0,6.0,5.0,21.0,65.0,8.0,424.5
16.0,0.0,23.0,40.0,273.0,16.0,395.0,137.0,136.0,1.0,10.0,1.0,6.0,8.0,9.0,3.0,33.0,19.0,154.0,6.0,56.0,98.0,0.0,39.0,23.0,273.0,16.0,137.0,136.0,0.0,1.0,0.0,25.0,17.0,272.0,3.0,599.9000000000001,228.0,44.0,21.0,12.0,5.0,3.0,21.0,70.0,12.0,330.9
17.0,1.0,16.0,27.0,310.0,11.0,273.0,144.0,166.0,4.0,3.0,0.0,7.0,4.0,0.0,1.0,2.0,27.0,99.0,7.0,63.0,36.0,6.0,27.0,16.0,310.0,11.0,144.0,166.0,1.0,4.0,2.0,33.0,24.0,185.0,0.0,642.4,126.0,59.0,7.0,3.0,0.0,3.0,7.0,62.0,6.0,206.2
19.0,1.0,27.0,41.0,278.0,14.0,368.0,135.0,143.0,3.0,7.0,4.0,10.0,2.0,2.0,2.0,8.0,33.0,180.0,12.0,118.0,62.0,1.0,41.0,27.0,278.0,14.0,136.0,142.0,0.0,3.0,0.0,34.0,18.0,193.0,1.0,655.8,146.0,47.0,5.0,0.0,2.0,3.0,5.0,39.0,2.0,287.9
2.0,0.0,23.0,28.0,326.0,17.0,302.0,204.0,122.0,0.0,4.0,1.0,9.0,1.0,4.0,2.0,20.0,25.0,127.0,4.0,76.0,51.0,1.0,28.0,23.0,326.0,17.0,204.0,122.0,4.0,0.0,0.0,60.0,44.0,482.0,3.0,1122.2,204.0,278.0,24.0,7.0,2.0,1.0,10.0,54.0,10.0,460.30000000000007
20.0,1.0,16.0,31.0,295.0,11.0,420.0,163.0,132.0,2.0,9.0,4.0,11.0,5.0,5.0,1.0,9.0,12.0,41.0,3.0,22.0,19.0,0.0,28.0,16.0,295.0,11.0,163.0,132.0,1.0,2.0,2.0,50.0,33.0,388.0,1.0,817.7000000000002,227.0,161.0,35.0,0.0,1.0,0.0,1.0,86.0,8.0,441.4
3.0,1.0,24.0,38.0,314.0,15.0,389.0,139.0,175.0,1.0,9.0,2.0,7.0,10.0,6.0,1.0,7.0,28.0,77.0,9.0,27.0,50.0,3.0,38.0,24.0,314.0,15.0,139.0,175.0,3.0,1.0,0.0,30.0,20.0,248.0,1.0,800.0,117.0,131.0,10.0,8.0,1.0,4.0,13.0,50.0,7.0,268.2
4.0,0.0,28.0,45.0,304.0,13.0,357.0,146.0,158.0,2.0,8.0,1.0,10.0,16.0,5.0,1.0,8.0,26.0,142.0,8.0,61.0,81.0,4.0,44.0,28.0,304.0,13.0,146.0,158.0,4.0,2.0,1.0,32.0,19.0,228.0,0.0,677.9,153.0,75.0,16.0,6.0,5.0,4.0,15.0,44.0,9.0,297.9
5.0,1.0,22.0,38.0,313.0,17.0,356.0,142.0,171.0,2.0,9.0,1.0,7.0,9.0,4.0,2.0,15.0,30.0,126.0,6.0,83.0,43.0,2.0,36.0,22.0,313.0,17.0,142.0,171.0,0.0,2.0,4.0,68.0,40.0,486.0,1.0,712.3000000000001,313.0,173.0,19.0,3.0,6.0,5.0,14.0,53.0,5.0,703.9
6.0,0.0,23.0,36.0,352.0,14.0,319.0,163.0,189.0,1.0,10.0,0.0,8.0,10.0,2.0,1.0,6.0,17.0,94.0,4.0,52.0,42.0,0.0,36.0,23.0,352.0,13.0,163.0,189.0,1.0,1.0,0.0,37.0,25.0,347.0,1.0,935.6,173.0,174.0,5.0,2.0,0.0,2.0,5.0,64.0,9.0,332.8
7.0,1.0,28.0,39.0,358.0,19.0,336.0,152.0,206.0,2.0,4.0,2.0,3.0,6.0,4.0,2.0,33.0,29.0,198.0,11.0,106.0,92.0,2.0,36.0,28.0,358.0,19.0,152.0,206.0,1.0,2.0,0.0,32.0,19.0,187.0,1.0,770.1,120.0,67.0,2.0,2.0,1.0,2.0,5.0,36.0,4.0,261.9
8.0,1.0,24.0,34.0,303.0,15.0,245.0,144.0,159.0,1.0,3.0,2.0,15.0,4.0,3.0,1.0,1.0,18.0,49.0,2.0,17.0,32.0,1.0,31.0,24.0,303.0,15.0,144.0,159.0,2.0,1.0,1.0,32.0,22.0,261.0,2.0,881.3000000000001,153.0,108.0,19.0,3.0,4.0,5.0,12.0,62.0,9.0,289.5
9.0,0.0,23.0,32.0,375.0,15.0,216.0,161.0,214.0,4.0,3.0,2.0,5.0,3.0,5.0,1.0,3.0,24.0,139.0,10.0,80.0,59.0,3.0,31.0,23.0,375.0,15.0,161.0,214.0,3.0,4.0,1.0,45.0,30.0,308.0,2.0,938.0,122.0,186.0,23.0,6.0,0.0,2.0,8.0,56.0,7.0,417.20000000000005
1.0,0.0,25.0,34.0,378.0,13.0,180.0,116.0,262.0,2.0,6.0,0.0,6.0,1.0,4.0,0.0,0.0,26.0,113.0,9.0,55.0,58.0,2.0,34.0,25.0,378.0,13.0,116.0,262.0,2.0,2.0,1.0,32.0,26.0,350.0,3.0,967.9000000000001,205.0,145.0,10.0,3.0,1.0,1.0,5.0,45.0,4.0,222.39999999999998
10.0,0.0,36.0,51.0,446.0,20.0,422.0,198.0,248.0,3.0,5.0,2.0,11.0,7.0,2.0,0.0,0.0,25.0,97.0,6.0,52.0,45.0,2.0,49.0,36.0,446.0,20.0,198.0,248.0,2.0,3.0,0.0,18.0,12.0,161.0,2.0,688.1000000000001,110.0,51.0,11.0,3.0,3.0,4.0,10.0,47.0,13.0,230.9
