Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,20,28,230,9.0,291,141,89,1,5,1,10,0,1,0,0.0,29,120,7.0,71,49,0,28,20,230,9.0,141,89,1,1,3,40,19,214.0,0.0,107.0,107.0,6,4,1,0.0,5,62,5,287.4
2018,2,0,17,23,168,9.0,137,52,116,1,4,4,9,2,2,0,0.0,31,135,6.0,73,62,0,23,17,168,9.0,52,116,0,1,2,46,23,343.0,1.0,193.0,150.0,7,7,0,3.0,10,50,7,488.2
2018,3,1,18,24,341,11.0,248,167,174,2,1,1,7,0,2,2,27.0,14,41,2.0,28,13,0,24,18,341,11.0,167,174,2,2,2,43,31,393.0,2.0,166.0,227.0,5,6,3,3.0,12,79,12,341.29999999999995
2018,4,0,15,25,135,8.0,259,51,84,0,6,2,4,6,3,1,7.0,18,56,1.0,37,19,1,25,15,135,8.0,51,84,2,0,2,41,27,334.0,4.0,148.0,186.0,4,3,6,0.0,9,67,6,377.6
2018,5,0,20,35,185,10.0,202,70,115,1,3,3,9,7,4,0,0.0,22,128,5.0,85,43,2,33,20,185,10.0,70,115,1,1,1,32,22,279.0,1.0,190.0,89.0,16,8,1,2.0,11,50,3,297.29999999999995
2018,6,1,28,44,380,15.0,293,112,268,3,7,0,11,6,4,1,6.0,31,161,6.0,59,102,4,40,28,380,15.0,112,268,3,3,1,34,22,346.0,4.0,211.0,135.0,10,9,1,2.0,12,63,11,451.40000000000003
2018,7,1,22,31,239,12.0,309,159,80,2,4,4,2,10,1,1,2.0,19,107,4.0,58,49,2,30,22,239,12.0,159,80,0,2,0,22,19,232.0,3.0,118.0,114.0,13,2,2,1.0,5,53,9,155.2
2018,8,0,22,38,269,11.0,404,170,99,0,6,2,6,7,0,0,0.0,25,116,6.0,72,44,1,33,22,269,11.0,170,99,0,0,0,19,15,190.0,4.0,114.0,76.0,5,4,0,0.0,4,55,13,161.2
2018,9,1,15,24,139,6.0,168,60,79,0,3,4,6,4,3,1,6.0,27,64,1.0,29,35,1,22,15,139,6.0,60,79,1,0,4,41,21,235.0,0.0,120.0,115.0,4,6,2,4.0,12,54,9,421.20000000000005
2018,10,0,23,37,213,11.0,232,96,117,0,8,6,14,3,2,0,0.0,23,131,6.0,57,74,4,36,23,213,11.0,96,117,3,0,0,25,18,169.0,2.0,86.0,83.0,6,2,1,2.0,6,47,4,187.2
