Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,20,36,244,15,255,91,153,3,5,3,9,7,1,4,26.0,32,116,3.0,70,46,3,35,20,244,15.0,91,153,2,3,3,34,15,261.0,1.0,117.0,144.0,9,8,1,3.0,13,48,1,365.5
2018,2,0,35,48,425,20,361,250,175,4,3,2,9,6,2,2,5.0,18,68,3.0,46,22,1,48,35,425,20.0,250,175,1,4,0,42,31,297.0,1.0,174.0,123.0,14,5,4,4.0,14,65,6,315.70000000000005
2018,3,1,40,55,296,17,335,127,169,2,6,4,9,8,2,1,2.0,6,14,1.0,-2,16,0,55,40,296,17.0,127,169,3,2,0,24,17,225.0,2.0,80.0,145.0,13,5,2,3.0,10,65,5,212.09999999999997
2018,4,0,36,50,422,22,304,226,196,2,3,4,18,10,4,2,24.0,17,54,3.0,28,26,1,49,36,422,22.0,226,196,3,2,0,31,23,395.0,5.0,242.0,153.0,17,2,1,1.0,4,49,6,317.7
2018,5,0,30,37,301,13,217,140,161,0,3,1,8,6,5,1,3.0,23,77,5.0,54,23,2,37,30,301,13.0,140,161,3,0,0,31,24,311.0,2.0,188.0,123.0,12,2,0,3.0,5,44,6,280.9
2018,6,1,24,34,233,12,160,141,92,1,1,4,10,6,1,1,5.0,32,195,8.0,95,100,2,31,24,233,12.0,141,92,1,1,1,31,20,237.0,0.0,142.0,95.0,13,3,2,4.0,9,53,3,212.3
2018,7,0,25,40,241,10,414,169,72,2,4,1,15,6,5,0,0.0,24,88,3.0,35,53,3,39,25,241,10.0,169,72,0,2,3,35,12,158.0,1.0,73.0,85.0,16,8,0,3.0,13,52,4,480.9
2018,8,1,31,41,359,19,281,230,129,0,2,4,9,1,2,0,0.0,22,85,4.0,31,54,2,40,31,359,19.0,230,129,0,0,1,23,19,189.0,1.0,122.0,67.0,3,2,1,0.0,3,58,3,143.0
2018,9,1,18,22,164,10,131,65,99,1,2,1,1,1,0,0,0.0,23,128,3.0,111,17,1,22,18,164,10.0,65,99,1,1,0,30,22,156.0,0.0,66.0,90.0,10,4,3,10.0,19,65,4,134.2
2018,11,0,30,46,262,15,371,166,96,0,10,2,4,11,4,1,5.0,14,22,2.0,9,13,0,45,30,262,15.0,166,96,2,0,2,33,22,200.0,1.0,129.0,71.0,7,13,1,1.0,15,57,9,297.9
2018,12,1,29,38,342,18,275,185,157,1,5,2,7,1,2,3,15.899999999999999,29,91,4.0,51,40,1,37,29,342,18.0,185,157,2,1,0,28,19,232.0,1.0,158.0,74.0,5,6,1,4.0,11,45,3,296.3
2018,13,0,32,44,201,11,298,94,107,2,7,2,14,2,4,0,0.0,13,95,5.0,55,40,2,44,32,201,11.0,94,107,1,2,1,32,24,266.0,1.0,84.0,182.0,14,3,1,0.0,4,54,5,123.7
2018,14,0,20,33,208,9,246,104,104,3,4,2,3,14,4,0,0.0,21,77,5.0,53,24,1,31,20,208,9.0,104,104,2,3,1,17,10,72.0,0.0,31.0,41.0,11,11,0,2.0,13,71,6,168.8
2018,15,1,14,21,215,10,144,123,92,1,2,2,9,1,2,1,3.0,40,220,10.0,126,94,1,20,14,215,10.0,123,92,0,1,0,24,13,117.0,0.0,43.0,74.0,22,3,2,9.0,14,42,3,226.2
2018,16,0,21,28,253,11,308,164,89,1,6,2,11,1,0,0,0.0,28,100,4.0,52,48,1,28,21,253,11.0,164,89,0,1,0,37,22,164.0,0.0,71.0,93.0,16,0,0,3.0,3,51,3,236.1
2018,17,1,20,33,132,6,290,70,62,2,5,4,7,16,1,1,7.0,15,63,3.0,36,27,1,31,20,132,6.0,70,62,0,2,0,27,19,164.0,0.0,110.0,54.0,10,5,1,0.0,6,62,9,232.0
2019,1,1,8,10,98,4,51,56,42,0,1,1,8,2,2,0,0.0,38,172,10.0,75,97,3,9,8,98,4.0,56,42,1,0,2,46,32,286.0,1.0,171.0,115.0,20,6,3,4.0,13,56,8,342.8
2019,2,0,14,32,230,6,335,115,115,1,6,1,7,8,4,2,17.0,27,198,8.0,85,113,4,27,14,230,6.0,115,115,2,1,0,31,21,197.0,1.0,91.0,106.0,18,3,7,2.0,12,61,3,252.60000000000002
2019,3,1,15,21,174,8,100,71,103,2,1,0,9,1,2,2,16.0,38,211,10.0,154,57,3,20,15,174,8.0,71,103,0,2,1,31,26,238.0,2.0,142.0,96.0,5,2,0,4.0,6,48,6,205.0
