Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,37,45,439,19.0,348,272,167,1,3,1,11,3,1,0,0.0,13,43,5.0,16,27,1,44,37,439,19.0,272,167,2,1,0,29,22,432.0,4.0,1255.2,296.0,136.0,17,1,2,0.0,3,53,7,349.9
2018,2,1,28,35,243,11.0,255,113,130,0,5,3,20,4,1,0,0.0,23,62,4.0,0,62,9,35,28,243,11.0,113,130,5,0,1,39,28,313.0,1.0,832.3999999999999,204.0,109.0,12,6,2,3.0,11,61,4,339.80000000000007
2018,3,0,39,49,396,19.0,273,173,223,2,5,1,8,7,1,1,7.0,27,143,11.0,62,81,5,49,39,396,19.0,173,223,3,2,0,34,25,362.0,5.0,740.3,220.0,142.0,14,8,3,3.0,14,45,3,346.0
2018,4,0,19,34,227,11.0,255,106,121,3,5,1,13,6,1,0,0.0,32,170,10.0,78,92,2,33,19,227,12.0,106,121,0,3,0,39,29,235.0,1.0,795.8,135.0,100.0,15,6,2,3.0,11,56,9,268.0
2018,5,1,26,29,363,15.0,160,158,205,0,1,2,8,2,1,1,2.0,32,98,8.0,46,52,3,29,26,363,15.0,158,205,1,0,1,39,23,283.0,0.0,823.8,160.0,123.0,14,9,1,3.0,13,46,8,359.09999999999997
2018,7,0,22,30,212,12.0,201,146,66,2,3,1,15,2,2,0,0.0,39,134,12.0,70,64,2,28,22,212,12.0,146,66,0,2,0,42,28,338.0,3.0,923.3000000000001,217.0,121.0,17,5,1,1.0,7,50,7,371.6
2018,8,0,19,24,164,9.0,92,81,83,1,1,0,3,2,1,0,0.0,29,106,6.0,54,52,2,23,19,164,9.0,81,83,1,1,1,44,35,431.0,2.0,907.3000000000001,282.0,149.0,14,1,2,4.0,7,57,4,333.59999999999997
2018,9,1,25,36,346,19.0,340,194,152,1,7,0,12,4,4,2,18.0,34,141,10.0,63,78,2,36,25,346,19.0,194,152,3,1,1,44,31,482.0,3.0,957.8000000000001,289.0,193.0,13,9,4,0.0,13,49,5,420.09999999999997
2018,10,0,22,27,265,12.0,147,123,142,2,2,0,4,3,1,0,0.0,47,244,18.0,140,104,1,27,22,265,13.0,123,142,1,2,2,23,15,234.0,1.0,911.5,70.0,164.0,19,5,2,4.0,11,37,3,191.9
2018,11,1,23,32,373,21.0,396,247,126,2,7,0,10,1,1,0,0.0,37,173,6.0,81,92,7,32,23,373,21.0,247,126,4,2,3,36,21,190.0,0.0,968.5,111.0,79.0,16,4,2,3.0,9,33,1,396.29999999999995
