Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,1.0,26.0,39.0,277.0,16.0,320.0,184.0,93.0,0.0,6.0,2.0,10.0,4.0,3.0,0.0,0.0,31.0,122.0,5.0,75.0,47.0,3.0,39.0,26.0,277.0,16.0,184.0,93.0,1.0,0.0,1.0,33.0,15.0,164.0,1.0,681.9000000000001,116.0,48.0,21.0,7.0,8.0,3.0,19.0,67.0,6.0,376.1
10.0,0.0,23.0,43.0,267.0,12.0,351.0,133.0,134.0,1.0,7.0,3.0,12.0,3.0,2.0,0.0,0.0,19.0,40.0,4.0,24.0,16.0,0.0,40.0,23.0,267.0,12.0,133.0,134.0,0.0,1.0,0.0,25.0,18.0,252.0,2.0,924.7,166.0,86.0,15.0,2.0,0.0,2.0,4.0,50.0,5.0,270.2
12.0,0.0,20.0,31.0,283.0,12.0,297.0,174.0,109.0,1.0,7.0,0.0,7.0,1.0,4.0,0.0,0.0,36.0,215.0,11.0,148.0,67.0,2.0,30.0,20.0,283.0,12.0,174.0,109.0,0.0,1.0,1.0,40.0,26.0,276.0,1.0,863.2,146.0,130.0,47.0,5.0,10.0,2.0,17.0,46.0,2.0,350.0
13.0,1.0,24.0,32.0,311.0,14.0,123.0,83.0,228.0,1.0,4.0,0.0,6.0,2.0,1.0,1.0,5.0,39.0,160.0,11.0,107.0,53.0,1.0,32.0,24.0,311.0,14.0,83.0,228.0,3.0,1.0,2.0,48.0,34.0,214.0,2.0,824.0,105.0,109.0,40.0,2.0,4.0,2.0,8.0,50.0,3.0,341.0
14.0,0.0,27.0,43.0,358.0,21.0,360.0,221.0,137.0,2.0,7.0,2.0,12.0,3.0,1.0,0.0,0.0,30.0,77.0,3.0,45.0,32.0,1.0,39.0,27.0,358.0,21.0,221.0,137.0,0.0,2.0,0.0,19.0,15.0,241.0,2.0,761.3,188.0,53.0,31.0,3.0,4.0,5.0,13.0,43.0,5.0,223.0
15.0,0.0,25.0,36.0,279.0,9.0,334.0,150.0,129.0,3.0,4.0,1.0,8.0,4.0,6.0,0.0,0.0,19.0,96.0,7.0,44.0,52.0,2.0,36.0,25.0,279.0,9.0,150.0,129.0,0.0,3.0,2.0,33.0,22.0,235.0,2.0,716.0,151.0,84.0,22.0,3.0,5.0,2.0,10.0,49.0,2.0,365.7
16.0,1.0,13.0,25.0,126.0,4.0,112.0,33.0,93.0,2.0,8.0,1.0,12.0,5.0,0.0,0.0,0.0,47.0,273.0,15.0,152.0,121.0,1.0,24.0,13.0,126.0,4.0,33.0,93.0,2.0,2.0,2.0,40.0,20.0,217.0,1.0,775.9999999999999,127.0,90.0,28.0,1.0,0.0,0.0,1.0,41.0,5.0,448.0
17.0,1.0,24.0,33.0,250.0,14.0,317.0,163.0,87.0,1.0,4.0,1.0,9.0,2.0,2.0,0.0,0.0,30.0,131.0,9.0,96.0,35.0,1.0,32.0,24.0,250.0,12.0,163.0,87.0,1.0,1.0,0.0,28.0,16.0,167.0,0.0,712.4000000000001,126.0,41.0,18.0,4.0,1.0,4.0,9.0,47.0,3.0,305.7
19.0,1.0,34.0,44.0,343.0,18.0,181.0,126.0,217.0,2.0,7.0,0.0,5.0,1.0,2.0,0.0,0.0,34.0,155.0,10.0,102.0,53.0,0.0,44.0,34.0,343.0,18.0,126.0,217.0,2.0,2.0,1.0,54.0,29.0,400.0,3.0,725.5,261.0,139.0,18.0,5.0,4.0,2.0,11.0,36.0,2.0,703.5
2.0,0.0,24.0,35.0,234.0,12.0,213.0,98.0,136.0,1.0,8.0,2.0,10.0,0.0,3.0,1.0,10.0,24.0,82.0,5.0,52.0,30.0,3.0,35.0,24.0,234.0,12.0,98.0,136.0,0.0,1.0,1.0,44.0,27.0,360.0,4.0,1025.2,170.0,190.0,18.0,2.0,4.0,0.0,6.0,44.0,12.0,364.3
20.0,0.0,30.0,46.0,348.0,20.0,388.0,197.0,151.0,3.0,8.0,0.0,11.0,0.0,1.0,0.0,0.0,48.0,176.0,15.0,103.0,73.0,1.0,46.0,30.0,348.0,20.0,197.0,151.0,4.0,3.0,0.0,31.0,16.0,299.0,3.0,923.9000000000001,166.0,133.0,38.0,6.0,5.0,4.0,16.0,35.0,2.0,408.59999999999997
21.0,1.0,19.0,38.0,229.0,11.0,393.0,154.0,75.0,1.0,8.0,4.0,16.0,5.0,7.0,0.0,0.0,18.0,62.0,2.0,36.0,26.0,0.0,36.0,19.0,229.0,11.0,154.0,75.0,2.0,1.0,1.0,37.0,23.0,296.0,0.0,712.8,159.0,137.0,11.0,2.0,4.0,1.0,7.0,67.0,11.0,291.1
3.0,0.0,14.0,26.0,133.0,4.0,333.0,85.0,48.0,2.0,9.0,2.0,0.0,1.0,4.0,0.0,0.0,19.0,89.0,7.0,48.0,41.0,1.0,24.0,14.0,133.0,4.0,85.0,48.0,0.0,2.0,1.0,35.0,27.0,251.0,2.0,843.9000000000001,119.0,132.0,24.0,2.0,0.0,1.0,3.0,52.0,9.0,196.2
4.0,1.0,23.0,35.0,274.0,13.0,279.0,93.0,181.0,1.0,4.0,0.0,4.0,2.0,6.0,0.0,0.0,40.0,175.0,10.0,78.0,97.0,2.0,35.0,23.0,274.0,12.0,93.0,181.0,5.0,1.0,1.0,30.0,18.0,178.0,1.0,688.2,81.0,97.0,9.0,5.0,3.0,2.0,10.0,44.0,3.0,329.6
5.0,1.0,34.0,44.0,341.0,18.0,285.0,174.0,167.0,4.0,4.0,0.0,6.0,5.0,3.0,0.0,0.0,23.0,97.0,7.0,53.0,44.0,1.0,44.0,34.0,341.0,18.0,174.0,167.0,1.0,4.0,2.0,57.0,23.0,327.0,3.0,626.3000000000001,237.0,90.0,26.0,3.0,2.0,1.0,7.0,67.0,4.0,467.4
6.0,1.0,24.0,35.0,340.0,14.0,323.0,168.0,172.0,2.0,9.0,2.0,2.0,1.0,0.0,1.0,4.0,38.0,173.0,15.0,96.0,77.0,1.0,35.0,24.0,340.0,14.0,168.0,172.0,1.0,2.0,2.0,37.0,23.0,352.0,4.0,693.5,163.0,189.0,17.0,10.0,2.0,0.0,12.0,49.0,3.0,333.8
7.0,0.0,25.0,36.0,277.0,15.0,235.0,145.0,132.0,2.0,6.0,1.0,3.0,1.0,1.0,1.0,6.0,27.0,108.0,5.0,61.0,47.0,0.0,35.0,25.0,277.0,15.0,145.0,132.0,1.0,2.0,2.0,53.0,28.0,398.0,1.0,836.2,266.0,132.0,18.0,4.0,3.0,2.0,9.0,40.0,4.0,642.0
8.0,0.0,29.0,45.0,324.0,15.0,343.0,192.0,132.0,1.0,8.0,2.0,1.0,13.0,2.0,1.0,8.0,25.0,76.0,6.0,57.0,19.0,3.0,41.0,29.0,324.0,15.0,192.0,132.0,1.0,1.0,1.0,43.0,25.0,331.0,0.0,761.6000000000001,197.0,134.0,26.0,12.0,3.0,3.0,18.0,48.0,4.0,442.2
