Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,23,37,224,8.0,249,138,86,4,4,2,4,13,4,1,2.0,23,114,3.0,22,92,4,36,23,224,8.0,138,86,1,4,1,33,18,176.0,1.0,88.0,88.0,17,6,1,1.0,9,54,1,229.89999999999998
2018,2,0,33,44,279,11.0,287,112,167,1,7,6,12,1,2,1,1.0,17,35,6.0,5,30,1,44,33,279,11.0,112,167,6,1,0,31,22,263.0,2.0,172.0,91.0,19,1,3,0.0,4,37,8,315.4
2018,3,0,25,29,297,16.0,181,136,161,0,2,4,12,1,2,0,0.0,27,114,4.0,50,64,4,29,25,297,16.0,136,161,2,0,1,39,23,372.0,2.0,229.0,143.0,29,8,8,3.0,19,53,5,513.0
2018,4,1,31,41,255,18.0,250,117,138,0,8,3,12,5,2,1,6.0,15,65,3.0,43,22,1,41,31,255,18.0,117,138,1,0,0,33,18,202.0,0.0,110.0,92.0,37,6,1,1.0,8,67,8,259.2
2018,5,0,23,37,383,15.0,400,250,133,2,5,1,10,6,2,0,0.0,16,50,3.0,24,26,0,37,23,383,15.0,250,133,0,2,2,31,18,209.0,1.0,114.0,95.0,19,2,1,1.0,4,39,4,326.1
2018,6,1,24,43,281,11.0,275,80,201,1,7,4,1,3,6,0,0.0,17,147,5.0,89,58,0,43,24,281,11.0,80,201,6,1,0,37,27,270.0,3.0,133.0,137.0,16,2,4,1.0,7,62,7,234.0
2018,7,0,27,38,399,15.0,277,188,211,3,6,4,12,5,3,1,7.0,20,61,6.0,23,38,3,37,27,399,15.0,188,211,1,3,0,37,31,374.0,1.0,229.0,145.0,19,7,2,3.0,12,50,7,307.1
2018,8,1,30,47,316,15.0,338,160,156,3,5,7,6,2,1,0,0.0,14,37,1.0,26,11,0,46,30,316,15.0,160,156,2,3,0,31,20,178.0,1.0,85.0,93.0,12,2,4,0.0,6,48,6,219.5
2018,10,0,19,31,188,10.0,273,107,81,2,4,1,3,8,1,0,0.0,23,97,3.0,62,35,5,31,19,188,10.0,107,81,1,2,0,36,28,263.0,1.0,169.0,94.0,14,6,3,0.0,9,49,3,268.2
2018,11,1,17,18,231,10.0,138,116,115,0,1,4,4,2,1,0,0.0,31,163,9.0,41,122,5,18,17,231,10.0,116,115,0,0,4,44,30,459.0,4.0,322.0,137.0,13,9,4,1.0,14,73,9,549.0
2018,12,0,26,37,297,14.0,337,164,133,2,8,2,2,4,2,0,0.0,18,126,4.0,17,109,7,37,26,297,14.0,164,133,2,2,0,28,20,236.0,1.0,111.0,125.0,12,3,3,3.0,9,46,12,154.0
2018,13,1,20,36,219,12.0,277,140,79,1,5,3,6,3,3,0,0.0,29,141,4.0,89,52,1,35,20,219,12.0,140,79,0,1,2,42,27,281.0,2.0,211.0,70.0,16,4,2,5.0,11,75,5,418.1
2018,14,0,14,27,197,11.0,180,68,129,0,5,2,9,0,4,0,0.0,34,227,6.0,168,59,2,26,14,197,11.0,68,129,0,0,3,27,14,183.0,1.0,59.0,124.0,15,8,2,5.0,16,54,4,201.2
2018,15,1,21,44,229,12.0,347,161,68,3,15,3,12,5,5,0,0.0,16,47,2.0,18,29,0,44,21,229,11.0,161,68,1,3,0,21,13,94.0,0.0,57.0,37.0,18,3,1,1.0,5,75,15,162.3
2018,16,0,25,33,309,17.0,224,148,161,0,4,0,11,4,3,0,0.0,29,83,4.0,68,15,1,31,25,309,17.0,148,161,3,0,1,47,33,368.0,2.0,245.0,123.0,22,3,4,1.0,8,45,6,453.6
2018,17,1,24,41,301,12.0,336,130,171,2,10,1,10,2,3,0,0.0,25,143,8.0,28,115,1,39,24,301,12.0,130,171,3,2,0,45,20,423.0,3.0,281.0,142.0,24,3,6,4.0,14,57,8,448.79999999999995
2019,1,0,33,48,323,16.0,314,162,161,0,10,1,11,4,5,2,11.0,17,151,8.0,105,46,4,44,33,323,16.0,162,161,2,0,0,32,25,405.0,4.0,232.0,173.0,30,1,2,0.0,3,45,5,301.1
2019,2,1,26,45,250,14.0,359,161,89,2,8,1,15,5,2,0,0.0,20,129,7.0,73,56,0,44,26,250,14.0,161,89,2,2,0,28,19,253.0,1.0,164.0,89.0,17,4,1,3.0,10,62,8,273.2
2019,3,0,23,36,336,11.0,353,187,149,2,8,5,14,13,8,3,21.0,19,72,5.0,54,18,0,36,23,336,11.0,187,149,5,2,1,36,23,380.0,3.0,295.0,85.0,56,9,6,4.0,19,64,3,482.6000000000001
2019,4,1,23,31,225,13.0,167,64,161,1,5,0,10,8,4,3,35.099999999999994,37,164,7.0,124,40,0,31,23,225,13.0,64,161,2,1,4,17,7,61.0,0.0,43.0,18.0,3,3,3,3.0,11,34,2,203.1
2019,5,1,21,38,182,8.0,390,98,84,0,4,4,16,3,4,1,8.0,20,64,5.0,31,33,0,36,21,182,8.0,98,84,0,0,0,25,23,314.0,2.0,119.0,195.0,13,6,0,3.0,9,69,18,152.9
2019,6,0,15,31,161,6.0,290,82,79,0,9,1,13,3,7,1,9.0,16,52,3.0,26,26,1,29,15,161,6.0,81,80,0,0,1,41,32,334.0,0.0,174.0,160.0,16,2,2,3.0,8,69,8,280.0
2019,7,1,22,35,223,14.0,265,143,80,5,4,8,14,6,5,4,35.2,22,107,5.0,90,17,2,35,22,223,14.0,143,80,2,5,0,21,14,104.0,0.0,46.0,58.0,21,2,0,2.0,4,58,11,112.3
2019,8,0,28,41,322,15.0,307,185,137,2,3,3,5,3,3,1,9.0,24,80,5.0,39,41,3,40,28,322,15.0,185,137,6,2,1,31,24,321.0,3.0,245.0,76.0,20,3,1,4.0,9,55,7,409.70000000000005
2019,9,1,26,41,210,11.0,240,81,129,2,9,5,10,4,6,4,24.0,22,100,6.0,91,9,0,41,26,210,11.0,81,129,0,2,1,34,22,257.0,3.0,124.0,133.0,18,5,5,0.0,10,60,2,351.5
2019,10,0,26,40,308,11.0,240,129,179,0,7,6,13,2,3,2,20.0,17,23,1.0,-3,26,1,38,26,308,11.0,129,179,4,0,0,27,19,230.0,1.0,105.0,125.0,34,2,6,2.0,10,54,3,216.4
2019,12,0,21,36,150,9.0,246,73,77,1,8,1,7,7,7,2,27.0,21,109,4.0,60,49,0,34,21,150,9.0,89,61,1,1,1,38,24,271.0,1.0,159.0,112.0,19,3,4,2.0,9,52,8,308.4
