Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,0.0,16.0,21.0,198.0,10.0,166.0,115.0,83.0,1.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,36.0,169.0,7.0,46.0,123.0,8.0,20.0,16.0,198.0,10.0,115.0,83.0,1.0,1.0,5.0,57.0,31.0,319.0,1.0,650.9000000000001,173.0,146.0,20.0,11.0,4.0,0.0,15.0,46.0,8.0,451.0
10.0,1.0,17.0,34.0,135.0,7.0,185.0,29.0,106.0,2.0,10.0,3.0,7.0,4.0,4.0,1.0,4.0,18.0,83.0,5.0,21.0,62.0,2.0,33.0,17.0,135.0,7.0,29.0,106.0,2.0,2.0,0.0,30.0,17.0,259.0,2.0,925.5,165.0,94.0,21.0,2.0,3.0,1.0,7.0,63.0,14.0,374.2
12.0,1.0,26.0,45.0,276.0,12.0,365.0,146.0,130.0,1.0,10.0,2.0,24.0,3.0,10.0,3.0,24.900000000000002,15.0,74.0,4.0,62.0,12.0,0.0,41.0,26.0,276.0,12.0,146.0,130.0,2.0,1.0,0.0,32.0,20.0,283.0,2.0,869.8000000000001,174.0,109.0,8.0,1.0,4.0,0.0,5.0,61.0,7.0,313.6
13.0,0.0,17.0,30.0,128.0,8.0,250.0,56.0,72.0,4.0,4.0,2.0,16.0,1.0,0.0,1.0,3.0,33.0,156.0,6.0,76.0,80.0,0.0,30.0,17.0,128.0,8.0,56.0,72.0,0.0,4.0,1.0,32.0,19.0,275.0,2.0,808.9000000000001,169.0,106.0,25.0,3.0,0.0,3.0,6.0,46.0,8.0,343.3
14.0,0.0,16.0,25.0,170.0,9.0,186.0,111.0,59.0,0.0,5.0,0.0,6.0,4.0,0.0,0.0,0.0,28.0,78.0,5.0,-7.0,85.0,4.0,24.0,16.0,170.0,9.0,111.0,59.0,1.0,0.0,2.0,37.0,19.0,225.0,0.0,672.9,147.0,78.0,18.0,10.0,7.0,3.0,21.0,61.0,10.0,325.59999999999997
15.0,1.0,24.0,38.0,253.0,11.0,398.0,183.0,70.0,1.0,5.0,3.0,5.0,9.0,3.0,4.0,32.0,31.0,90.0,7.0,24.0,66.0,4.0,35.0,24.0,253.0,11.0,183.0,70.0,1.0,1.0,0.0,30.0,25.0,337.0,2.0,1019.9000000000001,213.0,124.0,22.0,6.0,3.0,6.0,15.0,41.0,4.0,269.2
16.0,1.0,24.0,35.0,341.0,18.0,371.0,211.0,130.0,1.0,5.0,2.0,11.0,5.0,0.0,1.0,1.0,20.0,47.0,4.0,22.0,25.0,0.0,34.0,24.0,341.0,18.0,211.0,130.0,1.0,1.0,0.0,56.0,38.0,491.0,3.0,973.6,224.0,267.0,48.0,6.0,4.0,4.0,14.0,63.0,8.0,451.0
17.0,0.0,16.0,28.0,167.0,8.0,306.0,126.0,41.0,2.0,6.0,4.0,15.0,5.0,1.0,1.0,28.0,23.0,104.0,4.0,92.0,12.0,0.0,28.0,16.0,167.0,8.0,126.0,41.0,2.0,2.0,0.0,32.0,23.0,250.0,4.0,805.0,163.0,87.0,7.0,1.0,2.0,1.0,4.0,48.0,5.0,314.2
2.0,1.0,25.0,41.0,334.0,17.0,397.0,161.0,173.0,3.0,8.0,3.0,9.0,6.0,0.0,1.0,1.0,19.0,42.0,3.0,2.0,40.0,0.0,41.0,25.0,334.0,17.0,161.0,173.0,4.0,3.0,0.0,25.0,19.0,201.0,3.0,845.7,85.0,116.0,5.0,3.0,2.0,4.0,9.0,40.0,6.0,170.60000000000002
3.0,0.0,15.0,31.0,169.0,9.0,202.0,61.0,108.0,0.0,8.0,2.0,10.0,6.0,3.0,0.0,0.0,30.0,107.0,5.0,48.0,59.0,0.0,30.0,15.0,169.0,9.0,61.0,108.0,0.0,0.0,0.0,36.0,21.0,227.0,0.0,997.9000000000001,165.0,62.0,48.0,5.0,5.0,4.0,15.0,63.0,8.0,416.29999999999995
