Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,0,20,38,220,13.0,259,105,115,3,11,0,7,4,1,1,7.0,29,116,4.0,51,65,1,38,20,220,12.0,105,115,0,3,2,31,17,247.0,2.0,157.0,90.0,9,0,1,1.0,2,57,7,347.29999999999995
2018,2,1,15,22,191,7.0,122,62,129,1,3,1,13,2,1,0,0.0,34,100,7.0,23,77,5,21,15,191,7.0,62,129,5,1,1,33,23,338.0,3.0,260.0,78.0,20,15,6,4.0,25,60,6,457.30000000000007
2018,3,0,13,21,108,6.0,89,41,67,2,4,3,10,3,1,5,30.0,35,150,7.0,46,104,9,21,13,108,6.0,41,67,3,2,0,33,20,146.0,0.0,46.0,100.0,21,8,2,3.0,13,44,10,142.3
2018,4,1,30,43,344,16.0,421,175,169,3,6,3,13,3,3,3,26.099999999999998,22,70,3.0,39,31,2,42,30,344,16.0,175,169,2,3,0,53,36,425.0,1.0,268.0,157.0,23,0,6,4.0,10,67,6,481.59999999999997
2018,5,0,14,26,129,8.0,180,63,66,1,6,2,12,4,3,2,10.0,25,100,6.0,44,56,1,25,14,129,8.0,63,66,0,1,1,18,10,76.0,0.0,25.0,51.0,11,0,0,1.0,1,51,7,160.2
2018,6,1,10,15,117,5.0,175,73,44,0,4,11,13,11,0,2,25.0,14,55,1.0,38,17,0,14,10,117,5.0,73,44,0,0,1,40,28,275.0,1.0,198.0,77.0,17,4,1,0.0,5,66,4,407.6
2018,7,0,24,32,237,16.0,149,100,137,3,2,2,3,1,1,4,25.2,33,164,7.0,98,66,9,32,24,237,16.0,100,137,3,3,0,27,20,310.0,2.0,166.0,144.0,28,2,1,2.0,6,35,5,223.3
2018,9,0,21,29,240,11.0,216,117,123,2,3,4,4,12,1,2,12.0,36,125,11.0,74,51,4,27,21,240,11.0,117,123,1,2,1,32,21,243.0,2.0,107.0,136.0,12,9,2,5.0,16,49,4,217.40000000000003
2018,10,1,17,25,249,11.0,280,163,86,0,7,2,11,2,0,1,1.0,36,150,11.0,118,32,1,24,17,249,11.0,163,86,1,0,0,43,23,264.0,0.0,140.0,124.0,35,2,2,3.0,8,48,5,404.2
2018,11,0,21,29,203,10.0,207,130,73,0,6,5,7,3,2,3,18.0,25,87,4.0,27,60,4,29,21,203,10.0,130,73,0,0,0,32,24,283.0,3.0,168.0,115.0,12,4,0,0.0,4,53,4,253.0
2018,12,0,22,23,303,10.0,114,113,190,0,1,6,6,8,1,5,33.0,23,105,3.0,67,38,5,23,22,303,9.0,113,190,5,0,0,24,20,234.0,2.0,146.0,88.0,20,3,0,4.0,9,69,9,213.3
2018,13,1,20,35,282,11.0,364,169,113,2,7,3,11,2,0,3,44.099999999999994,22,130,6.0,77,53,2,33,20,282,11.0,169,113,0,2,1,29,16,123.0,0.0,56.0,67.0,39,1,0,2.0,3,67,10,249.89999999999998
2018,14,1,18,24,162,9.0,158,62,100,1,5,1,5,2,0,1,12.0,32,264,10.0,127,137,11,24,18,162,9.0,62,100,3,1,0,44,26,248.0,1.0,178.0,70.0,22,15,3,4.0,23,57,1,414.0
2018,15,0,13,21,94,6.0,130,57,37,1,4,1,11,4,1,0,0.0,45,215,14.0,80,135,2,20,13,94,6.0,57,37,0,1,1,46,23,244.0,0.0,189.0,55.0,22,5,5,3.0,13,45,8,375.4
