Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,20,35,132,5.0,285,74,58,4,6,2,7,5,2,0,0.0,27,113,7.0,39,74,3,35,20,132,6.0,74,58,1,4,1,47,22,271.0,0.0,663.1,213.0,58.0,20,4,6,4.0,16,51,5,493.9
2018,2,0,35,48,334,14.0,323,158,176,1,4,3,8,5,9,1,4.0,24,91,8.0,61,30,1,47,35,339,14.0,158,181,2,1,1,31,25,389.0,4.0,705.9,241.0,148.0,16,3,6,2.0,11,59,8,316.0
2018,3,1,25,37,255,12.0,288,163,92,2,4,5,9,6,1,2,10.0,35,152,10.0,65,87,3,37,25,255,12.0,163,92,0,2,0,37,21,155.0,1.0,519.8000000000001,95.0,60.0,9,7,4,2.0,14,39,2,281.9
2018,4,0,33,50,348,18.0,375,203,145,4,11,4,19,0,6,2,8.0,22,117,6.0,50,67,1,50,33,348,18.0,199,149,0,4,1,44,31,362.0,2.0,681.2,196.0,166.0,27,5,3,3.0,11,59,7,530.0
2018,5,1,24,35,311,15.0,307,188,123,1,5,3,10,2,0,4,23.2,17,81,3.0,70,11,0,32,24,311,15.0,188,123,2,1,0,37,29,315.0,1.0,863.0,164.0,151.0,17,6,5,1.0,12,49,5,279.3
2018,6,0,26,36,278,15.0,234,134,144,1,2,1,10,1,4,2,14.0,31,108,5.0,62,46,1,36,26,278,15.0,134,144,0,1,1,43,24,260.0,0.0,582.4,85.0,175.0,4,3,6,4.0,13,60,14,281.0
2018,7,1,30,37,310,14.0,300,182,128,0,4,4,16,3,3,0,0.0,24,58,6.0,8,50,2,37,30,310,14.0,182,128,2,0,0,38,24,291.0,1.0,780.1,161.0,130.0,7,5,4,2.0,12,49,11,318.6
2018,8,0,21,30,286,15.0,242,120,166,0,5,4,6,6,2,3,30.900000000000002,28,133,7.0,92,41,2,30,21,286,15.0,120,166,1,0,0,44,27,323.0,1.0,670.5,165.0,158.0,13,3,2,4.0,10,41,3,293.3
2018,10,1,32,44,360,20.0,379,230,130,1,2,2,10,6,4,1,5.0,16,71,3.0,33,38,1,43,32,360,20.0,230,130,2,1,0,35,27,265.0,1.0,771.7,118.0,147.0,11,7,5,4.0,17,63,6,205.20000000000002
2018,11,0,19,33,156,9.0,315,84,72,0,9,3,9,4,2,0,0.0,12,58,2.0,46,12,0,33,19,156,9.0,84,72,1,0,0,38,28,453.0,7.0,1211.9,313.0,140.0,10,1,1,0.0,2,54,10,465.40000000000003
2018,12,1,20,28,236,11.0,154,111,125,3,2,3,9,3,3,0,0.0,29,127,6.0,32,95,2,28,20,236,11.0,111,125,5,3,1,43,28,354.0,1.0,818.3000000000001,208.0,146.0,3,4,2,2.0,8,50,8,437.8
2018,13,1,27,39,306,18.0,204,116,190,0,8,0,19,8,2,0,0.0,33,130,8.0,94,36,3,38,27,306,18.0,116,190,3,0,1,24,16,137.0,0.0,683.3,57.0,80.0,7,7,5,3.0,15,36,7,164.2
2018,14,0,22,32,228,12.0,276,140,88,3,5,2,7,5,4,2,2.0,14,34,1.0,-21,55,1,32,22,228,12.0,140,88,0,3,2,57,45,485.0,3.0,1062.9,237.0,248.0,13,8,6,3.0,18,91,7,457.20000000000005
2018,15,0,24,31,270,9.0,234,149,121,2,1,0,4,2,2,1,2.0,30,111,7.0,64,47,1,31,24,270,9.0,149,121,2,2,1,54,35,339.0,0.0,760.8000000000001,151.0,188.0,9,2,6,2.0,10,61,4,374.9
2018,16,1,35,50,471,18.0,351,256,215,1,7,1,7,6,3,0,0.0,22,57,4.0,48,9,0,49,35,471,18.0,256,215,4,1,0,44,31,361.0,2.0,745.5,290.0,71.0,9,5,4,4.0,14,49,2,460.3
2018,17,0,29,34,243,15.0,112,76,167,0,3,3,13,1,0,0,0.0,34,129,10.0,78,51,0,34,29,243,15.0,76,167,2,0,1,29,15,120.0,0.0,437.20000000000005,76.0,44.0,7,5,0,4.0,9,33,3,274.2
2018,18,0,25,40,266,17.0,322,161,105,0,5,1,10,2,4,0,0.0,23,42,2.0,13,29,2,40,25,266,16.0,161,105,0,0,0,41,26,303.0,1.0,754.9,228.0,75.0,6,2,3,2.0,8,49,6,436.20000000000005
2018,19,0,18,31,201,11.0,313,114,87,1,8,0,8,4,4,0,0.0,16,49,2.0,25,24,0,31,18,201,11.0,114,87,0,1,1,41,32,361.0,2.0,866.1,215.0,146.0,9,3,2,2.0,8,69,10,419.30000000000007
2019,1,1,28,39,313,13.0,343,219,94,2,6,1,12,2,3,0,0.0,31,123,9.0,56,67,0,39,28,313,13.0,219,94,1,2,0,43,31,380.0,3.0,915.3,194.0,186.0,12,9,7,1.0,17,45,6,323.6
2019,2,0,28,48,255,11.0,432,175,80,4,9,3,5,8,4,0,0.0,21,49,5.0,30,19,1,47,28,255,11.0,175,80,1,4,3,47,29,366.0,3.0,939.5000000000001,202.0,164.0,22,4,5,1.0,10,43,7,493.2
2019,3,1,19,36,259,11.0,405,182,77,4,5,3,5,5,3,3,27.900000000000002,30,127,6.0,38,89,6,36,19,259,11.0,182,77,2,4,0,33,18,201.0,1.0,733.5,151.0,50.0,16,3,4,0.0,7,40,8,283.29999999999995
2019,4,0,16,27,160,12.0,184,78,82,0,9,0,16,3,2,2,11.0,33,176,10.0,96,80,2,27,16,160,12.0,78,82,0,0,1,50,32,407.0,2.0,865.1999999999999,202.0,205.0,10,8,1,1.0,10,61,10,363.2
2019,5,1,17,29,189,9.0,202,114,75,2,6,1,17,1,3,1,5.0,29,84,5.0,34,50,0,28,17,189,9.0,114,75,1,2,2,25,15,120.0,0.0,710.6,38.0,82.0,32,4,7,10.0,21,50,5,127.79999999999998
2019,6,0,26,41,306,15.0,375,159,147,1,8,2,12,4,1,1,7.0,22,108,3.0,68,40,0,41,26,306,15.0,159,147,0,1,1,27,23,333.0,4.0,879.5,209.0,124.0,15,0,0,1.0,1,47,6,350.7
2019,7,0,16,26,191,9.0,323,124,67,1,3,3,7,5,1,2,11.0,28,115,5.0,65,50,0,25,16,191,9.0,124,67,0,1,1,26,21,250.0,0.0,854.2,166.0,84.0,15,0,1,3.0,4,57,12,225.9
2019,8,0,17,24,172,10.0,121,65,107,0,3,3,9,2,2,3,26.099999999999998,41,218,10.0,132,86,1,24,17,172,10.0,65,107,1,0,0,26,14,120.0,1.0,428.30000000000007,85.0,35.0,12,3,5,4.0,13,40,7,242.7
2019,9,1,26,39,239,16.0,303,116,123,5,3,4,12,2,1,2,14.0,35,146,7.0,106,40,0,39,26,239,16.0,116,123,2,5,0,21,10,125.0,0.0,519.7,74.0,51.0,13,2,1,3.0,7,28,5,225.3
2019,11,1,20,40,214,11.0,405,140,74,2,9,5,16,3,7,3,17.1,21,81,5.0,33,48,2,38,20,214,11.0,140,74,6,2,0,45,26,231.0,1.0,688.7,97.0,134.0,16,0,5,1.0,6,49,8,315.8
2019,12,1,33,45,256,16.0,280,159,97,0,8,3,15,6,5,3,24.0,23,106,5.0,48,58,7,45,33,256,16.0,159,97,0,0,1,24,14,233.0,2.0,624.4,170.0,63.0,28,2,2,6.0,13,46,6,391.1
2019,13,0,28,46,310,19.0,506,207,103,1,12,2,7,0,4,0,0.0,19,92,3.0,49,43,1,45,28,310,19.0,207,103,1,1,1,39,29,373.0,4.0,945.1000000000001,256.0,117.0,16,0,7,3.0,11,50,2,357.4
2019,14,1,33,50,325,16.0,314,154,171,3,7,3,18,6,7,1,4.0,32,118,9.0,67,51,4,50,33,325,16.0,154,171,3,3,0,28,15,203.0,2.0,636.1,120.0,83.0,8,1,3,2.0,6,35,7,259.29999999999995
2019,15,0,30,43,266,15.0,209,76,190,1,5,2,10,16,4,2,7.0,28,157,9.0,115,42,3,40,30,266,15.0,76,190,3,1,0,26,18,242.0,2.0,1002.9000000000001,101.0,141.0,12,13,0,1.0,14,41,6,185.2
2019,16,1,31,40,319,18.0,203,122,197,1,4,1,8,1,3,3,9.0,30,118,4.0,57,61,4,40,31,319,18.0,122,197,2,1,0,42,24,259.0,0.0,754.2,185.0,74.0,5,1,2,2.0,5,48,2,445.6
2019,17,0,23,40,289,14.0,301,154,135,2,9,1,15,3,3,2,13.0,31,121,9.0,40,81,0,40,23,289,14.0,154,135,0,2,1,57,35,385.0,1.0,862.4,305.0,80.0,20,5,6,4.0,15,59,0,667.8999999999999
2019,18,1,19,28,177,9.0,170,94,83,1,3,7,10,2,2,2,7.0,26,120,7.0,45,75,3,25,19,177,9.0,94,83,0,1,0,29,18,325.0,1.0,699.8000000000001,192.0,133.0,29,1,10,1.0,12,46,4,326.29999999999995
