Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,0.0,23.0,41.0,335.0,17.0,382.0,122.0,213.0,3.0,9.0,4.0,20.0,7.0,1.0,1.0,15.0,35.0,159.0,7.0,98.0,61.0,1.0,41.0,23.0,335.0,17.0,122.0,213.0,0.0,3.0,1.0,37.0,14.0,196.0,1.0,797.5000000000001,125.0,71.0,22.0,14.0,4.0,7.0,25.0,68.0,9.0,436.99999999999994
10.0,1.0,23.0,27.0,325.0,14.0,121.0,100.0,225.0,0.0,2.0,1.0,9.0,3.0,0.0,2.0,28.0,30.0,138.0,10.0,80.0,58.0,2.0,27.0,23.0,325.0,14.0,100.0,225.0,1.0,0.0,1.0,28.0,23.0,193.0,2.0,939.0,87.0,106.0,23.0,5.0,0.0,5.0,10.0,44.0,4.0,145.4
11.0,0.0,27.0,47.0,314.0,10.0,387.0,175.0,139.0,4.0,8.0,2.0,1.0,2.0,4.0,0.0,0.0,11.0,26.0,3.0,6.0,20.0,0.0,45.0,27.0,314.0,10.0,175.0,139.0,0.0,4.0,0.0,19.0,9.0,78.0,0.0,759.0000000000001,47.0,31.0,18.0,3.0,1.0,6.0,10.0,60.0,4.0,199.2
12.0,0.0,42.0,58.0,464.0,19.0,409.0,224.0,240.0,3.0,10.0,2.0,12.0,2.0,3.0,2.0,18.0,16.0,75.0,4.0,58.0,17.0,2.0,58.0,42.0,464.0,19.0,224.0,240.0,5.0,3.0,0.0,34.0,20.0,271.0,2.0,835.8,205.0,66.0,47.0,3.0,2.0,2.0,8.0,37.0,1.0,375.6
13.0,1.0,29.0,45.0,281.0,15.0,376.0,173.0,108.0,2.0,8.0,1.0,2.0,5.0,1.0,0.0,0.0,17.0,65.0,5.0,47.0,18.0,0.0,45.0,29.0,281.0,15.0,173.0,108.0,1.0,2.0,0.0,38.0,26.0,297.0,3.0,918.3000000000001,192.0,105.0,25.0,5.0,7.0,2.0,14.0,63.0,7.0,281.9
14.0,0.0,29.0,38.0,306.0,17.0,181.0,95.0,211.0,0.0,3.0,1.0,7.0,1.0,2.0,2.0,15.0,19.0,40.0,3.0,28.0,12.0,0.0,37.0,29.0,306.0,17.0,95.0,211.0,7.0,0.0,0.0,33.0,26.0,348.0,3.0,1011.1,264.0,84.0,18.0,4.0,1.0,3.0,8.0,50.0,5.0,317.8
15.0,1.0,22.0,34.0,235.0,13.0,369.0,151.0,84.0,0.0,7.0,2.0,7.0,4.0,5.0,0.0,0.0,25.0,158.0,9.0,91.0,67.0,0.0,33.0,22.0,235.0,13.0,151.0,84.0,1.0,0.0,1.0,38.0,26.0,291.0,1.0,876.9000000000001,157.0,134.0,9.0,4.0,6.0,1.0,11.0,59.0,1.0,362.29999999999995
16.0,0.0,33.0,50.0,380.0,21.0,461.0,210.0,170.0,0.0,14.0,3.0,17.0,1.0,3.0,1.0,5.0,18.0,65.0,2.0,28.0,37.0,2.0,49.0,33.0,380.0,21.0,210.0,170.0,1.0,0.0,1.0,41.0,24.0,326.0,1.0,750.4000000000001,165.0,161.0,19.0,1.0,3.0,2.0,6.0,42.0,7.0,423.8
17.0,1.0,31.0,45.0,287.0,13.0,258.0,75.0,212.0,1.0,7.0,1.0,8.0,3.0,6.0,1.0,5.0,20.0,65.0,5.0,26.0,39.0,0.0,45.0,31.0,287.0,13.0,75.0,212.0,4.0,1.0,0.0,24.0,13.0,105.0,0.0,902.3000000000001,71.0,34.0,11.0,0.0,4.0,4.0,9.0,47.0,3.0,228.10000000000002
2.0,1.0,39.0,60.0,452.0,25.0,537.0,186.0,266.0,0.0,18.0,1.0,9.0,8.0,2.0,2.0,9.0,13.0,33.0,2.0,4.0,29.0,1.0,60.0,39.0,452.0,25.0,186.0,266.0,2.0,0.0,0.0,30.0,25.0,355.0,7.0,1389.0,226.0,129.0,25.0,2.0,4.0,1.0,7.0,44.0,10.0,324.2
