Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,1.0,29.0,40.0,303.0,11.0,209.0,114.0,189.0,1.0,4.0,1.0,7.0,8.0,0.0,1.0,6.0,23.0,95.0,7.0,26.0,69.0,3.0,38.0,29.0,303.0,11.0,114.0,189.0,1.0,1.0,0.0,36.0,19.0,245.0,2.0,802.7,145.0,100.0,8.0,2.0,1.0,1.0,4.0,50.0,3.0,408.2
10.0,1.0,24.0,37.0,243.0,12.0,208.0,117.0,126.0,3.0,5.0,4.0,7.0,5.0,2.0,1.0,3.0,22.0,114.0,3.0,90.0,24.0,0.0,35.0,24.0,243.0,12.0,117.0,126.0,3.0,3.0,1.0,28.0,19.0,246.0,2.0,997.1000000000001,121.0,125.0,13.0,2.0,4.0,1.0,7.0,51.0,9.0,285.9
11.0,0.0,19.0,31.0,192.0,9.0,235.0,93.0,99.0,3.0,3.0,4.0,13.0,4.0,3.0,0.0,0.0,33.0,152.0,9.0,77.0,75.0,2.0,28.0,19.0,192.0,9.0,93.0,99.0,1.0,3.0,1.0,21.0,10.0,153.0,4.0,635.5,48.0,105.0,4.0,4.0,0.0,1.0,5.0,38.0,4.0,163.3
12.0,0.0,16.0,34.0,194.0,9.0,305.0,91.0,103.0,3.0,9.0,3.0,13.0,7.0,3.0,0.0,0.0,19.0,67.0,4.0,36.0,31.0,0.0,33.0,16.0,194.0,9.0,91.0,103.0,2.0,3.0,1.0,24.0,15.0,205.0,0.0,506.0,105.0,100.0,14.0,3.0,0.0,1.0,4.0,56.0,4.0,240.79999999999998
13.0,1.0,29.0,38.0,285.0,16.0,317.0,173.0,112.0,1.0,5.0,3.0,9.0,4.0,1.0,0.0,0.0,28.0,171.0,10.0,88.0,83.0,1.0,37.0,29.0,285.0,16.0,173.0,112.0,1.0,1.0,0.0,42.0,27.0,346.0,5.0,876.7,239.0,107.0,1.0,9.0,4.0,0.0,13.0,49.0,6.0,596.0
14.0,1.0,25.0,34.0,322.0,17.0,301.0,230.0,92.0,2.0,2.0,4.0,14.0,4.0,1.0,0.0,0.0,25.0,55.0,3.0,33.0,22.0,1.0,32.0,25.0,322.0,17.0,230.0,92.0,2.0,2.0,1.0,40.0,31.0,269.0,3.0,1156.1000000000001,105.0,164.0,11.0,2.0,2.0,1.0,5.0,52.0,7.0,198.89999999999998
15.0,0.0,21.0,38.0,263.0,12.0,316.0,161.0,102.0,1.0,6.0,5.0,5.0,1.0,1.0,0.0,0.0,16.0,68.0,1.0,37.0,31.0,1.0,32.0,21.0,263.0,12.0,161.0,102.0,1.0,1.0,1.0,36.0,15.0,157.0,1.0,687.8000000000002,53.0,104.0,12.0,3.0,3.0,1.0,7.0,57.0,3.0,425.3
16.0,1.0,19.0,26.0,167.0,8.0,170.0,102.0,65.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,30.0,114.0,6.0,60.0,54.0,6.0,26.0,19.0,167.0,8.0,102.0,65.0,0.0,1.0,2.0,43.0,28.0,243.0,2.0,778.0,160.0,83.0,15.0,10.0,1.0,1.0,12.0,61.0,12.0,496.09999999999997
17.0,0.0,24.0,33.0,185.0,11.0,208.0,126.0,59.0,0.0,3.0,3.0,8.0,3.0,0.0,0.0,0.0,29.0,127.0,9.0,42.0,85.0,7.0,32.0,24.0,185.0,11.0,126.0,59.0,0.0,0.0,1.0,30.0,17.0,311.0,2.0,774.2,143.0,168.0,9.0,4.0,0.0,0.0,4.0,44.0,7.0,330.2
2.0,0.0,29.0,32.0,288.0,16.0,185.0,166.0,122.0,1.0,1.0,1.0,9.0,2.0,0.0,0.0,0.0,27.0,92.0,3.0,10.0,82.0,2.0,32.0,29.0,288.0,16.0,166.0,122.0,2.0,1.0,1.0,37.0,21.0,244.0,0.0,711.9000000000001,166.0,78.0,15.0,5.0,2.0,1.0,8.0,40.0,9.0,372.1
3.0,0.0,27.0,39.0,345.0,17.0,233.0,113.0,232.0,4.0,6.0,3.0,9.0,6.0,3.0,0.0,0.0,32.0,109.0,5.0,30.0,79.0,0.0,38.0,27.0,345.0,17.0,113.0,232.0,4.0,4.0,0.0,25.0,19.0,314.0,2.0,1097.1999999999998,234.0,80.0,9.0,0.0,2.0,1.0,3.0,29.0,2.0,315.19999999999993
4.0,1.0,35.0,58.0,437.0,20.0,474.0,243.0,194.0,8.0,8.0,3.0,24.0,11.0,5.0,0.0,0.0,29.0,139.0,6.0,55.0,84.0,2.0,56.0,35.0,437.0,20.0,243.0,194.0,0.0,8.0,2.0,46.0,22.0,322.0,2.0,804.8000000000001,180.0,142.0,15.0,7.0,2.0,2.0,11.0,64.0,17.0,507.9
