Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,0,18,33,233,13.0,330,132,101,2,7,1,6,2,1,0,0.0,26,140,8.0,68,72,1,33,18,233,13.0,132,101,1,2,3,40,31,344.0,0.0,132.0,212.0,15,9,0,1.0,10,66,11,215.0
2018,2,1,24,32,354,14.0,302,205,149,0,2,2,13,5,3,0,0.0,33,90,8.0,30,60,2,31,24,354,14.0,205,149,1,0,1,26,16,85.0,0.0,41.0,44.0,12,3,4,1.0,8,34,3,132.8
2018,3,1,29,36,354,18.0,212,165,189,1,3,1,4,0,2,1,16.0,35,171,12.0,114,57,0,35,29,354,18.0,165,189,3,1,0,32,19,210.0,1.0,118.0,92.0,9,8,3,2.0,13,47,13,279.7
2018,4,1,26,34,465,19.0,308,234,231,0,2,1,11,5,1,1,8.0,20,100,4.0,57,43,0,33,26,465,19.0,233,232,2,0,0,49,37,422.0,3.0,226.0,196.0,31,11,4,4.0,19,60,12,300.4
2018,5,0,23,32,321,17.0,271,139,182,1,5,1,8,4,2,2,15.0,30,155,9.0,75,80,2,32,23,321,16.0,139,182,1,1,0,19,13,198.0,3.0,139.0,59.0,5,5,1,2.0,8,60,4,213.1
2018,6,0,14,28,201,9.0,230,88,113,1,9,5,9,1,0,2,16.0,39,270,13.0,173,97,8,28,14,201,9.0,88,113,3,1,1,41,28,344.0,2.0,214.0,130.0,46,5,3,2.0,10,43,2,397.0
2018,7,0,18,24,202,10.0,224,136,66,2,3,1,10,2,1,1,5.0,36,146,10.0,83,63,4,24,18,202,9.0,136,66,1,2,2,30,18,193.0,1.0,93.0,100.0,7,2,2,7.0,11,44,2,274.9
2018,8,1,20,36,307,18.0,406,185,122,1,4,5,15,12,3,3,12.0,34,135,4.0,70,65,2,32,20,307,18.0,185,122,1,1,0,31,18,286.0,1.0,170.0,116.0,17,7,5,3.0,15,45,4,281.9
2018,9,0,28,40,391,17.0,351,220,171,0,6,0,7,8,4,3,17.1,19,92,5.0,38,54,0,40,28,391,17.0,220,171,1,0,0,40,28,371.0,4.0,205.0,166.0,23,5,4,0.0,9,51,8,408.0
2018,10,1,28,39,318,17.0,271,171,147,1,6,2,9,2,2,1,4.0,23,149,8.0,100,49,1,35,28,318,17.0,171,147,1,1,0,24,19,187.0,3.0,123.0,64.0,8,6,3,4.0,14,61,12,203.0
2018,11,1,31,49,413,21.0,486,225,188,1,9,5,17,13,3,2,8.0,21,76,4.0,57,19,1,46,31,413,21.0,225,188,2,1,3,45,32,468.0,5.0,257.0,211.0,6,18,1,3.0,22,58,2,465.0
