Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,26,38,260,12.0,256,156,104,2,4,2,4,10,1,1,2.0,34,117,11.0,39,78,6,37,26,260,13.0,156,104,1,2,2,37,11,98.0,0.0,65.0,33.0,37,12,3,6.0,21,47,6,419.2
2018,2,0,32,55,376,20.0,509,229,147,3,8,4,18,7,6,1,2.0,22,66,5.0,36,30,0,53,32,376,20.0,229,147,4,3,0,40,23,257.0,4.0,125.0,132.0,28,3,4,0.0,7,53,6,273.3
2018,3,1,25,40,277,13.0,365,180,97,3,6,2,15,3,1,0,0.0,28,77,5.0,44,33,2,38,25,277,13.0,180,97,0,3,1,36,24,210.0,0.0,133.0,77.0,25,6,2,3.0,12,54,10,196.2
2018,4,0,28,42,363,17.0,387,208,155,2,10,2,10,1,0,0,0.0,30,96,6.0,51,45,0,40,28,363,17.0,208,155,3,2,1,45,27,282.0,1.0,150.0,132.0,29,1,1,1.0,3,44,7,358.29999999999995
2018,5,0,29,57,298,13.0,459,122,176,4,13,2,12,13,5,1,11.0,25,116,9.0,42,74,3,57,29,298,14.0,122,176,7,4,1,49,30,369.0,1.0,204.0,165.0,53,13,3,5.0,22,65,14,489.3
2018,6,0,25,37,238,13.0,343,165,73,1,5,0,11,4,1,1,2.0,35,123,9.0,46,77,2,37,25,238,13.0,165,73,0,1,0,17,13,138.0,0.0,84.0,54.0,21,10,0,11.0,21,38,2,177.1
2018,7,1,24,40,284,14.0,337,173,111,2,5,1,8,6,1,0,0.0,23,77,6.0,44,33,0,37,24,284,15.0,173,111,0,2,0,28,21,212.0,2.0,146.0,66.0,29,2,2,1.0,5,58,8,184.70000000000002
2018,8,0,26,44,238,11.0,419,139,99,3,11,2,17,3,4,2,19.0,18,101,8.0,55,46,1,44,26,238,11.0,139,99,0,3,0,27,10,237.0,2.0,166.0,71.0,13,4,3,0.0,7,61,7,203.70000000000002
2018,9,1,24,38,218,10.0,289,141,77,2,5,2,22,4,3,0,0.0,16,61,5.0,41,20,1,37,24,218,10.0,141,77,4,2,0,47,29,292.0,2.0,144.0,148.0,38,6,5,1.0,12,60,7,293.1
2018,11,1,13,19,150,7.0,159,96,54,0,2,3,1,10,2,3,9.0,53,267,15.0,172,95,3,18,13,150,7.0,96,54,0,0,0,36,18,190.0,2.0,106.0,84.0,23,5,3,1.0,10,39,1,380.29999999999995
2018,12,1,14,25,178,9.0,210,91,87,1,4,1,7,3,0,1,2.0,43,242,13.0,146,96,2,24,14,178,9.0,91,87,0,1,0,37,18,233.0,2.0,145.0,88.0,36,8,3,3.0,14,38,3,364.5
2018,13,0,15,26,167,9.0,250,100,67,3,6,2,6,6,0,2,21.0,49,207,12.0,138,69,2,25,15,167,9.0,100,67,0,3,0,24,15,115.0,1.0,82.0,33.0,57,2,0,3.0,5,30,2,303.4
2018,14,0,13,26,147,12.0,307,108,39,1,8,2,11,5,1,2,-2.0,40,194,10.0,119,75,3,26,13,147,12.0,108,39,0,1,1,49,36,344.0,3.0,134.0,210.0,41,10,12,2.0,25,56,10,358.6
2018,15,1,14,23,131,7.0,137,82,49,2,2,2,10,1,3,4,48.0,49,242,16.0,125,117,4,21,14,131,7.0,82,49,1,2,1,26,12,157.0,0.0,110.0,47.0,4,2,2,1.0,6,36,0,310.0
2018,16,0,12,22,204,8.0,188,85,119,0,5,3,5,2,1,3,6.0,35,159,6.0,76,83,1,22,12,204,8.0,85,119,2,0,2,37,23,181.0,0.0,65.0,116.0,52,2,3,4.0,10,46,10,221.89999999999998
2018,17,1,14,24,179,6.0,192,88,91,0,7,2,14,3,2,2,26.0,47,296,16.0,141,155,2,23,14,179,6.0,88,91,2,0,3,46,27,463.0,4.0,333.0,130.0,81,8,1,0.0,9,36,12,570.5
2018,18,1,14,29,194,7.0,250,99,95,0,7,7,3,4,3,4,46.0,23,90,4.0,34,56,0,26,14,194,7.0,99,95,1,0,0,33,24,169.0,0.0,78.0,91.0,55,5,7,1.0,13,61,4,219.8
2019,1,0,23,26,379,17.0,262,218,161,1,1,1,13,3,0,0,0.0,46,265,10.0,157,108,4,25,23,379,17.0,218,161,2,1,2,32,15,190.0,1.0,139.0,51.0,34,6,8,3.0,17,25,5,418.5
2019,2,1,24,37,272,16.0,396,189,83,1,6,2,14,3,0,6,64.80000000000001,33,182,9.0,114,68,4,35,24,272,16.0,189,83,4,1,0,35,23,339.0,0.0,194.0,145.0,69,3,5,3.0,11,41,2,297.5
2019,3,0,22,43,267,14.0,483,137,130,0,16,3,11,3,2,4,27.2,32,203,15.0,83,120,0,43,22,267,14.0,137,130,0,0,0,34,26,375.0,3.0,187.0,188.0,51,1,7,1.0,9,51,5,297.8
2019,4,1,24,34,247,12.0,268,137,110,2,5,4,13,4,1,1,17.0,29,173,11.0,90,83,2,33,24,247,12.0,137,110,0,2,1,34,22,327.0,1.0,107.0,220.0,27,1,0,1.0,2,46,13,265.9
2019,5,0,19,28,161,8.0,216,97,64,1,3,5,9,1,1,5,26.0,40,138,11.0,81,57,0,28,19,161,8.0,97,64,0,1,1,30,21,199.0,1.0,121.0,78.0,46,2,2,1.0,5,39,4,257.1
2019,6,1,21,33,236,11.0,253,110,126,0,6,1,16,1,0,3,53.099999999999994,43,269,15.0,161,108,1,29,21,236,11.0,110,126,0,0,1,37,21,235.0,0.0,142.0,93.0,41,2,3,2.0,7,32,4,284.59999999999997
2019,7,0,9,20,143,5.0,201,106,37,3,3,1,4,4,0,5,86.0,35,199,9.0,144,55,0,20,9,143,5.0,106,37,0,3,1,39,20,241.0,1.0,177.0,64.0,51,6,7,1.0,14,57,5,447.9
2019,9,1,17,23,163,11.0,117,52,111,0,4,1,10,1,0,2,13.0,41,210,11.0,167,43,0,23,17,163,11.0,52,111,1,0,1,41,31,285.0,1.0,150.0,135.0,62,1,0,2.0,3,50,3,311.5
2019,10,0,18,22,243,13.0,231,176,67,0,0,1,9,1,1,1,9.0,23,136,7.0,73,63,2,21,18,243,13.0,176,67,0,0,1,29,16,167.0,1.0,80.0,87.0,68,5,1,2.0,8,62,12,213.20000000000002
2019,11,1,20,27,235,11.0,210,90,145,0,7,0,6,1,1,4,33.2,37,256,12.0,110,146,0,27,20,235,11.0,90,145,1,0,1,30,19,169.0,0.0,72.0,97.0,58,2,3,7.0,12,43,5,226.8
2019,12,0,16,23,208,13.0,191,142,66,1,1,3,12,1,4,3,44.099999999999994,48,285,17.0,148,137,4,22,16,208,13.0,142,66,0,1,2,34,24,202.0,0.0,123.0,79.0,46,1,5,2.0,8,38,1,322.90000000000003
