Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,1,34,51,424,23.0,483,175,249,5,8,1,9,6,5,0,0.0,22,123,7.0,65,58,6,50,34,424,23.0,175,249,8,5,0,24,14,284.0,2.0,823.7,180.0,104.0,8,4,6,1.0,11,46,8,373.79999999999995
2018,2,0,23,27,256,16.0,101,99,157,0,3,2,7,3,3,1,7.0,26,109,5.0,32,77,3,27,23,256,16.0,99,157,4,0,2,40,22,323.0,2.0,657.8,215.0,108.0,22,8,2,5.0,16,51,10,459.4
2018,3,0,18,30,226,7.0,276,137,89,2,6,1,8,8,3,0,0.0,20,141,7.0,64,77,2,30,18,226,9.0,137,89,2,2,1,34,28,343.0,3.0,878.8,184.0,159.0,7,0,2,1.0,3,59,9,220.89999999999998
2018,4,1,25,39,250,14.0,261,139,111,1,7,1,7,0,1,0,0.0,27,126,6.0,37,89,4,38,25,250,14.0,139,111,1,1,1,40,26,333.0,2.0,672.9,157.0,176.0,10,3,6,1.0,10,47,5,242.60000000000002
2018,5,1,22,27,339,13.0,185,145,194,0,1,1,5,0,1,0,0.0,31,79,4.0,37,42,2,26,22,339,13.0,145,194,0,0,1,34,27,260.0,1.0,856.9000000000001,160.0,100.0,10,3,2,3.0,8,43,8,238.70000000000002
2018,6,0,12,21,215,7.0,235,147,68,1,4,1,9,3,3,0,0.0,36,246,15.0,107,139,7,21,12,215,7.0,147,68,0,1,2,52,25,261.0,1.0,720.2,166.0,95.0,14,8,2,5.0,17,62,7,545.7
2018,7,1,19,26,306,12.0,219,166,140,1,3,2,12,2,1,0,0.0,16,47,2.0,17,30,2,25,19,306,12.0,166,140,2,1,1,31,24,228.0,1.0,880.7,105.0,123.0,4,2,1,2.0,5,54,12,154.4
2018,9,0,13,26,228,11.0,288,135,93,1,3,2,3,1,3,0,0.0,22,160,6.0,105,55,1,26,13,228,11.0,135,93,0,1,1,40,28,240.0,3.0,677.9000000000001,116.0,124.0,13,3,3,4.0,10,77,12,271.0
2018,10,0,18,26,223,8.0,233,103,120,1,3,1,7,3,4,1,1.0,26,113,7.0,84,29,4,26,18,223,8.0,103,120,2,1,0,38,25,256.0,0.0,639.1,147.0,109.0,11,5,2,4.0,13,62,6,233.5
2018,11,1,28,43,401,18.0,333,179,222,2,5,3,18,1,3,0,0.0,26,95,5.0,39,56,0,43,28,401,18.0,179,222,4,2,0,31,20,235.0,0.0,682.0,84.0,151.0,5,0,3,0.0,3,39,6,148.3
