Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Rat,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
1.0,0.0,19.0,33.0,298.0,10.0,337.0,141.0,157.0,2.0,7.0,6.0,9.0,6.0,4.0,1.0,5.0,16.0,64.0,1.0,45.0,19.0,0.0,33.0,19.0,298.0,10.0,141.0,157.0,5.0,2.0,3.0,39.0,24.0,325.0,3.0,882.4000000000001,161.0,164.0,5.0,5.0,4.0,1.0,10.0,55.0,7.0,388.4
10.0,0.0,17.0,26.0,176.0,9.0,217.0,114.0,62.0,1.0,4.0,4.0,6.0,4.0,3.0,7.0,69.3,34.0,273.0,15.0,214.0,59.0,4.0,23.0,17.0,176.0,9.0,114.0,62.0,2.0,1.0,0.0,37.0,29.0,343.0,2.0,1091.5,210.0,133.0,12.0,2.0,2.0,2.0,7.0,50.0,7.0,284.90000000000003
11.0,1.0,21.0,31.0,225.0,12.0,313.0,157.0,68.0,2.0,3.0,3.0,15.0,1.0,0.0,0.0,0.0,35.0,173.0,9.0,78.0,95.0,1.0,29.0,21.0,225.0,12.0,157.0,68.0,0.0,2.0,0.0,28.0,21.0,327.0,2.0,901.0,217.0,110.0,8.0,4.0,0.0,5.0,10.0,47.0,3.0,352.2
12.0,0.0,22.0,31.0,339.0,13.0,327.0,222.0,117.0,1.0,3.0,2.0,20.0,5.0,0.0,0.0,0.0,28.0,75.0,7.0,17.0,58.0,2.0,28.0,22.0,339.0,13.0,222.0,117.0,0.0,1.0,1.0,29.0,26.0,248.0,2.0,816.2,105.0,143.0,11.0,1.0,0.0,0.0,1.0,55.0,9.0,148.70000000000002
13.0,1.0,11.0,17.0,185.0,7.0,147.0,88.0,97.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,15.0,29.0,168.0,8.0,99.0,69.0,2.0,17.0,11.0,185.0,7.0,88.0,97.0,1.0,1.0,1.0,41.0,28.0,392.0,2.0,855.6,178.0,214.0,16.0,6.0,11.0,3.0,21.0,68.0,5.0,209.5
14.0,1.0,10.0,20.0,72.0,4.0,200.0,31.0,41.0,1.0,6.0,2.0,7.0,10.0,0.0,2.0,50.0,42.0,214.0,13.0,185.0,29.0,3.0,16.0,10.0,72.0,4.0,31.0,41.0,0.0,1.0,0.0,31.0,20.0,208.0,1.0,669.6,104.0,104.0,6.0,13.0,4.0,2.0,19.0,50.0,9.0,210.8
15.0,0.0,23.0,31.0,237.0,12.0,211.0,104.0,133.0,0.0,3.0,3.0,11.0,7.0,1.0,1.0,5.0,35.0,168.0,5.0,114.0,54.0,4.0,28.0,23.0,237.0,12.0,104.0,133.0,4.0,0.0,0.0,30.0,21.0,287.0,1.0,753.8,124.0,163.0,8.0,2.0,5.0,3.0,10.0,42.0,3.0,255.0
16.0,1.0,18.0,29.0,271.0,15.0,349.0,222.0,49.0,1.0,7.0,3.0,14.0,9.0,5.0,4.0,61.2,43.0,210.0,11.0,95.0,115.0,4.0,27.0,18.0,271.0,15.0,222.0,49.0,1.0,1.0,0.0,39.0,25.0,273.0,3.0,751.1999999999999,137.0,136.0,7.0,10.0,9.0,1.0,20.0,52.0,6.0,379.8
17.0,1.0,12.0,21.0,152.0,7.0,191.0,85.0,67.0,3.0,1.0,6.0,16.0,5.0,0.0,1.0,1.0,34.0,182.0,8.0,111.0,71.0,0.0,20.0,12.0,152.0,7.0,85.0,67.0,0.0,3.0,0.0,32.0,18.0,139.0,1.0,664.1,104.0,35.0,21.0,3.0,0.0,5.0,8.0,56.0,9.0,380.9
18.0,0.0,18.0,27.0,233.0,6.0,224.0,135.0,98.0,1.0,6.0,1.0,4.0,1.0,2.0,1.0,3.0,24.0,73.0,5.0,41.0,32.0,0.0,27.0,18.0,233.0,6.0,135.0,98.0,0.0,1.0,1.0,33.0,22.0,219.0,1.0,666.2,118.0,101.0,9.0,4.0,3.0,1.0,8.0,57.0,9.0,260.5
2.0,0.0,22.0,36.0,226.0,10.0,289.0,158.0,68.0,1.0,6.0,6.0,5.0,12.0,2.0,3.0,17.1,22.0,74.0,6.0,40.0,34.0,4.0,33.0,22.0,226.0,10.0,158.0,68.0,0.0,1.0,2.0,34.0,26.0,200.0,2.0,692.3000000000001,99.0,101.0,12.0,7.0,0.0,2.0,9.0,51.0,8.0,207.0
3.0,1.0,16.0,26.0,192.0,10.0,241.0,108.0,84.0,2.0,3.0,2.0,8.0,4.0,4.0,0.0,0.0,39.0,113.0,6.0,28.0,85.0,5.0,25.0,16.0,192.0,10.0,108.0,84.0,0.0,2.0,2.0,35.0,19.0,168.0,1.0,467.0,81.0,87.0,22.0,7.0,4.0,5.0,16.0,46.0,5.0,200.3
4.0,0.0,19.0,26.0,172.0,6.0,136.0,81.0,91.0,1.0,3.0,2.0,11.0,6.0,1.0,2.0,11.0,34.0,171.0,11.0,113.0,58.0,3.0,25.0,19.0,172.0,6.0,81.0,91.0,0.0,1.0,0.0,24.0,14.0,174.0,1.0,891.6,133.0,41.0,7.0,3.0,6.0,1.0,10.0,45.0,2.0,260.0
5.0,1.0,13.0,21.0,198.0,9.0,240.0,139.0,59.0,0.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,32.0,190.0,8.0,109.0,81.0,2.0,19.0,13.0,198.0,9.0,139.0,59.0,0.0,0.0,2.0,38.0,28.0,423.0,1.0,784.6,198.0,225.0,12.0,4.0,2.0,0.0,6.0,49.0,6.0,377.5
6.0,0.0,17.0,23.0,222.0,11.0,224.0,134.0,88.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,14.0,37.0,155.0,6.0,74.0,81.0,4.0,23.0,17.0,222.0,11.0,134.0,88.0,1.0,1.0,0.0,32.0,25.0,161.0,0.0,673.1,3.0,158.0,4.0,1.0,5.0,6.0,13.0,45.0,5.0,83.6
8.0,0.0,14.0,17.0,248.0,11.0,187.0,184.0,64.0,0.0,3.0,2.0,9.0,2.0,1.0,0.0,0.0,42.0,176.0,8.0,117.0,59.0,2.0,17.0,14.0,248.0,10.0,184.0,64.0,0.0,0.0,1.0,39.0,21.0,310.0,2.0,699.8000000000001,146.0,164.0,5.0,4.0,2.0,2.0,8.0,44.0,6.0,268.9
9.0,1.0,26.0,39.0,235.0,10.0,234.0,105.0,130.0,1.0,8.0,4.0,6.0,3.0,3.0,4.0,40.0,32.0,154.0,11.0,89.0,65.0,2.0,37.0,26.0,235.0,10.0,105.0,130.0,1.0,1.0,0.0,29.0,16.0,264.0,2.0,747.6,164.0,100.0,2.0,1.0,3.0,2.0,6.0,47.0,8.0,332.4
1.0,1.0,14.0,20.0,195.0,6.0,197.0,99.0,96.0,2.0,3.0,4.0,6.0,2.0,4.0,0.0,0.0,25.0,72.0,4.0,50.0,22.0,2.0,19.0,14.0,195.0,6.0,99.0,96.0,4.0,2.0,0.0,49.0,35.0,418.0,2.0,821.1999999999999,232.0,186.0,23.0,6.0,1.0,4.0,11.0,59.0,5.0,354.3
10.0,0.0,24.0,34.0,232.0,11.0,185.0,85.0,147.0,1.0,2.0,5.0,12.0,5.0,3.0,5.0,54.0,34.0,147.0,8.0,102.0,45.0,0.0,33.0,24.0,232.0,11.0,85.0,147.0,1.0,1.0,1.0,43.0,23.0,244.0,1.0,649.7,93.0,151.0,19.0,8.0,4.0,5.0,18.0,67.0,14.0,358.4
12.0,0.0,13.0,25.0,200.0,8.0,387.0,137.0,63.0,2.0,5.0,6.0,20.0,2.0,2.0,1.0,16.0,26.0,174.0,5.0,61.0,113.0,6.0,23.0,13.0,200.0,8.0,137.0,63.0,0.0,2.0,2.0,39.0,29.0,227.0,1.0,772.1,158.0,69.0,21.0,6.0,5.0,3.0,15.0,64.0,8.0,282.29999999999995
13.0,1.0,21.0,31.0,240.0,7.0,247.0,91.0,149.0,0.0,7.0,2.0,8.0,3.0,2.0,3.0,14.100000000000001,43.0,218.0,16.0,157.0,61.0,1.0,31.0,21.0,240.0,7.0,91.0,149.0,0.0,0.0,1.0,35.0,22.0,276.0,2.0,474.3,103.0,173.0,10.0,5.0,6.0,0.0,11.0,44.0,4.0,236.7
14.0,0.0,22.0,36.0,245.0,9.0,395.0,169.0,76.0,1.0,5.0,5.0,18.0,5.0,5.0,4.0,28.0,21.0,106.0,7.0,82.0,24.0,1.0,33.0,22.0,245.0,9.0,169.0,76.0,1.0,1.0,2.0,30.0,22.0,287.0,2.0,645.4,183.0,104.0,12.0,3.0,4.0,0.0,7.0,57.0,6.0,295.79999999999995
15.0,0.0,20.0,27.0,286.0,10.0,313.0,182.0,104.0,0.0,4.0,2.0,2.0,5.0,5.0,1.0,1.0,34.0,154.0,10.0,92.0,62.0,2.0,25.0,20.0,286.0,10.0,182.0,104.0,0.0,0.0,3.0,39.0,25.0,277.0,1.0,610.0999999999999,73.0,204.0,9.0,2.0,2.0,1.0,5.0,66.0,9.0,232.6
16.0,1.0,16.0,31.0,169.0,8.0,317.0,59.0,110.0,1.0,7.0,5.0,11.0,5.0,3.0,1.0,6.0,20.0,91.0,4.0,45.0,46.0,1.0,29.0,16.0,169.0,8.0,59.0,110.0,0.0,1.0,0.0,27.0,15.0,167.0,1.0,654.2,61.0,106.0,15.0,4.0,0.0,2.0,7.0,61.0,9.0,212.7
17.0,1.0,25.0,40.0,233.0,17.0,267.0,148.0,85.0,2.0,7.0,1.0,12.0,9.0,7.0,7.0,25.2,30.0,125.0,6.0,85.0,40.0,0.0,38.0,25.0,233.0,17.0,148.0,85.0,2.0,2.0,0.0,22.0,19.0,316.0,0.0,775.1,167.0,149.0,2.0,2.0,0.0,2.0,4.0,49.0,16.0,161.0
18.0,0.0,18.0,30.0,325.0,10.0,349.0,192.0,133.0,0.0,9.0,1.0,18.0,1.0,10.0,4.0,43.2,26.0,64.0,4.0,31.0,33.0,1.0,29.0,18.0,325.0,10.0,192.0,133.0,1.0,0.0,0.0,24.0,18.0,170.0,0.0,568.9000000000001,93.0,77.0,15.0,3.0,2.0,7.0,12.0,52.0,9.0,149.2
19.0,0.0,21.0,31.0,277.0,15.0,358.0,187.0,90.0,2.0,4.0,5.0,8.0,2.0,5.0,7.0,63.699999999999996,24.0,110.0,8.0,62.0,48.0,1.0,28.0,21.0,277.0,15.0,187.0,90.0,0.0,2.0,0.0,21.0,16.0,243.0,2.0,874.1999999999999,149.0,94.0,21.0,2.0,3.0,2.0,8.0,45.0,6.0,161.5
2.0,0.0,29.0,35.0,300.0,15.0,256.0,154.0,146.0,0.0,3.0,4.0,25.0,2.0,2.0,2.0,25.0,33.0,151.0,8.0,49.0,102.0,0.0,35.0,29.0,300.0,15.0,154.0,146.0,1.0,0.0,1.0,38.0,21.0,196.0,2.0,724.0,93.0,103.0,13.0,3.0,1.0,1.0,5.0,37.0,6.0,334.70000000000005
3.0,1.0,32.0,50.0,406.0,18.0,552.0,294.0,112.0,0.0,12.0,0.0,7.0,11.0,3.0,4.0,44.0,26.0,108.0,5.0,70.0,38.0,1.0,46.0,32.0,406.0,18.0,294.0,112.0,0.0,0.0,0.0,24.0,16.0,124.0,1.0,632.3000000000001,62.0,62.0,2.0,4.0,2.0,0.0,6.0,60.0,16.0,107.0
4.0,0.0,22.0,28.0,240.0,10.0,213.0,147.0,93.0,0.0,3.0,4.0,14.0,3.0,2.0,2.0,7.0,27.0,115.0,9.0,22.0,93.0,7.0,27.0,22.0,240.0,10.0,147.0,93.0,2.0,0.0,1.0,30.0,22.0,241.0,0.0,771.2,81.0,160.0,7.0,3.0,1.0,4.0,8.0,56.0,6.0,145.2
5.0,1.0,17.0,23.0,268.0,12.0,253.0,190.0,78.0,0.0,4.0,1.0,6.0,8.0,3.0,5.0,28.0,43.0,167.0,10.0,77.0,90.0,3.0,22.0,17.0,268.0,12.0,190.0,78.0,1.0,0.0,1.0,49.0,29.0,395.0,1.0,792.8000000000001,198.0,197.0,31.0,2.0,5.0,0.0,7.0,49.0,6.0,410.80000000000007
6.0,0.0,23.0,33.0,295.0,17.0,280.0,152.0,143.0,2.0,7.0,3.0,21.0,4.0,2.0,5.0,40.0,38.0,170.0,8.0,74.0,96.0,4.0,32.0,23.0,295.0,17.0,152.0,143.0,2.0,2.0,3.0,36.0,23.0,259.0,1.0,546.0,167.0,92.0,17.0,4.0,1.0,0.0,5.0,51.0,9.0,311.2
7.0,1.0,20.0,41.0,241.0,10.0,459.0,177.0,64.0,3.0,13.0,1.0,17.0,6.0,7.0,2.0,20.0,26.0,106.0,8.0,74.0,32.0,1.0,38.0,20.0,241.0,10.0,177.0,64.0,1.0,3.0,0.0,21.0,9.0,143.0,0.0,553.4,106.0,37.0,6.0,4.0,0.0,1.0,5.0,48.0,1.0,215.0
8.0,0.0,14.0,20.0,182.0,9.0,202.0,114.0,68.0,2.0,2.0,2.0,7.0,0.0,2.0,2.0,6.0,33.0,151.0,9.0,47.0,104.0,1.0,20.0,14.0,182.0,9.0,111.0,71.0,0.0,2.0,1.0,46.0,36.0,414.0,1.0,1073.3,262.0,152.0,19.0,1.0,5.0,2.0,8.0,61.0,5.0,389.7
9.0,1.0,29.0,43.0,378.0,23.0,346.0,204.0,174.0,1.0,7.0,3.0,35.0,1.0,6.0,1.0,21.0,22.0,145.0,4.0,38.0,107.0,8.0,43.0,29.0,378.0,23.0,204.0,174.0,3.0,1.0,0.0,43.0,28.0,335.0,2.0,721.0999999999999,238.0,97.0,40.0,3.0,1.0,2.0,6.0,63.0,11.0,452.59999999999997
