Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,0,15,33,261,10,368,117,144,1,7,3,8,7,1,2,6.0,25,90,6.0,57,33,0,32,15,261,10.0,117,144,0,1,0,35,19,235.0,2.0,92.0,143.0,15,7,1,3.0,12,53,8,256.1
2018,2,1,18,26,206,13,152,112,94,2,3,6,8,2,2,1,5.0,28,190,6.0,121,69,5,25,18,206,13.0,112,94,3,2,0,53,35,350.0,3.0,160.0,190.0,9,8,3,2.0,13,55,8,499.0
2018,3,0,20,30,251,12,272,121,130,2,6,4,5,7,1,2,22.0,29,178,11.0,67,111,1,30,20,251,12.0,121,130,2,2,0,36,22,310.0,3.0,187.0,123.0,9,10,6,2.0,18,53,12,437.20000000000005
2018,4,0,23,37,298,13,205,128,170,2,4,1,8,0,6,4,17.2,21,76,5.0,33,43,0,36,23,298,13.0,128,170,3,2,1,39,24,250.0,3.0,139.0,111.0,11,0,1,1.0,2,49,10,267.5
2018,5,1,34,54,349,22,260,104,245,4,7,4,22,0,4,1,6.0,34,147,9.0,72,75,5,54,34,349,22.0,104,245,2,4,0,19,8,148.0,1.0,94.0,54.0,8,3,3,1.0,7,36,2,228.9
2018,6,0,16,23,245,8,181,134,111,1,2,2,11,3,2,3,21.0,30,174,9.0,88,86,4,23,16,245,8.0,134,111,3,1,0,42,23,339.0,2.0,174.0,165.0,22,13,4,3.0,20,55,6,336.9
2018,7,1,15,27,170,8,229,70,100,1,6,7,7,2,2,1,13.0,24,107,8.0,64,43,1,27,15,170,8.0,70,100,0,1,0,25,17,188.0,1.0,121.0,67.0,13,2,1,1.0,4,40,8,275.0
2018,8,0,14,28,190,9,240,88,102,2,8,4,14,5,4,2,4.0,31,107,5.0,49,58,1,27,14,190,9.0,88,102,0,2,1,38,25,257.0,2.0,133.0,124.0,12,4,2,3.0,9,44,7,292.6
2018,9,1,16,22,262,10,146,81,181,1,3,0,7,0,1,0,0.0,32,143,6.0,98,45,2,22,16,262,10.0,81,181,1,1,0,21,17,167.0,0.0,67.0,100.0,18,6,2,7.0,16,40,4,122.6
2018,10,1,27,39,250,14,276,156,94,1,6,0,7,7,3,0,0.0,29,124,6.0,89,35,2,35,27,250,14.0,156,94,0,1,0,30,17,188.0,3.0,114.0,74.0,9,6,1,1.0,9,47,7,280.2
