Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,0,21,28,417,17.0,341,287,130,1,3,0,10,1,3,6,34.8,34,112,5.0,55,57,1,28,21,417,17.0,287,130,0,1,0,48,40,481.0,4.0,307.0,174.0,15,1,1,1.0,3,54,7,376.20000000000005
2018,2,1,27,33,402,17.0,318,243,159,1,2,2,7,2,6,0,0.0,23,43,1.0,14,29,0,33,27,402,17.0,243,159,0,1,0,51,38,354.0,2.0,163.0,191.0,8,4,9,3.0,16,67,5,353.4
2018,3,1,30,50,411,22.0,556,290,121,1,11,3,18,9,9,4,28.0,16,63,2.0,58,5,1,50,30,411,22.0,290,121,4,1,1,34,28,264.0,2.0,127.0,137.0,20,4,3,3.0,11,59,6,208.59999999999997
2018,4,0,25,38,271,12.0,365,197,74,2,5,4,6,1,1,1,7.0,18,60,3.0,40,20,1,38,25,271,12.0,197,74,1,2,0,26,19,354.0,6.0,222.0,132.0,5,0,1,1.0,2,42,0,269.8
2018,6,0,30,41,395,23.0,457,264,131,1,6,2,6,2,2,3,14.100000000000001,20,121,5.0,56,65,3,40,30,395,23.0,264,131,1,1,0,42,32,347.0,3.0,220.0,127.0,29,3,3,1.0,7,52,5,391.20000000000005
2018,7,1,32,52,365,20.0,546,276,89,3,11,4,13,3,5,7,56.699999999999996,32,114,8.0,32,82,2,52,32,365,20.0,276,89,1,3,0,41,26,255.0,3.0,167.0,88.0,16,7,0,5.0,12,55,11,389.80000000000007
2018,8,0,29,50,470,20.0,641,326,144,1,10,6,10,6,1,4,36.0,27,126,7.0,95,31,1,50,29,470,20.0,326,144,6,1,0,37,23,322.0,2.0,213.0,109.0,3,3,0,2.0,5,52,7,397.9
2018,9,0,24,41,243,17.0,363,135,108,0,8,3,24,5,3,4,22.0,21,82,3.0,63,19,2,41,24,243,17.0,135,108,1,0,0,22,17,209.0,2.0,132.0,77.0,9,0,2,2.0,5,44,8,193.2
2018,10,1,29,41,406,22.0,431,238,168,3,3,2,6,1,2,5,25.0,24,103,6.0,73,30,4,41,29,406,22.0,238,168,1,3,0,25,18,169.0,1.0,124.0,45.0,11,0,2,3.0,5,46,3,217.9
2018,11,0,25,37,366,18.0,379,232,134,0,6,1,6,6,4,7,27.3,30,151,10.0,94,57,1,36,25,366,17.0,232,134,0,0,0,19,18,260.0,1.0,162.0,98.0,4,2,1,4.0,8,58,9,184.2
2018,12,1,29,38,312,15.0,372,210,102,1,5,1,8,8,4,4,22.0,31,108,9.0,56,52,0,38,29,312,15.0,210,102,0,1,2,37,20,230.0,2.0,121.0,109.0,0,2,4,4.0,10,46,10,335.1
2018,13,1,20,30,249,11.0,234,151,98,3,2,4,15,6,1,5,48.0,25,95,5.0,50,45,0,30,20,249,11.0,151,98,0,3,4,43,27,289.0,2.0,158.0,131.0,13,7,5,4.0,16,48,2,491.79999999999995
2018,14,1,18,38,213,12.0,473,166,47,3,9,4,10,7,6,5,47.0,23,105,5.0,35,70,3,37,18,213,12.0,166,47,1,3,1,39,30,262.0,1.0,188.0,74.0,10,0,3,1.0,4,60,9,283.2
2018,15,0,13,25,157,4.0,268,110,47,3,4,1,5,3,2,0,0.0,21,85,6.0,50,35,0,25,13,157,4.0,110,47,0,3,0,23,15,159.0,1.0,105.0,54.0,10,2,3,2.0,7,68,9,182.0
2018,16,0,34,48,336,19.0,475,193,143,1,6,3,9,5,4,3,14.100000000000001,24,63,1.0,31,32,2,48,34,336,19.0,200,136,3,1,0,28,22,198.0,1.0,128.0,70.0,14,2,1,1.0,4,47,1,147.89999999999998
