Year,Week,Home,Cmp,Att,Yds,1D,IAY,CAY,YAC,Drops,BadTh,Sk,Bltz,Hrry,Hits,Scrm,ScrambleYds,Att,Yds,1D,YBC,YAC,BrkTkl,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Tgt,Cmp,Yds,TD,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,total.DADOT
2018,1,0,21,30,255,13.0,101,75,180,1,5,3,17,7,7,3,12.899999999999999,42,182,10.0,89,93,3,29,21,255,13.0,75,180,5,1,1,35,20,153.0,0.0,87.0,66.0,12,2,2,2.0,6,36,7,238.6
2018,2,1,33,46,292,16.0,326,170,122,1,3,3,3,5,1,2,11.0,22,65,4.0,43,22,0,44,33,292,16.0,170,122,0,1,2,31,21,179.0,2.0,56.0,123.0,30,8,6,1.0,15,58,9,132.3
2018,3,1,12,20,220,7.0,202,119,101,0,6,0,5,4,1,4,20.0,35,166,9.0,69,97,5,20,12,220,7.0,119,101,3,0,0,44,27,249.0,2.0,99.0,150.0,9,6,2,4.0,12,68,7,326.8
2018,5,0,23,39,275,12.0,355,156,119,2,9,3,9,11,1,0,0.0,18,39,6.0,22,17,1,38,23,275,12.0,156,119,3,2,0,26,23,277.0,2.0,140.0,137.0,13,2,1,2.0,5,55,5,142.10000000000002
2018,6,1,21,36,163,10.0,260,119,44,1,5,3,9,7,1,3,9.899999999999999,28,132,7.0,83,49,3,33,21,163,10.0,119,44,0,1,1,35,25,247.0,2.0,154.0,93.0,10,4,1,1.0,6,46,3,277.4
2018,7,1,14,25,178,8.0,280,97,81,3,5,1,6,3,2,3,15.899999999999999,32,130,7.0,82,48,3,24,14,178,8.0,97,81,1,3,0,38,22,289.0,1.0,210.0,79.0,20,5,5,4.0,14,56,5,449.9
2018,8,0,20,32,178,10.0,235,85,93,2,5,0,9,1,4,1,3.0,33,182,6.0,121,61,1,31,20,178,10.0,85,93,1,2,2,48,31,331.0,1.0,176.0,155.0,10,2,1,7.0,11,62,6,375.7
2018,9,1,30,46,306,15.0,386,179,127,1,6,3,11,7,3,1,22.0,15,79,5.0,13,66,1,45,30,306,15.0,179,127,1,1,1,33,24,291.0,3.0,110.0,181.0,23,2,2,2.0,6,48,4,199.10000000000002
2018,10,0,19,27,178,7.0,226,124,54,3,3,3,6,0,2,1,9.0,25,116,6.0,94,22,2,26,19,178,7.0,124,54,1,3,2,43,30,406.0,0.0,238.0,168.0,10,6,2,2.0,10,59,11,479.79999999999995
2018,11,1,18,39,189,12.0,414,117,72,1,11,5,8,7,1,6,53.099999999999994,29,124,9.0,95,29,0,36,18,189,12.0,117,72,0,1,2,24,13,190.0,1.0,68.0,122.0,13,5,1,3.0,9,48,5,146.1
